tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P
5005959,26100.0,26178.0,26266.0,26347.0,26367.0,26445.0,26504.0,26546.0,26609.0,26646.0,26722.0,26791.0,26842.0,26880.0,26975.0,27056.0,27131.0,27178.0,27237.0,27345.0,27405.0,27443.0,27485.0,27518.0,27564.0,27667.0,27693.0,27756.0,27829.0,27883.0,27919.0,27968.0,28016.0,28078.0,28182.0,28256.0,28302.0,28354.0,28426.0,28538.0,28951.0,29120.0,29256.0,29326.0,29436.0,29464.0,29509.0,29566.0,29637.0,29750.0,29806.0
5005961,36000.0,36075.0,36158.0,36235.0,36252.0,36318.0,36368.0,36405.0,36461.0,36493.0,36572.0,36644.0,36696.0,36734.0,36827.0,36898.0,36965.0,37011.0,37073.0,37184.0,37260.0,37308.0,37352.0,37387.0,37436.0,37548.0,37576.0,37628.0,37688.0,37745.0,37783.0,37833.0,37868.0,37914.0,38012.0,38099.0,38147.0,38189.0,38246.0,38335.0,38720.0,38948.0,39132.0,39190.0,39275.0,39303.0,39348.0,39405.0,39476.0,39589.0,39645.0
5005963,45600.0,45669.0,45752.0,45829.0,45847.0,45917.0,45971.0,46004.0,46053.0,46082.0,46160.0,46231.0,46284.0,46322.0,46417.0,46496.0,46571.0,46621.0,46685.0,46777.0,46841.0,46880.0,46922.0,46956.0,47003.0,47112.0,47140.0,47196.0,47261.0,47319.0,47358.0,47409.0,47442.0,47486.0,47574.0,47656.0,47705.0,47740.0,47788.0,47861.0,48118.0,48316.0,48475.0,48531.0,48612.0,48639.0,48684.0,48740.0,48810.0,48922.0,48980.0
5005965,55200.0,55286.0,55377.0,55461.0,55484.0,55574.0,55642.0,55675.0,55725.0,55754.0,55829.0,55898.0,55948.0,55993.0,56105.0,56195.0,56279.0,56355.0,56414.0,56497.0,56572.0,56618.0,56666.0,56704.0,56757.0,56858.0,56883.0,56936.0,56999.0,57056.0,57094.0,57146.0,57181.0,57228.0,57334.0,57419.0,57465.0,57504.0,57558.0,57643.0,57937.0,58195.0,58402.0,58489.0,58630.0,58658.0,58703.0,58760.0,58831.0,58944.0,59000.0
5005967,66000.0,66082.0,66172.0,66254.0,66285.0,66406.0,66499.0,66530.0,66577.0,66604.0,66679.0,66748.0,66798.0,66837.0,66932.0,67020.0,67102.0,67153.0,67215.0,67282.0,67350.0,67392.0,67434.0,67468.0,67514.0,67623.0,67650.0,67703.0,67764.0,67813.0,67846.0,67889.0,67922.0,67965.0,68051.0,68119.0,68158.0,68195.0,68246.0,68324.0,68541.0,68719.0,68862.0,68924.0,69040.0,69067.0,69111.0,69167.0,69237.0,69349.0,69405.0
5007665,27000.0,27056.0,27132.0,27201.0,27217.0,27279.0,27326.0,27349.0,27384.0,27404.0,27463.0,27517.0,27557.0,27582.0,27644.0,27701.0,27755.0,27789.0,27814.0,27895.0,27941.0,27969.0,28008.0,28039.0,28081.0,28185.0,28211.0,28259.0,28316.0,28343.0,28361.0,28384.0,28418.0,28463.0,28539.0,28573.0,28602.0,28625.0,28656.0,28705.0,28910.0,28985.0,29046.0,29079.0,29107.0,29131.0,29170.0,29219.0,29280.0,29377.0,29426.0
5007667,34200.0,34256.0,34339.0,34416.0,34432.0,34495.0,34543.0,34570.0,34611.0,34634.0,34696.0,34753.0,34794.0,34827.0,34908.0,34973.0,35033.0,35069.0,35127.0,35194.0,35260.0,35301.0,35342.0,35375.0,35420.0,35515.0,35539.0,35577.0,35622.0,35674.0,35709.0,35755.0,35783.0,35819.0,35874.0,35948.0,35994.0,36023.0,36063.0,36126.0,36316.0,36438.0,36537.0,36579.0,36664.0,36688.0,36727.0,36776.0,36838.0,36937.0,36987.0
5007669,41400.0,41511.0,41594.0,41670.0,41686.0,41749.0,41798.0,41834.0,41889.0,41921.0,41993.0,42058.0,42106.0,42148.0,42252.0,42317.0,42377.0,42417.0,42453.0,42541.0,42600.0,42636.0,42682.0,42719.0,42770.0,42868.0,42893.0,42945.0,43005.0,43065.0,43105.0,43159.0,43197.0,43246.0,43351.0,43437.0,43491.0,43532.0,43588.0,43675.0,43939.0,44122.0,44269.0,44325.0,44399.0,44425.0,44467.0,44520.0,44586.0,44692.0,44745.0
5007671,51000.0,51111.0,51194.0,51270.0,51286.0,51349.0,51398.0,51434.0,51489.0,51521.0,51593.0,51658.0,51706.0,51748.0,51852.0,51917.0,51977.0,52017.0,52053.0,52141.0,52200.0,52236.0,52282.0,52319.0,52370.0,52468.0,52493.0,52545.0,52605.0,52665.0,52705.0,52759.0,52797.0,52846.0,52951.0,53037.0,53091.0,53132.0,53188.0,53275.0,53539.0,53722.0,53869.0,53925.0,53999.0,54025.0,54067.0,54120.0,54186.0,54292.0,54345.0
5008179,45000.0,45111.0,45194.0,45270.0,45286.0,45349.0,45398.0,45434.0,45489.0,45521.0,45593.0,45658.0,45706.0,45748.0,45852.0,45917.0,45977.0,46017.0,46053.0,46141.0,46200.0,46236.0,46282.0,46319.0,46370.0,46468.0,46493.0,46545.0,46605.0,46665.0,46705.0,46759.0,46797.0,46846.0,46951.0,47037.0,47091.0,47132.0,47188.0,47275.0,47539.0,47722.0,47869.0,47925.0,47999.0,48025.0,48067.0,48120.0,48186.0,48292.0,48345.0
