tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P
5087896,41400.0,41432.0,41468.0,41525.0,41538.0,41575.0,41607.0,41633.0,41707.0,41731.0,41822.0,41864.0,41925.0,41973.0,42000.0,42030.0,42059.0,42118.0,42224.0,42254.0,42293.0,42310.0,42340.0,42382.0,42441.0,42472.0,42511.0,42599.0,42624.0,42763.0,42809.0,42864.0,42906.0,42944.0,42966.0,42985.0,43004.0,43043.0,43114.0,43152.0,43190.0,43215.0,43240.0,43274.0,43306.0,43348.0,43386.0,43438.0,43471.0,43516.0,43617.0,43663.0,43770.0,43784.0,43851.0,43937.0,44199.0
5087902,80100.0,80139.0,80184.0,80254.0,80271.0,80301.0,80327.0,80348.0,80410.0,80426.0,80507.0,80544.0,80598.0,80641.0,80665.0,80692.0,80718.0,80771.0,80866.0,80892.0,80929.0,80946.0,80980.0,81014.0,81075.0,81107.0,81141.0,81215.0,81245.0,81363.0,81402.0,81457.0,81500.0,81526.0,81546.0,81563.0,81581.0,81613.0,81671.0,81703.0,81736.0,81757.0,81778.0,81803.0,81827.0,81868.0,81906.0,81958.0,81983.0,82018.0,82102.0,82141.0,82230.0,82248.0,82331.0,82417.0,82680.0
5088025,41400.0,41473.0,41556.0,41686.0,41716.0,41753.0,41784.0,41810.0,41884.0,41920.0,42015.0,42059.0,42123.0,42173.0,42201.0,42233.0,42263.0,42325.0,42436.0,42465.0,42510.0,42527.0,42564.0,42606.0,42665.0,42696.0,42731.0,42810.0,42835.0,42984.0,43033.0,43096.0,43144.0,43185.0,43211.0,43233.0,43255.0,43322.0,43443.0,43492.0,43542.0,43574.0,43606.0,43644.0,43679.0,43725.0,43767.0,43824.0,43858.0,43905.0,44010.0,44059.0,44171.0,44190.0,44277.0,44362.0,44621.0
5088027,52200.0,52250.0,52307.0,52396.0,52416.0,52448.0,52475.0,52497.0,52561.0,52629.0,52726.0,52771.0,52836.0,52887.0,52915.0,52947.0,52978.0,53041.0,53154.0,53185.0,53205.0,53224.0,53254.0,53300.0,53356.0,53386.0,53426.0,53515.0,53542.0,53685.0,53732.0,53793.0,53840.0,53894.0,53917.0,53936.0,53956.0,53985.0,54036.0,54086.0,54136.0,54169.0,54202.0,54236.0,54267.0,54302.0,54334.0,54377.0,54405.0,54445.0,54552.0,54602.0,54716.0,54730.0,54797.0,54885.0,55153.0
5088029,63000.0,63079.0,63170.0,63312.0,63345.0,63385.0,63419.0,63447.0,63528.0,63574.0,63696.0,63752.0,63834.0,63899.0,63935.0,63976.0,64015.0,64095.0,64237.0,64275.0,64344.0,64364.0,64408.0,64457.0,64523.0,64558.0,64597.0,64683.0,64714.0,64880.0,64935.0,64992.0,65036.0,65070.0,65098.0,65122.0,65146.0,65195.0,65282.0,65338.0,65394.0,65431.0,65466.0,65506.0,65544.0,65591.0,65633.0,65691.0,65729.0,65781.0,65878.0,65923.0,66026.0,66046.0,66141.0,66229.0,66497.0
5088475,48600.0,48632.0,48668.0,48725.0,48738.0,48775.0,48807.0,48833.0,48907.0,48931.0,49022.0,49064.0,49125.0,49173.0,49200.0,49230.0,49259.0,49318.0,49424.0,49454.0,49493.0,49510.0,49540.0,49582.0,49641.0,49672.0,49711.0,49799.0,49824.0,49963.0,50009.0,50064.0,50106.0,50144.0,50166.0,50185.0,50204.0,50243.0,50314.0,50352.0,50390.0,50415.0,50440.0,50474.0,50506.0,50548.0,50586.0,50638.0,50671.0,50716.0,50817.0,50863.0,50970.0,50984.0,51051.0,51137.0,51399.0
5088477,59400.0,59440.0,59486.0,59558.0,59576.0,59612.0,59643.0,59668.0,59741.0,59754.0,59846.0,59889.0,59951.0,60000.0,60027.0,60058.0,60088.0,60148.0,60256.0,60286.0,60322.0,60342.0,60389.0,60453.0,60516.0,60550.0,60592.0,60684.0,60712.0,60841.0,60883.0,60949.0,61000.0,61024.0,61048.0,61069.0,61090.0,61140.0,61230.0,61263.0,61296.0,61318.0,61339.0,61371.0,61400.0,61431.0,61459.0,61497.0,61546.0,61614.0,61710.0,61754.0,61857.0,61880.0,61986.0,62074.0,62342.0
5088479,70200.0,70241.0,70288.0,70361.0,70377.0,70413.0,70443.0,70468.0,70540.0,70564.0,70643.0,70680.0,70733.0,70775.0,70798.0,70824.0,70849.0,70901.0,70993.0,71018.0,71087.0,71108.0,71138.0,71183.0,71258.0,71298.0,71335.0,71418.0,71446.0,71571.0,71612.0,71667.0,71710.0,71732.0,71752.0,71769.0,71785.0,71829.0,71908.0,71959.0,72010.0,72043.0,72076.0,72103.0,72128.0,72159.0,72187.0,72225.0,72260.0,72309.0,72424.0,72477.0,72599.0,72623.0,72737.0,72825.0,73093.0
5090734,28800.0,28854.0,28916.0,29013.0,29035.0,29085.0,29128.0,29163.0,29265.0,29303.0,29408.0,29457.0,29528.0,29584.0,29615.0,29650.0,29684.0,29753.0,29876.0,29910.0,29970.0,29994.0,30045.0,30224.0,30449.0,30570.0,30621.0,30734.0,30777.0,31037.0,31123.0,31206.0,31270.0,31336.0,31397.0,31449.0,31501.0,31604.0,31789.0,31860.0,31931.0,31978.0,32024.0,32073.0,32119.0,32171.0,32218.0,32283.0,32361.0,32469.0,32608.0,32672.0,32821.0,32838.0,32917.0,33005.0,33273.0
5092989,52200.0,52235.0,52275.0,52337.0,52351.0,52388.0,52419.0,52445.0,52519.0,52553.0,52622.0,52654.0,52700.0,52737.0,52757.0,52780.0,52802.0,52847.0,52927.0,52949.0,52980.0,52997.0,53069.0,53103.0,53154.0,53182.0,53221.0,53308.0,53328.0,53473.0,53521.0,53580.0,53626.0,53645.0,53672.0,53695.0,53717.0,53756.0,53825.0,53861.0,53897.0,53920.0,53943.0,53974.0,54002.0,54035.0,54065.0,54106.0,54132.0,54168.0,54241.0,54275.0,54352.0,54372.0,54467.0,54555.0,54823.0
