tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P
5005943,31500.0,31544.0,31609.0,31661.0,31707.0,31739.0,31782.0,31803.0,31869.0,31893.0,31931.0,31985.0,32028.0,32066.0,32095.0,32137.0,32163.0,32210.0,32254.0,32290.0,32337.0,32379.0,32427.0,32471.0,32506.0,32545.0,32603.0,32637.0,32732.0,32793.0,32843.0,32896.0,32949.0,33016.0,33051.0,33177.0,33259.0,33369.0
5005945,36900.0,36941.0,37001.0,37049.0,37091.0,37121.0,37161.0,37181.0,37242.0,37263.0,37297.0,37346.0,37385.0,37419.0,37446.0,37485.0,37510.0,37579.0,37620.0,37653.0,37695.0,37730.0,37770.0,37807.0,37836.0,37867.0,37912.0,37939.0,38013.0,38065.0,38109.0,38155.0,38200.0,38249.0,38275.0,38397.0,38476.0,38582.0
5005947,41700.0,41741.0,41801.0,41849.0,41891.0,41921.0,41961.0,41981.0,42042.0,42063.0,42097.0,42146.0,42185.0,42219.0,42246.0,42285.0,42310.0,42379.0,42420.0,42453.0,42495.0,42530.0,42570.0,42607.0,42636.0,42667.0,42712.0,42739.0,42813.0,42865.0,42909.0,42955.0,43000.0,43049.0,43075.0,43197.0,43276.0,43382.0
5005949,46500.0,46544.0,46609.0,46661.0,46707.0,46739.0,46782.0,46803.0,46869.0,46893.0,46928.0,46978.0,47018.0,47053.0,47080.0,47118.0,47143.0,47195.0,47235.0,47267.0,47304.0,47335.0,47372.0,47409.0,47439.0,47469.0,47513.0,47539.0,47611.0,47670.0,47719.0,47764.0,47808.0,47860.0,47887.0,48019.0,48105.0,48220.0
5005951,51300.0,51344.0,51409.0,51461.0,51507.0,51539.0,51582.0,51603.0,51669.0,51693.0,51728.0,51778.0,51818.0,51853.0,51880.0,51918.0,51943.0,51995.0,52035.0,52067.0,52104.0,52135.0,52172.0,52209.0,52239.0,52269.0,52313.0,52339.0,52411.0,52470.0,52519.0,52564.0,52608.0,52660.0,52687.0,52819.0,52905.0,53020.0
5005953,56100.0,56138.0,56194.0,56239.0,56279.0,56307.0,56345.0,56364.0,56421.0,56440.0,56476.0,56528.0,56570.0,56606.0,56634.0,56675.0,56698.0,56748.0,56787.0,56819.0,56859.0,56889.0,56924.0,56958.0,56986.0,57018.0,57065.0,57093.0,57169.0,57226.0,57273.0,57313.0,57353.0,57402.0,57428.0,57558.0,57643.0,57755.0
5005955,61500.0,61537.0,61592.0,61636.0,61675.0,61702.0,61739.0,61757.0,61813.0,61831.0,61867.0,61918.0,61959.0,61995.0,62023.0,62062.0,62086.0,62121.0,62154.0,62181.0,62222.0,62250.0,62282.0,62313.0,62338.0,62372.0,62423.0,62453.0,62536.0,62591.0,62636.0,62674.0,62712.0,62763.0,62790.0,62924.0,63011.0,63128.0
5005957,66900.0,66936.0,66989.0,67032.0,67070.0,67096.0,67132.0,67150.0,67204.0,67222.0,67254.0,67299.0,67335.0,67366.0,67390.0,67425.0,67448.0,67489.0,67528.0,67560.0,67601.0,67633.0,67670.0,67700.0,67725.0,67754.0,67797.0,67823.0,67895.0,67943.0,67982.0,68020.0,68057.0,68103.0,68127.0,68256.0,68340.0,68451.0
5007689,47700.0,47745.0,47812.0,47866.0,47913.0,47946.0,47991.0,48013.0,48081.0,48105.0,48152.0,48218.0,48271.0,48317.0,48353.0,48405.0,48434.0,48496.0,48543.0,48582.0,48627.0,48664.0,48707.0,48754.0,48791.0,48824.0,48873.0,48902.0,48983.0,49051.0,49108.0,49153.0,49198.0,49244.0,49269.0,49399.0,49484.0,49596.0
5007693,58500.0,58543.0,58607.0,58658.0,58703.0,58735.0,58778.0,58799.0,58864.0,58885.0,58932.0,58999.0,59052.0,59099.0,59135.0,59187.0,59211.0,59308.0,59357.0,59397.0,59443.0,59474.0,59509.0,59547.0,59577.0,59612.0,59664.0,59695.0,59781.0,59834.0,59878.0,59912.0,59945.0,59993.0,60019.0,60159.0,60250.0,60371.0
5007695,63420.0,63463.0,63526.0,63577.0,63622.0,63653.0,63695.0,63716.0,63780.0,63802.0,63845.0,63906.0,63954.0,63996.0,64029.0,64076.0,64106.0,64184.0,64225.0,64258.0,64305.0,64345.0,64392.0,64432.0,64465.0,64495.0,64540.0,64566.0,64640.0,64699.0,64748.0,64794.0,64840.0,64886.0,64911.0,65050.0,65141.0,65261.0
5007697,68400.0,68437.0,68491.0,68535.0,68574.0,68601.0,68637.0,68655.0,68711.0,68730.0,68762.0,68807.0,68843.0,68874.0,68898.0,68933.0,68958.0,69017.0,69058.0,69091.0,69131.0,69160.0,69194.0,69235.0,69268.0,69296.0,69337.0,69361.0,69430.0,69479.0,69519.0,69555.0,69591.0,69643.0,69671.0,69782.0,69854.0,69951.0
5007699,73200.0,73237.0,73291.0,73335.0,73374.0,73401.0,73437.0,73455.0,73511.0,73530.0,73562.0,73607.0,73643.0,73674.0,73698.0,73733.0,73758.0,73817.0,73858.0,73891.0,73931.0,73960.0,73994.0,74035.0,74068.0,74096.0,74137.0,74161.0,74230.0,74279.0,74319.0,74355.0,74391.0,74443.0,74471.0,74582.0,74654.0,74751.0
5007701,78000.0,78042.0,78104.0,78154.0,78198.0,78229.0,78270.0,78290.0,78353.0,78374.0,78404.0,78447.0,78481.0,78511.0,78534.0,78567.0,78591.0,78641.0,78678.0,78709.0,78746.0,78771.0,78801.0,78835.0,78862.0,78886.0,78922.0,78943.0,79004.0,79045.0,79079.0,79111.0,79143.0,79179.0,79198.0,79298.0,79363.0,79451.0
5008684,28920.0,28973.0,29051.0,29114.0,29169.0,29208.0,29260.0,29286.0,29366.0,29392.0,29435.0,29496.0,29545.0,29588.0,29621.0,29669.0,29696.0,29750.0,29805.0,29850.0,29905.0,29954.0,30012.0,30080.0,30134.0,30200.0,30298.0,30356.0,30516.0,30606.0,30680.0,30744.0,30807.0,30909.0,30964.0,31093.0,31177.0,31290.0
5008686,34500.0,34544.0,34609.0,34661.0,34707.0,34739.0,34782.0,34803.0,34869.0,34893.0,34931.0,34985.0,35028.0,35066.0,35095.0,35137.0,35163.0,35210.0,35254.0,35290.0,35337.0,35379.0,35427.0,35471.0,35506.0,35545.0,35603.0,35637.0,35732.0,35793.0,35843.0,35896.0,35949.0,36016.0,36051.0,36177.0,36259.0,36369.0
5008688,39300.0,39341.0,39401.0,39449.0,39491.0,39521.0,39561.0,39581.0,39642.0,39663.0,39697.0,39746.0,39785.0,39819.0,39846.0,39885.0,39910.0,39979.0,40020.0,40053.0,40095.0,40130.0,40170.0,40207.0,40236.0,40267.0,40312.0,40339.0,40413.0,40465.0,40509.0,40555.0,40600.0,40649.0,40675.0,40797.0,40876.0,40982.0
5008690,44100.0,44144.0,44209.0,44261.0,44307.0,44339.0,44382.0,44403.0,44469.0,44493.0,44528.0,44578.0,44618.0,44653.0,44680.0,44718.0,44743.0,44795.0,44835.0,44867.0,44904.0,44935.0,44972.0,45009.0,45039.0,45069.0,45113.0,45139.0,45211.0,45270.0,45319.0,45364.0,45408.0,45460.0,45487.0,45619.0,45705.0,45820.0
5008692,48900.0,48944.0,49009.0,49061.0,49107.0,49139.0,49182.0,49203.0,49269.0,49293.0,49328.0,49378.0,49418.0,49453.0,49480.0,49518.0,49543.0,49595.0,49635.0,49667.0,49704.0,49735.0,49772.0,49809.0,49839.0,49869.0,49913.0,49939.0,50011.0,50070.0,50119.0,50164.0,50208.0,50260.0,50287.0,50419.0,50505.0,50620.0
