tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P
5013560,59400.0,59628.0,59877.0,60231.0,60413.0,60436.0,60492.0,60523.0,60608.0,60638.0,60707.0,60743.0,60810.0,60841.0,60876.0,60911.0,60952.0,60992.0,61040.0,61062.0,61094.0,61130.0,61151.0,61195.0,61228.0,61262.0,61357.0,61419.0,61495.0,61598.0,61619.0,61667.0,61697.0,61732.0,61781.0,61868.0,61951.0,62089.0,62182.0,62221.0,62308.0,62349.0,62453.0,62492.0,62527.0,62560.0,62602.0,62634.0,62674.0,62711.0,62773.0,62828.0,62925.0,63003.0,63075.0,63133.0,63187.0,63247.0,63299.0,63342.0,63456.0
5013772,24300.0,24507.0,24637.0,24822.0,24917.0,24944.0,24997.0,25026.0,25106.0,25123.0,25161.0,25187.0,25237.0,25271.0,25309.0,25347.0,25386.0,25424.0,25471.0,25497.0,25535.0,25561.0,25576.0,25601.0,25630.0,25660.0,25711.0,25745.0,25774.0,25842.0,25856.0,25885.0,25903.0,25925.0,25965.0,26037.0,26078.0,26146.0,26207.0,26232.0,26290.0,26321.0,26377.0,26394.0,26409.0,26423.0,26441.0,26454.0,26481.0,26506.0,26547.0,26584.0,26638.0,26681.0,26716.0,26744.0,26770.0,26798.0,26837.0,26869.0,26953.0
5013774,32400.0,32529.0,32674.0,32880.0,32985.0,33017.0,33072.0,33103.0,33186.0,33216.0,33284.0,33310.0,33358.0,33397.0,33440.0,33483.0,33508.0,33532.0,33560.0,33572.0,33590.0,33611.0,33624.0,33670.0,33700.0,33732.0,33786.0,33821.0,33870.0,33953.0,33970.0,34002.0,34022.0,34045.0,34093.0,34180.0,34224.0,34297.0,34355.0,34379.0,34433.0,34463.0,34524.0,34544.0,34562.0,34579.0,34601.0,34616.0,34651.0,34683.0,34738.0,34788.0,34834.0,34870.0,34907.0,34937.0,34965.0,34996.0,35031.0,35059.0,35135.0
5013971,52200.0,52473.0,52663.0,52933.0,53072.0,53100.0,53167.0,53205.0,53307.0,53335.0,53398.0,53441.0,53522.0,53565.0,53613.0,53661.0,53716.0,53769.0,53833.0,53867.0,53915.0,53964.0,53992.0,54047.0,54084.0,54122.0,54212.0,54272.0,54376.0,54489.0,54511.0,54553.0,54579.0,54611.0,54672.0,54783.0,54876.0,55033.0,55148.0,55196.0,55305.0,55343.0,55433.0,55469.0,55502.0,55533.0,55573.0,55602.0,55645.0,55685.0,55752.0,55812.0,55890.0,55953.0,56014.0,56063.0,56109.0,56158.0,56204.0,56242.0,56342.0
5015167,60300.0,60589.0,60817.0,61142.0,61309.0,61337.0,61410.0,61451.0,61563.0,61594.0,61666.0,61717.0,61812.0,61877.0,61950.0,62023.0,62135.0,62244.0,62376.0,62423.0,62490.0,62556.0,62594.0,62657.0,62700.0,62745.0,62859.0,62935.0,63021.0,63144.0,63169.0,63217.0,63247.0,63282.0,63343.0,63452.0,63549.0,63711.0,63835.0,63887.0,64004.0,64047.0,64143.0,64182.0,64217.0,64250.0,64292.0,64324.0,64368.0,64409.0,64478.0,64540.0,64613.0,64671.0,64728.0,64773.0,64816.0,64862.0,64907.0,64944.0,65044.0
5015773,45000.0,45273.0,45463.0,45733.0,45872.0,45900.0,45967.0,46005.0,46107.0,46135.0,46198.0,46241.0,46322.0,46365.0,46413.0,46461.0,46516.0,46569.0,46633.0,46667.0,46715.0,46764.0,46792.0,46847.0,46884.0,46922.0,47012.0,47072.0,47176.0,47289.0,47311.0,47353.0,47379.0,47411.0,47472.0,47583.0,47676.0,47833.0,47948.0,47996.0,48105.0,48143.0,48233.0,48269.0,48302.0,48333.0,48373.0,48402.0,48445.0,48485.0,48552.0,48612.0,48690.0,48753.0,48814.0,48863.0,48909.0,48958.0,49004.0,49042.0,49142.0
5016666,26100.0,26307.0,26437.0,26622.0,26717.0,26744.0,26797.0,26826.0,26906.0,26923.0,26961.0,26987.0,27037.0,27071.0,27109.0,27147.0,27186.0,27224.0,27271.0,27297.0,27335.0,27361.0,27376.0,27401.0,27430.0,27460.0,27511.0,27545.0,27574.0,27642.0,27656.0,27685.0,27703.0,27725.0,27765.0,27837.0,27878.0,27946.0,28007.0,28032.0,28090.0,28121.0,28177.0,28194.0,28209.0,28223.0,28241.0,28254.0,28281.0,28306.0,28347.0,28384.0,28438.0,28481.0,28516.0,28544.0,28570.0,28598.0,28637.0,28669.0,28753.0
5016668,34200.0,34422.0,34569.0,34778.0,34885.0,34905.0,34954.0,34982.0,35057.0,35080.0,35132.0,35160.0,35212.0,35246.0,35284.0,35322.0,35368.0,35412.0,35466.0,35493.0,35531.0,35571.0,35594.0,35656.0,35685.0,35715.0,35795.0,35847.0,35932.0,36029.0,36048.0,36086.0,36109.0,36137.0,36207.0,36334.0,36408.0,36532.0,36624.0,36663.0,36750.0,36786.0,36870.0,36903.0,36933.0,36961.0,36997.0,37024.0,37066.0,37104.0,37169.0,37227.0,37289.0,37339.0,37395.0,37439.0,37481.0,37526.0,37569.0,37604.0,37697.0
5016670,44100.0,44322.0,44469.0,44678.0,44785.0,44805.0,44854.0,44882.0,44957.0,44980.0,45032.0,45060.0,45112.0,45146.0,45184.0,45222.0,45268.0,45312.0,45366.0,45393.0,45431.0,45471.0,45494.0,45556.0,45585.0,45615.0,45695.0,45747.0,45832.0,45929.0,45948.0,45986.0,46009.0,46037.0,46107.0,46234.0,46308.0,46432.0,46524.0,46563.0,46650.0,46686.0,46770.0,46803.0,46833.0,46861.0,46897.0,46924.0,46966.0,47004.0,47069.0,47127.0,47189.0,47239.0,47295.0,47339.0,47381.0,47426.0,47469.0,47504.0,47597.0
5017340,41400.0,41673.0,41863.0,42133.0,42272.0,42300.0,42367.0,42405.0,42507.0,42535.0,42598.0,42641.0,42722.0,42765.0,42813.0,42861.0,42916.0,42969.0,43033.0,43067.0,43115.0,43164.0,43192.0,43247.0,43284.0,43322.0,43412.0,43472.0,43576.0,43689.0,43711.0,43753.0,43779.0,43811.0,43872.0,43983.0,44076.0,44233.0,44348.0,44396.0,44505.0,44543.0,44633.0,44669.0,44702.0,44733.0,44773.0,44802.0,44845.0,44885.0,44952.0,45012.0,45090.0,45153.0,45214.0,45263.0,45309.0,45358.0,45404.0,45442.0,45542.0
