tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P
5090532,39600.0,39606.0,39677.0,39718.0,39788.0,39866.0,39970.0,40037.0,40063.0,40090.0,40133.0,40184.0,40225.0,40258.0,40306.0,40349.0,40373.0,40396.0,40412.0,40436.0,40465.0,40494.0,40532.0,40555.0,40595.0,40664.0,40719.0,40759.0,40769.0,40805.0,40820.0,40856.0,40878.0,40958.0,40986.0,41023.0
5090534,45000.0,45008.0,45107.0,45165.0,45263.0,45360.0,45467.0,45535.0,45569.0,45606.0,45651.0,45704.0,45743.0,45774.0,45819.0,45859.0,45882.0,45925.0,45954.0,45998.0,46028.0,46058.0,46098.0,46129.0,46183.0,46256.0,46315.0,46363.0,46375.0,46419.0,46436.0,46475.0,46500.0,46587.0,46617.0,46658.0
5091584,29400.0,29408.0,29502.0,29557.0,29648.0,29794.0,29968.0,30079.0,30123.0,30171.0,30231.0,30302.0,30368.0,30422.0,30499.0,30568.0,30606.0,30654.0,30686.0,30724.0,30790.0,30855.0,30943.0,30981.0,31049.0,31175.0,31276.0,31340.0,31356.0,31414.0,31436.0,31488.0,31521.0,31637.0,31677.0,31731.0
5091586,35400.0,35410.0,35535.0,35608.0,35732.0,35858.0,35989.0,36072.0,36111.0,36153.0,36207.0,36271.0,36318.0,36357.0,36412.0,36461.0,36489.0,36532.0,36561.0,36602.0,36648.0,36694.0,36756.0,36797.0,36871.0,36981.0,37069.0,37120.0,37133.0,37179.0,37198.0,37242.0,37270.0,37369.0,37403.0,37449.0
5091588,41400.0,41412.0,41558.0,41643.0,41786.0,41905.0,42041.0,42128.0,42173.0,42222.0,42284.0,42357.0,42412.0,42457.0,42521.0,42578.0,42610.0,42655.0,42685.0,42726.0,42771.0,42816.0,42877.0,42915.0,42983.0,43092.0,43179.0,43237.0,43252.0,43305.0,43324.0,43369.0,43397.0,43497.0,43532.0,43580.0
5091590,47400.0,47412.0,47558.0,47643.0,47786.0,47905.0,48041.0,48128.0,48173.0,48222.0,48284.0,48357.0,48412.0,48457.0,48521.0,48578.0,48610.0,48655.0,48685.0,48726.0,48771.0,48816.0,48877.0,48915.0,48983.0,49092.0,49179.0,49237.0,49252.0,49305.0,49324.0,49369.0,49397.0,49497.0,49532.0,49580.0
5091592,53400.0,53412.0,53555.0,53639.0,53779.0,53897.0,54016.0,54092.0,54138.0,54188.0,54247.0,54317.0,54372.0,54417.0,54481.0,54539.0,54572.0,54625.0,54660.0,54705.0,54757.0,54809.0,54879.0,54919.0,54991.0,55131.0,55243.0,55304.0,55319.0,55375.0,55396.0,55445.0,55476.0,55585.0,55623.0,55674.0
5091594,60000.0,60013.0,60165.0,60254.0,60403.0,60535.0,60668.0,60753.0,60795.0,60841.0,60909.0,60989.0,61045.0,61090.0,61155.0,61213.0,61246.0,61291.0,61321.0,61368.0,61412.0,61455.0,61513.0,61548.0,61611.0,61729.0,61824.0,61899.0,61918.0,61987.0,62009.0,62060.0,62092.0,62206.0,62246.0,62300.0
5091596,66600.0,66612.0,66759.0,66845.0,66990.0,67102.0,67220.0,67295.0,67334.0,67376.0,67428.0,67489.0,67541.0,67583.0,67644.0,67698.0,67729.0,67775.0,67806.0,67849.0,67892.0,67934.0,67991.0,68026.0,68088.0,68166.0,68229.0,68292.0,68308.0,68365.0,68384.0,68430.0,68459.0,68561.0,68597.0,68645.0
5091597,75600.0,75610.0,75729.0,75799.0,75916.0,75998.0,76089.0,76147.0,76183.0,76222.0,76264.0,76313.0,76360.0,76399.0,76454.0,76504.0,76532.0,76573.0,76600.0,76638.0,76672.0,76706.0,76751.0,76777.0,76823.0,76885.0,76935.0,76983.0,76995.0,77038.0,77055.0,77096.0,77122.0,77214.0,77246.0,77289.0
