tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P
5016430,29400.0,29511.0,29693.0,29795.0,29868.0,29952.0,30041.0,30083.0,30239.0,30356.0,30421.0,30528.0,30596.0,30709.0,30770.0,30820.0,30901.0,30967.0,31040.0,31200.0,31307.0,31456.0,31533.0,31560.0,31597.0,31635.0,31741.0,31845.0,31889.0,31976.0,32058.0,32142.0,32191.0,32275.0,32351.0,32426.0,32534.0,32590.0,32632.0,32719.0,32818.0,33000.0,33080.0,33362.0
5016432,38700.0,38782.0,38915.0,38988.0,39054.0,39129.0,39229.0,39276.0,39452.0,39586.0,39641.0,39718.0,39776.0,39872.0,39914.0,39949.0,40009.0,40039.0,40073.0,40147.0,40196.0,40264.0,40324.0,40345.0,40374.0,40402.0,40464.0,40526.0,40556.0,40625.0,40690.0,40746.0,40779.0,40835.0,40885.0,40954.0,41053.0,41103.0,41141.0,41210.0,41288.0,41457.0,41531.0,41792.0
5016434,47700.0,47784.0,47921.0,48002.0,48071.0,48150.0,48250.0,48297.0,48473.0,48605.0,48661.0,48746.0,48808.0,48906.0,48951.0,48988.0,49049.0,49084.0,49123.0,49209.0,49267.0,49348.0,49411.0,49433.0,49463.0,49494.0,49557.0,49619.0,49652.0,49731.0,49804.0,49865.0,49901.0,49963.0,50019.0,50082.0,50172.0,50225.0,50265.0,50324.0,50391.0,50545.0,50618.0,50873.0
5016436,56700.0,56779.0,56909.0,57010.0,57078.0,57156.0,57251.0,57296.0,57463.0,57590.0,57648.0,57737.0,57798.0,57907.0,57959.0,58002.0,58068.0,58105.0,58146.0,58235.0,58295.0,58378.0,58434.0,58453.0,58480.0,58508.0,58568.0,58628.0,58663.0,58735.0,58802.0,58859.0,58892.0,58949.0,59000.0,59052.0,59127.0,59172.0,59206.0,59270.0,59342.0,59530.0,59606.0,59873.0
5016438,65700.0,65773.0,65893.0,65973.0,66033.0,66102.0,66181.0,66218.0,66356.0,66460.0,66512.0,66586.0,66636.0,66732.0,66775.0,66811.0,66866.0,66895.0,66927.0,66997.0,67044.0,67108.0,67161.0,67179.0,67204.0,67231.0,67296.0,67361.0,67386.0,67478.0,67564.0,67619.0,67651.0,67706.0,67756.0,67814.0,67898.0,67942.0,67975.0,68019.0,68068.0,68212.0,68288.0,68556.0
5016441,80400.0,80470.0,80584.0,80641.0,80696.0,80758.0,80821.0,80851.0,80962.0,81045.0,81087.0,81142.0,81189.0,81271.0,81308.0,81338.0,81389.0,81414.0,81442.0,81502.0,81542.0,81598.0,81647.0,81664.0,81688.0,81712.0,81750.0,81787.0,81810.0,81853.0,81894.0,81935.0,81959.0,82000.0,82038.0,82063.0,82099.0,82131.0,82156.0,82200.0,82251.0,82385.0,82456.0,82705.0
5019432,46800.0,46880.0,47011.0,47101.0,47171.0,47250.0,47320.0,47353.0,47475.0,47567.0,47624.0,47699.0,47750.0,47831.0,47872.0,47907.0,47975.0,48017.0,48063.0,48164.0,48232.0,48326.0,48392.0,48415.0,48447.0,48479.0,48546.0,48612.0,48637.0,48692.0,48743.0,48831.0,48882.0,48970.0,49050.0,49121.0,49222.0,49250.0,49272.0,49340.0,49418.0,49590.0,49662.0,49915.0
5083578,43200.0,43277.0,43403.0,43490.0,43557.0,43633.0,43700.0,43732.0,43850.0,43938.0,43993.0,44065.0,44114.0,44192.0,44232.0,44265.0,44330.0,44370.0,44415.0,44513.0,44578.0,44668.0,44732.0,44754.0,44784.0,44815.0,44879.0,44943.0,44967.0,45020.0,45069.0,45153.0,45202.0,45286.0,45364.0,45432.0,45529.0,45556.0,45577.0,45643.0,45717.0,45882.0,45951.0,46195.0
5083580,50400.0,50477.0,50603.0,50690.0,50757.0,50833.0,50900.0,50932.0,51050.0,51138.0,51193.0,51265.0,51314.0,51392.0,51432.0,51465.0,51530.0,51570.0,51615.0,51713.0,51778.0,51868.0,51932.0,51954.0,51984.0,52015.0,52079.0,52143.0,52167.0,52220.0,52269.0,52353.0,52402.0,52486.0,52564.0,52632.0,52729.0,52756.0,52777.0,52843.0,52917.0,53082.0,53151.0,53395.0
5083582,57600.0,57672.0,57789.0,57906.0,57977.0,58058.0,58136.0,58173.0,58310.0,58412.0,58476.0,58554.0,58611.0,58712.0,58746.0,58774.0,58831.0,58860.0,58892.0,58962.0,59009.0,59074.0,59129.0,59148.0,59174.0,59201.0,59259.0,59317.0,59352.0,59429.0,59501.0,59559.0,59593.0,59651.0,59703.0,59765.0,59855.0,59896.0,59927.0,59981.0,60042.0,60174.0,60239.0,60469.0
5083584,64800.0,64870.0,64984.0,65026.0,65090.0,65163.0,65234.0,65268.0,65393.0,65487.0,65547.0,65603.0,65649.0,65743.0,65777.0,65805.0,65855.0,65886.0,65921.0,65997.0,66048.0,66120.0,66176.0,66195.0,66222.0,66249.0,66306.0,66363.0,66387.0,66437.0,66483.0,66541.0,66575.0,66633.0,66685.0,66733.0,66801.0,66849.0,66885.0,66948.0,67019.0,67146.0,67214.0,67453.0
5083586,72000.0,72064.0,72168.0,72227.0,72297.0,72376.0,72445.0,72478.0,72599.0,72690.0,72751.0,72809.0,72864.0,72954.0,73007.0,73051.0,73117.0,73147.0,73180.0,73252.0,73300.0,73366.0,73423.0,73443.0,73470.0,73497.0,73554.0,73611.0,73650.0,73738.0,73821.0,73880.0,73914.0,73973.0,74027.0,74066.0,74123.0,74181.0,74226.0,74290.0,74362.0,74464.0,74525.0,74739.0
5083588,79200.0,79263.0,79367.0,79418.0,79469.0,79526.0,79593.0,79625.0,79743.0,79831.0,79875.0,79924.0,79969.0,80054.0,80089.0,80118.0,80172.0,80193.0,80216.0,80266.0,80300.0,80346.0,80394.0,80410.0,80433.0,80456.0,80499.0,80541.0,80561.0,80600.0,80637.0,80676.0,80699.0,80738.0,80774.0,80800.0,80838.0,80871.0,80896.0,80950.0,81011.0,81131.0,81194.0,81416.0
5088268,29400.0,29507.0,29682.0,29780.0,29851.0,29931.0,30016.0,30056.0,30206.0,30319.0,30382.0,30485.0,30550.0,30659.0,30717.0,30766.0,30844.0,30907.0,30978.0,31132.0,31235.0,31378.0,31452.0,31478.0,31514.0,31550.0,31652.0,31752.0,31794.0,31878.0,31957.0,32037.0,32084.0,32165.0,32239.0,32311.0,32415.0,32468.0,32509.0,32593.0,32688.0,32863.0,32940.0,33211.0
5088270,38700.0,38779.0,38907.0,38977.0,39041.0,39113.0,39210.0,39255.0,39424.0,39552.0,39605.0,39679.0,39735.0,39827.0,39867.0,39901.0,39959.0,39988.0,40020.0,40091.0,40138.0,40204.0,40262.0,40282.0,40310.0,40337.0,40397.0,40456.0,40485.0,40552.0,40614.0,40668.0,40699.0,40753.0,40802.0,40868.0,40964.0,41012.0,41049.0,41115.0,41190.0,41353.0,41424.0,41675.0
