tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P
5092220,78300.0,78332.0,78355.0,78378.0,78419.0,78478.0,78508.0,78541.0,78598.0,78617.0,78638.0,78663.0,78696.0,78713.0,78757.0,78779.0,78805.0,78875.0,78920.0,78957.0,79003.0,79045.0,79073.0,79104.0,79172.0,79207.0,79243.0,79280.0,79326.0,79356.0,79407.0,79428.0,79496.0,79540.0,79591.0,79699.0,79784.0,79869.0,79953.0
5092222,84000.0,84032.0,84055.0,84078.0,84119.0,84178.0,84208.0,84241.0,84298.0,84317.0,84338.0,84363.0,84396.0,84413.0,84457.0,84479.0,84505.0,84575.0,84620.0,84657.0,84703.0,84745.0,84773.0,84804.0,84872.0,84907.0,84943.0,84980.0,85026.0,85056.0,85107.0,85128.0,85196.0,85240.0,85291.0,85399.0,85484.0,85569.0,85653.0
5093719,35100.0,35132.0,35155.0,35179.0,35221.0,35282.0,35312.0,35346.0,35407.0,35437.0,35470.0,35512.0,35568.0,35597.0,35671.0,35708.0,35750.0,35838.0,35898.0,35948.0,36002.0,36052.0,36091.0,36134.0,36209.0,36248.0,36288.0,36330.0,36378.0,36408.0,36465.0,36489.0,36586.0,36650.0,36723.0,36901.0,36987.0,37073.0,37160.0
5093721,66300.0,66335.0,66361.0,66387.0,66433.0,66499.0,66532.0,66569.0,66634.0,66667.0,66702.0,66745.0,66802.0,66832.0,66909.0,66947.0,66990.0,67102.0,67179.0,67242.0,67295.0,67343.0,67386.0,67434.0,67516.0,67558.0,67602.0,67646.0,67698.0,67731.0,67778.0,67798.0,67867.0,67912.0,67964.0,68095.0,68170.0,68245.0,68319.0
5093723,72300.0,72331.0,72354.0,72377.0,72418.0,72477.0,72506.0,72539.0,72596.0,72620.0,72646.0,72678.0,72721.0,72743.0,72800.0,72828.0,72862.0,72940.0,72989.0,73029.0,73071.0,73110.0,73141.0,73175.0,73239.0,73272.0,73306.0,73341.0,73384.0,73412.0,73458.0,73477.0,73547.0,73593.0,73645.0,73767.0,73840.0,73913.0,73985.0
5097577,29700.0,29730.0,29752.0,29775.0,29815.0,29872.0,29901.0,29933.0,29988.0,30005.0,30023.0,30050.0,30085.0,30103.0,30151.0,30175.0,30202.0,30250.0,30284.0,30312.0,30337.0,30359.0,30377.0,30396.0,30441.0,30464.0,30488.0,30514.0,30552.0,30577.0,30629.0,30651.0,30706.0,30742.0,30783.0,30872.0,30921.0,30970.0,31020.0
5097581,40500.0,40528.0,40548.0,40569.0,40605.0,40657.0,40683.0,40712.0,40764.0,40785.0,40808.0,40835.0,40871.0,40890.0,40939.0,40963.0,40992.0,41061.0,41099.0,41130.0,41172.0,41210.0,41237.0,41268.0,41334.0,41368.0,41404.0,41440.0,41478.0,41503.0,41552.0,41573.0,41636.0,41677.0,41725.0,41824.0,41887.0,41950.0,42012.0
5098768,22800.0,22828.0,22848.0,22869.0,22906.0,22959.0,22985.0,23014.0,23066.0,23096.0,23128.0,23156.0,23194.0,23214.0,23264.0,23289.0,23318.0,23399.0,23441.0,23476.0,23528.0,23576.0,23609.0,23646.0,23718.0,23755.0,23793.0,23832.0,23886.0,23920.0,23967.0,23987.0,24054.0,24097.0,24147.0,24287.0,24348.0,24409.0,24470.0
5098772,36000.0,36032.0,36055.0,36079.0,36121.0,36182.0,36212.0,36246.0,36307.0,36337.0,36370.0,36412.0,36468.0,36497.0,36571.0,36608.0,36650.0,36738.0,36798.0,36848.0,36902.0,36952.0,36991.0,37034.0,37109.0,37148.0,37188.0,37230.0,37278.0,37308.0,37365.0,37389.0,37486.0,37550.0,37623.0,37801.0,37887.0,37973.0,38060.0
5098774,42000.0,42034.0,42059.0,42084.0,42128.0,42192.0,42224.0,42260.0,42323.0,42354.0,42387.0,42433.0,42494.0,42526.0,42607.0,42647.0,42693.0,42770.0,42834.0,42886.0,42942.0,42993.0,43041.0,43094.0,43184.0,43230.0,43278.0,43328.0,43382.0,43417.0,43480.0,43507.0,43597.0,43656.0,43723.0,43880.0,43959.0,44038.0,44116.0
5098776,48000.0,48034.0,48059.0,48084.0,48128.0,48192.0,48224.0,48260.0,48323.0,48354.0,48387.0,48433.0,48494.0,48526.0,48607.0,48647.0,48693.0,48770.0,48834.0,48886.0,48942.0,48993.0,49041.0,49094.0,49184.0,49230.0,49278.0,49328.0,49382.0,49417.0,49480.0,49507.0,49597.0,49656.0,49723.0,49880.0,49959.0,50038.0,50116.0
