tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P
5089455,64800.0,64874.0,64917.0,64985.0,65028.0,65063.0,65103.0,65142.0,65221.0,65296.0,65336.0,65417.0,65545.0,65671.0,65827.0,66069.0,66203.0,66296.0,66357.0,66425.0,66488.0,66548.0,66593.0,66659.0,66722.0,66750.0,66846.0,66917.0,66938.0,66957.0,66999.0,67061.0,67119.0,67158.0,67220.0,67280.0,67346.0,67437.0,67486.0,67547.0,67591.0,67675.0,67716.0,67745.0,67770.0,67793.0,67821.0,67841.0,67890.0,67968.0,68004.0,68057.0,68118.0,68171.0,68205.0,68225.0,68274.0,68307.0,68335.0
5089883,33300.0,33421.0,33492.0,33604.0,33675.0,33714.0,33758.0,33882.0,34030.0,34170.0,34245.0,34327.0,34475.0,34621.0,34828.0,35149.0,35328.0,35435.0,35505.0,35581.0,35650.0,35698.0,35734.0,35785.0,35833.0,35870.0,35964.0,36033.0,36065.0,36092.0,36151.0,36212.0,36269.0,36307.0,36369.0,36425.0,36461.0,36546.0,36580.0,36623.0,36656.0,36718.0,36754.0,36780.0,36813.0,36843.0,36879.0,36904.0,36959.0,37046.0,37087.0,37140.0,37201.0,37264.0,37304.0,37328.0,37384.0,37467.0,37538.0
5089885,44100.0,44178.0,44224.0,44296.0,44340.0,44372.0,44408.0,44491.0,44601.0,44705.0,44760.0,44845.0,44976.0,45105.0,45262.0,45505.0,45640.0,45730.0,45789.0,45855.0,45915.0,45964.0,46002.0,46057.0,46109.0,46142.0,46254.0,46337.0,46367.0,46393.0,46452.0,46515.0,46574.0,46615.0,46680.0,46734.0,46781.0,46876.0,46912.0,46970.0,47005.0,47073.0,47113.0,47142.0,47175.0,47205.0,47241.0,47268.0,47328.0,47423.0,47468.0,47521.0,47582.0,47653.0,47695.0,47720.0,47780.0,47865.0,47938.0
5089887,54360.0,54434.0,54478.0,54547.0,54590.0,54625.0,54664.0,54747.0,54863.0,54973.0,55031.0,55103.0,55241.0,55378.0,55535.0,55779.0,55914.0,56017.0,56085.0,56163.0,56235.0,56304.0,56356.0,56431.0,56502.0,56549.0,56639.0,56705.0,56742.0,56773.0,56828.0,56905.0,56976.0,57036.0,57132.0,57195.0,57254.0,57356.0,57405.0,57483.0,57523.0,57599.0,57649.0,57684.0,57729.0,57770.0,57819.0,57855.0,57927.0,58041.0,58094.0,58148.0,58210.0,58285.0,58330.0,58357.0,58421.0,58510.0,58587.0
5089889,65700.0,65786.0,65837.0,65917.0,65966.0,65996.0,66029.0,66124.0,66215.0,66301.0,66347.0,66411.0,66532.0,66651.0,66851.0,67162.0,67335.0,67437.0,67503.0,67591.0,67671.0,67746.0,67803.0,67877.0,67947.0,67991.0,68075.0,68138.0,68175.0,68207.0,68279.0,68354.0,68423.0,68475.0,68559.0,68630.0,68677.0,68790.0,68837.0,68909.0,68952.0,69034.0,69085.0,69121.0,69161.0,69197.0,69241.0,69273.0,69335.0,69434.0,69481.0,69537.0,69601.0,69672.0,69710.0,69733.0,69787.0,69851.0,69905.0
5090162,48600.0,48676.0,48721.0,48791.0,48835.0,48867.0,48903.0,48960.0,49043.0,49122.0,49164.0,49226.0,49346.0,49464.0,49607.0,49829.0,49952.0,50027.0,50076.0,50130.0,50179.0,50228.0,50265.0,50319.0,50370.0,50401.0,50493.0,50562.0,50590.0,50615.0,50665.0,50724.0,50778.0,50821.0,50889.0,50931.0,50979.0,51070.0,51107.0,51167.0,51202.0,51268.0,51312.0,51343.0,51374.0,51402.0,51436.0,51461.0,51511.0,51590.0,51628.0,51685.0,51751.0,51814.0,51852.0,51875.0,51930.0,52044.0,52142.0
5090166,68400.0,68471.0,68513.0,68579.0,68621.0,68648.0,68679.0,68738.0,68807.0,68873.0,68908.0,68981.0,69099.0,69216.0,69339.0,69530.0,69635.0,69731.0,69793.0,69848.0,69898.0,69942.0,69976.0,70015.0,70053.0,70091.0,70163.0,70216.0,70248.0,70275.0,70324.0,70386.0,70444.0,70488.0,70559.0,70610.0,70651.0,70746.0,70784.0,70855.0,70893.0,70965.0,71007.0,71037.0,71066.0,71092.0,71123.0,71145.0,71184.0,71246.0,71276.0,71327.0,71385.0,71429.0,71459.0,71477.0,71520.0,71609.0,71685.0
5092017,31800.0,31877.0,31922.0,31993.0,32038.0,32076.0,32119.0,32177.0,32244.0,32308.0,32342.0,32441.0,32598.0,32754.0,32865.0,33038.0,33134.0,33194.0,33234.0,33322.0,33402.0,33459.0,33502.0,33548.0,33593.0,33625.0,33680.0,33721.0,33756.0,33787.0,33825.0,33878.0,33927.0,33962.0,34019.0,34074.0,34121.0,34208.0,34248.0,34291.0,34325.0,34389.0,34422.0,34445.0,34471.0,34494.0,34522.0,34542.0,34588.0,34661.0,34696.0,34740.0,34791.0,34832.0,34867.0,34888.0,34938.0,35013.0,35078.0
5092019,41400.0,41470.0,41511.0,41575.0,41615.0,41645.0,41678.0,41732.0,41805.0,41874.0,41911.0,41979.0,42107.0,42234.0,42354.0,42540.0,42643.0,42711.0,42755.0,42810.0,42860.0,42906.0,42941.0,42992.0,43040.0,43071.0,43138.0,43187.0,43215.0,43240.0,43279.0,43330.0,43378.0,43413.0,43470.0,43509.0,43544.0,43616.0,43654.0,43694.0,43726.0,43788.0,43824.0,43849.0,43878.0,43904.0,43935.0,43957.0,44005.0,44082.0,44118.0,44170.0,44230.0,44277.0,44313.0,44334.0,44385.0,44481.0,44564.0
5092021,51000.0,51076.0,51121.0,51191.0,51235.0,51267.0,51303.0,51360.0,51443.0,51522.0,51564.0,51626.0,51746.0,51864.0,52007.0,52229.0,52352.0,52427.0,52476.0,52530.0,52579.0,52628.0,52665.0,52719.0,52770.0,52801.0,52893.0,52962.0,52990.0,53015.0,53065.0,53124.0,53178.0,53221.0,53289.0,53331.0,53379.0,53470.0,53507.0,53567.0,53602.0,53668.0,53712.0,53743.0,53774.0,53802.0,53836.0,53861.0,53911.0,53990.0,54028.0,54085.0,54151.0,54214.0,54252.0,54275.0,54330.0,54444.0,54542.0
