tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P
5018973,72000.0,72283.0,72484.0,72539.0,72591.0,72694.0,72787.0,72815.0,72844.0,72870.0,72903.0,72948.0,72990.0,73047.0,73112.0,73134.0,73166.0,73187.0,73207.0,73240.0,73275.0,73315.0,73344.0,73368.0,73422.0,73483.0,73547.0,73598.0,73692.0,73716.0,73742.0,73811.0,73846.0,73895.0,73955.0,74013.0,74050.0,74068.0,74153.0,74217.0,74289.0,74356.0,74411.0,74439.0,74484.0,74535.0,74571.0,74609.0,74641.0,74664.0,74726.0,74794.0,74817.0,74874.0,74921.0,74942.0,75001.0,75029.0,75055.0
5086492,23400.0,23554.0,23663.0,23704.0,23742.0,23818.0,23887.0,23922.0,23958.0,23975.0,23996.0,24025.0,24053.0,24093.0,24140.0,24159.0,24187.0,24206.0,24223.0,24252.0,24287.0,24327.0,24343.0,24357.0,24399.0,24451.0,24506.0,24558.0,24654.0,24671.0,24690.0,24745.0,24773.0,24846.0,24936.0,24976.0,25002.0,25017.0,25067.0,25117.0,25174.0,25226.0,25269.0,25291.0,25326.0,25366.0,25395.0,25425.0,25451.0,25469.0,25517.0,25587.0,25610.0,25669.0,25721.0,25744.0,25808.0,25839.0,25868.0
5086494,32400.0,32690.0,32896.0,32967.0,33033.0,33166.0,33285.0,33330.0,33376.0,33403.0,33436.0,33482.0,33524.0,33561.0,33604.0,33635.0,33680.0,33710.0,33738.0,33785.0,33821.0,33862.0,33882.0,33900.0,33960.0,34024.0,34091.0,34149.0,34256.0,34275.0,34295.0,34366.0,34402.0,34460.0,34532.0,34572.0,34604.0,34621.0,34691.0,34756.0,34829.0,34897.0,34952.0,34980.0,35026.0,35069.0,35100.0,35133.0,35161.0,35181.0,35233.0,35303.0,35326.0,35385.0,35432.0,35453.0,35512.0,35540.0,35566.0
5086496,43200.0,43429.0,43591.0,43664.0,43732.0,43869.0,43993.0,44024.0,44055.0,44090.0,44134.0,44195.0,44252.0,44295.0,44344.0,44392.0,44460.0,44506.0,44549.0,44621.0,44654.0,44692.0,44714.0,44732.0,44792.0,44874.0,44959.0,45019.0,45128.0,45154.0,45181.0,45262.0,45303.0,45357.0,45424.0,45468.0,45498.0,45526.0,45598.0,45665.0,45740.0,45810.0,45867.0,45896.0,45943.0,45990.0,46023.0,46058.0,46088.0,46109.0,46167.0,46237.0,46260.0,46320.0,46377.0,46402.0,46472.0,46506.0,46537.0
5086498,54000.0,54202.0,54346.0,54408.0,54466.0,54583.0,54688.0,54736.0,54784.0,54823.0,54871.0,54938.0,55000.0,55039.0,55084.0,55133.0,55204.0,55251.0,55295.0,55370.0,55424.0,55485.0,55523.0,55556.0,55664.0,55744.0,55828.0,55900.0,56032.0,56060.0,56090.0,56181.0,56226.0,56286.0,56361.0,56427.0,56462.0,56493.0,56574.0,56643.0,56720.0,56792.0,56850.0,56880.0,56928.0,56977.0,57012.0,57049.0,57080.0,57102.0,57160.0,57237.0,57263.0,57328.0,57381.0,57405.0,57471.0,57503.0,57531.0
5086500,64800.0,65082.0,65283.0,65369.0,65449.0,65610.0,65755.0,65847.0,65940.0,65987.0,66045.0,66125.0,66200.0,66253.0,66314.0,66363.0,66433.0,66480.0,66524.0,66596.0,66635.0,66679.0,66713.0,66742.0,66824.0,66915.0,67010.0,67081.0,67210.0,67244.0,67281.0,67367.0,67410.0,67502.0,67616.0,67676.0,67712.0,67740.0,67814.0,67875.0,67944.0,68008.0,68060.0,68087.0,68129.0,68188.0,68230.0,68274.0,68312.0,68339.0,68410.0,68487.0,68513.0,68577.0,68627.0,68649.0,68711.0,68741.0,68768.0
5086502,76500.0,76739.0,76909.0,76962.0,77012.0,77112.0,77201.0,77236.0,77272.0,77296.0,77326.0,77368.0,77408.0,77439.0,77474.0,77498.0,77532.0,77555.0,77576.0,77611.0,77641.0,77674.0,77693.0,77709.0,77750.0,77802.0,77857.0,77901.0,77983.0,78008.0,78035.0,78103.0,78137.0,78192.0,78260.0,78306.0,78338.0,78360.0,78398.0,78450.0,78509.0,78563.0,78607.0,78630.0,78667.0,78706.0,78734.0,78764.0,78789.0,78807.0,78855.0,78922.0,78945.0,79002.0,79041.0,79059.0,79108.0,79132.0,79153.0
5086504,84600.0,84839.0,85009.0,85062.0,85112.0,85212.0,85301.0,85336.0,85372.0,85396.0,85426.0,85468.0,85508.0,85539.0,85574.0,85598.0,85632.0,85655.0,85676.0,85711.0,85741.0,85774.0,85793.0,85809.0,85850.0,85902.0,85957.0,86001.0,86083.0,86108.0,86135.0,86203.0,86237.0,86292.0,86360.0,86406.0,86438.0,86460.0,86498.0,86550.0,86609.0,86663.0,86707.0,86730.0,86767.0,86806.0,86834.0,86864.0,86889.0,86907.0,86955.0,87022.0,87045.0,87102.0,87141.0,87159.0,87208.0,87232.0,87253.0
5087895,36000.0,36330.0,36564.0,36598.0,36630.0,36693.0,36750.0,36779.0,36808.0,36826.0,36849.0,36881.0,36910.0,36935.0,36964.0,36988.0,37022.0,37045.0,37066.0,37103.0,37133.0,37168.0,37185.0,37200.0,37236.0,37286.0,37338.0,37381.0,37459.0,37482.0,37507.0,37557.0,37582.0,37629.0,37687.0,37722.0,37748.0,37772.0,37843.0,37895.0,37954.0,38009.0,38054.0,38077.0,38113.0,38151.0,38178.0,38206.0,38230.0,38247.0,38292.0,38358.0,38380.0,38436.0,38482.0,38502.0,38559.0,38587.0,38611.0
5087897,50400.0,50607.0,50754.0,50799.0,50841.0,50925.0,51000.0,51021.0,51042.0,51068.0,51101.0,51146.0,51189.0,51227.0,51270.0,51299.0,51340.0,51368.0,51394.0,51436.0,51466.0,51499.0,51523.0,51543.0,51598.0,51655.0,51714.0,51761.0,51847.0,51865.0,51885.0,51960.0,51998.0,52065.0,52149.0,52184.0,52211.0,52237.0,52267.0,52324.0,52389.0,52449.0,52498.0,52523.0,52563.0,52609.0,52642.0,52677.0,52707.0,52728.0,52784.0,52860.0,52885.0,52949.0,53018.0,53049.0,53134.0,53176.0,53213.0
