tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P
5086992,44100.0,44179.0,44251.0,44316.0,44358.0,44431.0,44469.0,44499.0,44537.0,44637.0,44663.0,44693.0,44765.0,44827.0,44875.0,44924.0,45053.0,45082.0,45110.0,45138.0,45188.0,45209.0,45242.0,45281.0,45295.0,45342.0,45374.0,45411.0,45441.0,45482.0,45574.0,45597.0,45636.0,45681.0,45725.0,45754.0,45794.0,45826.0,45869.0,45918.0,45976.0,46013.0,46041.0,46080.0,46139.0,46278.0,46405.0,46606.0,46691.0,46775.0,46814.0,46852.0,46875.0
5086994,53100.0,53184.0,53261.0,53330.0,53367.0,53449.0,53480.0,53505.0,53547.0,53660.0,53686.0,53716.0,53781.0,53847.0,53898.0,53951.0,54067.0,54093.0,54118.0,54144.0,54189.0,54212.0,54250.0,54294.0,54309.0,54362.0,54389.0,54421.0,54447.0,54482.0,54558.0,54577.0,54612.0,54654.0,54698.0,54727.0,54767.0,54795.0,54832.0,54917.0,54980.0,55018.0,55043.0,55078.0,55133.0,55264.0,55389.0,55589.0,55638.0,55735.0,55780.0,55823.0,55854.0
5086998,71100.0,71150.0,71196.0,71238.0,71258.0,71322.0,71344.0,71362.0,71395.0,71485.0,71512.0,71543.0,71606.0,71650.0,71684.0,71718.0,71830.0,71855.0,71879.0,71904.0,71948.0,71967.0,71997.0,72032.0,72044.0,72085.0,72112.0,72144.0,72169.0,72203.0,72257.0,72271.0,72308.0,72352.0,72376.0,72392.0,72414.0,72440.0,72475.0,72547.0,72595.0,72631.0,72646.0,72667.0,72699.0,72819.0,72980.0,73236.0,73329.0,73372.0,73392.0,73412.0,73430.0
5087686,80100.0,80163.0,80220.0,80272.0,80302.0,80378.0,80403.0,80423.0,80464.0,80567.0,80595.0,80629.0,80685.0,80750.0,80800.0,80851.0,80956.0,80980.0,81003.0,81026.0,81066.0,81084.0,81113.0,81146.0,81158.0,81198.0,81222.0,81251.0,81274.0,81306.0,81373.0,81390.0,81421.0,81457.0,81484.0,81502.0,81527.0,81544.0,81567.0,81625.0,81664.0,81689.0,81709.0,81737.0,81781.0,81922.0,82057.0,82271.0,82320.0,82388.0,82420.0,82451.0,82474.0
5091763,39600.0,39679.0,39751.0,39816.0,39858.0,39931.0,39969.0,39999.0,40037.0,40137.0,40163.0,40193.0,40265.0,40327.0,40375.0,40424.0,40553.0,40582.0,40610.0,40638.0,40688.0,40709.0,40742.0,40781.0,40795.0,40842.0,40874.0,40911.0,40941.0,40982.0,41074.0,41097.0,41136.0,41181.0,41225.0,41254.0,41294.0,41326.0,41369.0,41418.0,41476.0,41513.0,41541.0,41580.0,41639.0,41778.0,41905.0,42106.0,42191.0,42275.0,42314.0,42352.0,42375.0
5091765,48600.0,48679.0,48751.0,48816.0,48858.0,48931.0,48969.0,48999.0,49037.0,49137.0,49163.0,49193.0,49265.0,49327.0,49375.0,49424.0,49553.0,49582.0,49610.0,49638.0,49688.0,49709.0,49742.0,49781.0,49795.0,49842.0,49874.0,49911.0,49941.0,49982.0,50074.0,50097.0,50136.0,50181.0,50225.0,50254.0,50294.0,50326.0,50369.0,50418.0,50476.0,50513.0,50541.0,50580.0,50639.0,50778.0,50905.0,51106.0,51191.0,51275.0,51314.0,51352.0,51375.0
5091767,57600.0,57684.0,57761.0,57830.0,57867.0,57949.0,57980.0,58005.0,58047.0,58160.0,58186.0,58216.0,58281.0,58347.0,58398.0,58451.0,58567.0,58593.0,58618.0,58644.0,58689.0,58712.0,58750.0,58794.0,58809.0,58862.0,58889.0,58921.0,58947.0,58982.0,59058.0,59077.0,59112.0,59154.0,59198.0,59227.0,59267.0,59295.0,59332.0,59417.0,59480.0,59518.0,59543.0,59578.0,59633.0,59764.0,59889.0,60089.0,60138.0,60235.0,60280.0,60323.0,60354.0
5091769,66600.0,66684.0,66761.0,66830.0,66867.0,66949.0,66980.0,67005.0,67047.0,67160.0,67186.0,67216.0,67281.0,67347.0,67398.0,67451.0,67567.0,67593.0,67618.0,67644.0,67689.0,67712.0,67750.0,67794.0,67809.0,67862.0,67889.0,67921.0,67947.0,67982.0,68058.0,68077.0,68112.0,68154.0,68198.0,68227.0,68267.0,68295.0,68332.0,68417.0,68480.0,68518.0,68543.0,68578.0,68633.0,68764.0,68889.0,69089.0,69138.0,69235.0,69280.0,69323.0,69354.0
5091771,75600.0,75663.0,75720.0,75772.0,75802.0,75878.0,75903.0,75923.0,75964.0,76067.0,76095.0,76129.0,76185.0,76250.0,76300.0,76351.0,76456.0,76480.0,76503.0,76526.0,76566.0,76584.0,76613.0,76646.0,76658.0,76698.0,76722.0,76751.0,76774.0,76806.0,76873.0,76890.0,76921.0,76957.0,76984.0,77002.0,77027.0,77044.0,77067.0,77125.0,77164.0,77189.0,77209.0,77237.0,77281.0,77422.0,77557.0,77771.0,77820.0,77888.0,77920.0,77951.0,77974.0
5091773,84600.0,84663.0,84720.0,84772.0,84802.0,84878.0,84903.0,84923.0,84964.0,85067.0,85095.0,85129.0,85185.0,85250.0,85300.0,85351.0,85456.0,85480.0,85503.0,85526.0,85566.0,85584.0,85613.0,85646.0,85658.0,85698.0,85722.0,85751.0,85774.0,85806.0,85873.0,85890.0,85921.0,85957.0,85984.0,86002.0,86027.0,86044.0,86067.0,86125.0,86164.0,86189.0,86209.0,86237.0,86281.0,86422.0,86557.0,86771.0,86820.0,86888.0,86920.0,86951.0,86974.0
