tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P
5009124,32400.0,32440.0,32470.0,32507.0,32559.0,32613.0,32685.0,32766.0,32876.0,32929.0,32984.0,33048.0,33136.0,33269.0,33326.0,33413.0,33487.0,33580.0,33703.0,33744.0,33802.0,33864.0,33910.0,33945.0,34010.0,34050.0,34113.0,34145.0,34210.0,34280.0,34322.0,34387.0,34434.0,34516.0,34571.0,34634.0,34764.0,34833.0,34890.0,34945.0,35000.0,35064.0,35098.0,35211.0,35285.0,35393.0
5009126,39600.0,39645.0,39679.0,39709.0,39751.0,39796.0,39843.0,39895.0,39966.0,40001.0,40036.0,40078.0,40168.0,40244.0,40277.0,40343.0,40399.0,40470.0,40565.0,40607.0,40666.0,40729.0,40775.0,40810.0,40875.0,40914.0,40973.0,41004.0,41064.0,41121.0,41155.0,41207.0,41245.0,41308.0,41350.0,41394.0,41486.0,41539.0,41583.0,41628.0,41673.0,41722.0,41748.0,41874.0,41956.0,42077.0
5009128,46800.0,46845.0,46879.0,46909.0,46951.0,46996.0,47043.0,47095.0,47166.0,47201.0,47236.0,47278.0,47368.0,47444.0,47477.0,47543.0,47599.0,47670.0,47765.0,47807.0,47866.0,47929.0,47975.0,48010.0,48075.0,48114.0,48173.0,48204.0,48264.0,48321.0,48355.0,48407.0,48445.0,48508.0,48550.0,48594.0,48686.0,48739.0,48783.0,48828.0,48873.0,48922.0,48948.0,49074.0,49156.0,49277.0
5009130,54000.0,54035.0,54061.0,54093.0,54138.0,54186.0,54241.0,54303.0,54387.0,54428.0,54470.0,54520.0,54614.0,54730.0,54780.0,54853.0,54915.0,54994.0,55098.0,55144.0,55210.0,55280.0,55331.0,55370.0,55443.0,55488.0,55542.0,55570.0,55622.0,55687.0,55725.0,55777.0,55815.0,55874.0,55914.0,55957.0,56047.0,56097.0,56139.0,56180.0,56220.0,56275.0,56305.0,56440.0,56528.0,56657.0
5009132,62100.0,62135.0,62161.0,62188.0,62225.0,62264.0,62313.0,62368.0,62443.0,62479.0,62516.0,62561.0,62630.0,62697.0,62726.0,62782.0,62830.0,62890.0,62969.0,63005.0,63056.0,63110.0,63150.0,63180.0,63236.0,63270.0,63319.0,63344.0,63385.0,63440.0,63472.0,63520.0,63555.0,63612.0,63650.0,63687.0,63763.0,63817.0,63862.0,63902.0,63942.0,63972.0,63988.0,64123.0,64211.0,64341.0
5009134,69600.0,69635.0,69661.0,69684.0,69716.0,69748.0,69786.0,69829.0,69887.0,69915.0,69944.0,69977.0,70052.0,70122.0,70152.0,70204.0,70248.0,70304.0,70378.0,70411.0,70458.0,70508.0,70545.0,70573.0,70625.0,70655.0,70705.0,70731.0,70785.0,70835.0,70865.0,70909.0,70941.0,71002.0,71043.0,71086.0,71174.0,71223.0,71263.0,71298.0,71333.0,71372.0,71393.0,71514.0,71593.0,71708.0
5010109,42000.0,42045.0,42079.0,42115.0,42165.0,42216.0,42268.0,42326.0,42405.0,42444.0,42483.0,42530.0,42625.0,42720.0,42761.0,42828.0,42885.0,42957.0,43054.0,43102.0,43170.0,43243.0,43296.0,43336.0,43412.0,43459.0,43541.0,43584.0,43651.0,43724.0,43768.0,43833.0,43879.0,43943.0,43986.0,44033.0,44132.0,44190.0,44239.0,44285.0,44330.0,44412.0,44455.0,44587.0,44673.0,44800.0
5010111,49200.0,49245.0,49279.0,49315.0,49365.0,49416.0,49468.0,49526.0,49605.0,49644.0,49683.0,49730.0,49825.0,49920.0,49961.0,50028.0,50085.0,50157.0,50254.0,50302.0,50370.0,50443.0,50496.0,50536.0,50612.0,50659.0,50741.0,50784.0,50851.0,50924.0,50968.0,51033.0,51079.0,51143.0,51186.0,51233.0,51332.0,51390.0,51439.0,51485.0,51530.0,51612.0,51655.0,51787.0,51873.0,52000.0
5010113,56400.0,56444.0,56476.0,56516.0,56572.0,56629.0,56675.0,56726.0,56796.0,56830.0,56865.0,56905.0,57006.0,57076.0,57106.0,57165.0,57215.0,57278.0,57360.0,57398.0,57452.0,57510.0,57552.0,57584.0,57644.0,57682.0,57748.0,57782.0,57853.0,57906.0,57938.0,57994.0,58034.0,58090.0,58127.0,58166.0,58247.0,58294.0,58333.0,58375.0,58417.0,58465.0,58491.0,58630.0,58721.0,58853.0
5010115,63600.0,63629.0,63651.0,63677.0,63713.0,63750.0,63797.0,63850.0,63922.0,63957.0,63993.0,64036.0,64151.0,64242.0,64281.0,64343.0,64395.0,64461.0,64549.0,64584.0,64633.0,64685.0,64723.0,64752.0,64807.0,64840.0,64889.0,64914.0,64977.0,65030.0,65062.0,65104.0,65134.0,65179.0,65210.0,65248.0,65328.0,65389.0,65439.0,65481.0,65523.0,65569.0,65594.0,65718.0,65799.0,65918.0
5011687,22200.0,22229.0,22250.0,22276.0,22312.0,22349.0,22386.0,22428.0,22485.0,22513.0,22541.0,22574.0,22617.0,22684.0,22713.0,22760.0,22800.0,22851.0,22919.0,22946.0,22985.0,23026.0,23056.0,23079.0,23122.0,23150.0,23211.0,23243.0,23282.0,23328.0,23355.0,23400.0,23432.0,23503.0,23551.0,23602.0,23707.0,23753.0,23792.0,23827.0,23862.0,23926.0,23960.0,24063.0,24130.0,24229.0
5011689,28200.0,28228.0,28248.0,28274.0,28310.0,28347.0,28407.0,28474.0,28565.0,28609.0,28654.0,28708.0,28804.0,28903.0,28945.0,29015.0,29075.0,29151.0,29251.0,29298.0,29364.0,29434.0,29486.0,29525.0,29599.0,29644.0,29723.0,29764.0,29844.0,29917.0,29961.0,30048.0,30111.0,30213.0,30282.0,30362.0,30527.0,30624.0,30705.0,30785.0,30865.0,30959.0,31009.0,31137.0,31221.0,31344.0
5011691,36000.0,36028.0,36048.0,36078.0,36119.0,36162.0,36206.0,36256.0,36324.0,36357.0,36391.0,36431.0,36515.0,36593.0,36627.0,36691.0,36746.0,36815.0,36907.0,36947.0,37003.0,37063.0,37107.0,37140.0,37203.0,37241.0,37301.0,37332.0,37379.0,37434.0,37467.0,37512.0,37544.0,37604.0,37645.0,37692.0,37789.0,37839.0,37881.0,37930.0,37979.0,38034.0,38063.0,38181.0,38258.0,38371.0
