tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P
5011349,45000.0,45043.0,45181.0,45311.0,45428.0,45604.0,45610.0,45695.0,45732.0,45858.0,45972.0,46120.0,46237.0,46325.0,46373.0,46401.0,46457.0,46546.0,46633.0,46683.0,46728.0,46790.0,46840.0,46876.0,46961.0,46982.0,47073.0,47118.0,47143.0,47197.0,47258.0,47328.0,47393.0,47431.0,47467.0,47541.0,47621.0,47706.0,47740.0,47799.0,47852.0,47900.0,47920.0,47967.0,48005.0,48017.0,48087.0,48141.0,48156.0,48225.0,48370.0
5011353,64200.0,64229.0,64320.0,64430.0,64528.0,64676.0,64680.0,64740.0,64787.0,64947.0,65091.0,65280.0,65460.0,65538.0,65580.0,65600.0,65640.0,65760.0,65820.0,65915.0,66000.0,66099.0,66180.0,66240.0,66318.0,66337.0,66420.0,66458.0,66480.0,66515.0,66554.0,66600.0,66660.0,66691.0,66720.0,66777.0,66840.0,66968.0,67020.0,67115.0,67200.0,67260.0,67283.0,67336.0,67380.0,67389.0,67440.0,67510.0,67530.0,67620.0,67740.0
5011678,24600.0,24647.0,24797.0,24939.0,25066.0,25257.0,25263.0,25368.0,25399.0,25504.0,25599.0,25723.0,25853.0,25929.0,25971.0,25995.0,26045.0,26111.0,26172.0,26219.0,26261.0,26321.0,26370.0,26405.0,26487.0,26507.0,26593.0,26632.0,26654.0,26696.0,26743.0,26797.0,26873.0,26925.0,26975.0,27059.0,27150.0,27240.0,27276.0,27334.0,27387.0,27430.0,27448.0,27488.0,27521.0,27541.0,27654.0,27737.0,27761.0,27868.0,28038.0
5011680,34800.0,34853.0,35021.0,35192.0,35346.0,35577.0,35584.0,35657.0,35702.0,35856.0,35995.0,36178.0,36311.0,36392.0,36436.0,36459.0,36507.0,36578.0,36641.0,36681.0,36716.0,36776.0,36825.0,36856.0,36937.0,36957.0,37043.0,37074.0,37092.0,37127.0,37167.0,37213.0,37298.0,37344.0,37387.0,37464.0,37549.0,37628.0,37660.0,37711.0,37757.0,37796.0,37811.0,37844.0,37871.0,37885.0,37965.0,38022.0,38038.0,38111.0,38287.0
5011682,44400.0,44445.0,44586.0,44733.0,44865.0,45063.0,45069.0,45142.0,45185.0,45332.0,45465.0,45639.0,45772.0,45857.0,45903.0,45934.0,45997.0,46081.0,46157.0,46214.0,46265.0,46344.0,46408.0,46449.0,46549.0,46573.0,46680.0,46728.0,46755.0,46805.0,46861.0,46927.0,47005.0,47055.0,47103.0,47185.0,47275.0,47368.0,47405.0,47466.0,47521.0,47565.0,47584.0,47628.0,47664.0,47680.0,47770.0,47831.0,47849.0,47928.0,48068.0
5011684,54000.0,54048.0,54202.0,54353.0,54489.0,54693.0,54699.0,54764.0,54810.0,54967.0,55109.0,55296.0,55439.0,55537.0,55591.0,55619.0,55675.0,55772.0,55849.0,55921.0,55986.0,56071.0,56141.0,56196.0,56306.0,56333.0,56450.0,56516.0,56553.0,56608.0,56669.0,56740.0,56839.0,56893.0,56944.0,57035.0,57135.0,57249.0,57295.0,57369.0,57435.0,57489.0,57514.0,57571.0,57618.0,57636.0,57739.0,57806.0,57825.0,57911.0,58076.0
5011686,63600.0,63650.0,63811.0,63978.0,64127.0,64352.0,64359.0,64438.0,64489.0,64663.0,64820.0,65026.0,65175.0,65262.0,65309.0,65341.0,65406.0,65503.0,65577.0,65632.0,65681.0,65750.0,65806.0,65845.0,65940.0,65963.0,66063.0,66110.0,66136.0,66181.0,66231.0,66290.0,66365.0,66404.0,66442.0,66524.0,66614.0,66704.0,66740.0,66804.0,66861.0,66912.0,66937.0,66995.0,67042.0,67059.0,67156.0,67217.0,67235.0,67314.0,67454.0
5012766,27000.0,27040.0,27169.0,27264.0,27349.0,27478.0,27482.0,27522.0,27551.0,27649.0,27737.0,27853.0,27958.0,28006.0,28032.0,28048.0,28079.0,28135.0,28160.0,28185.0,28207.0,28242.0,28270.0,28290.0,28356.0,28372.0,28441.0,28473.0,28491.0,28527.0,28568.0,28615.0,28660.0,28692.0,28723.0,28796.0,28875.0,28929.0,28950.0,29003.0,29051.0,29097.0,29112.0,29147.0,29177.0,29189.0,29257.0,29314.0,29330.0,29403.0,29501.0
5014061,23400.0,23447.0,23597.0,23739.0,23866.0,24057.0,24063.0,24168.0,24199.0,24304.0,24399.0,24523.0,24653.0,24729.0,24771.0,24795.0,24845.0,24911.0,24972.0,25019.0,25061.0,25121.0,25170.0,25205.0,25287.0,25307.0,25393.0,25432.0,25454.0,25496.0,25543.0,25597.0,25673.0,25725.0,25775.0,25859.0,25950.0,26040.0,26076.0,26134.0,26187.0,26230.0,26248.0,26288.0,26321.0,26341.0,26454.0,26537.0,26561.0,26668.0,26838.0
5014063,32400.0,32484.0,32752.0,32944.0,33116.0,33375.0,33383.0,33482.0,33530.0,33693.0,33840.0,34033.0,34219.0,34320.0,34375.0,34405.0,34466.0,34541.0,34622.0,34688.0,34747.0,34814.0,34868.0,34909.0,35004.0,35027.0,35129.0,35185.0,35217.0,35270.0,35330.0,35399.0,35488.0,35538.0,35586.0,35678.0,35778.0,35866.0,35902.0,35957.0,36006.0,36043.0,36059.0,36096.0,36127.0,36143.0,36234.0,36300.0,36319.0,36403.0,36529.0
