tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P
5010242,44700.0,44811.0,44838.0,44926.0,44994.0,45043.0,45103.0,45133.0,45175.0,45200.0,45221.0,45283.0,45343.0,45376.0,45428.0,45454.0,45537.0,45577.0,45665.0,45710.0,45740.0,45781.0,45840.0,45907.0,45981.0,46036.0,46079.0,46239.0,46385.0,46425.0,46469.0,46498.0,46520.0,46546.0,46594.0,46659.0,46691.0,46766.0,46836.0,47013.0,47069.0,47138.0,47181.0,47218.0,47453.0,47464.0
5010244,52200.0,52311.0,52338.0,52426.0,52494.0,52543.0,52603.0,52633.0,52675.0,52700.0,52721.0,52783.0,52843.0,52876.0,52928.0,52954.0,53037.0,53077.0,53165.0,53210.0,53240.0,53281.0,53340.0,53407.0,53481.0,53536.0,53579.0,53739.0,53885.0,53925.0,53969.0,53998.0,54020.0,54046.0,54094.0,54159.0,54191.0,54266.0,54336.0,54513.0,54569.0,54638.0,54681.0,54718.0,54953.0,54964.0
5010248,66900.0,66986.0,67011.0,67094.0,67157.0,67198.0,67249.0,67278.0,67319.0,67344.0,67364.0,67424.0,67482.0,67510.0,67555.0,67577.0,67647.0,67680.0,67739.0,67777.0,67803.0,67837.0,67881.0,67931.0,67987.0,68029.0,68062.0,68183.0,68296.0,68326.0,68366.0,68392.0,68412.0,68432.0,68469.0,68519.0,68544.0,68601.0,68654.0,68789.0,68829.0,68879.0,68914.0,68939.0,69139.0,69149.0
5010537,66600.0,66713.0,66736.0,66812.0,66871.0,66915.0,66969.0,66993.0,67028.0,67049.0,67064.0,67110.0,67155.0,67181.0,67223.0,67244.0,67327.0,67367.0,67431.0,67466.0,67489.0,67520.0,67563.0,67613.0,67663.0,67700.0,67729.0,67838.0,67962.0,67996.0,68038.0,68066.0,68087.0,68106.0,68141.0,68188.0,68211.0,68265.0,68315.0,68442.0,68487.0,68544.0,68580.0,68609.0,68824.0,68834.0
5012991,36000.0,36112.0,36135.0,36210.0,36268.0,36308.0,36357.0,36385.0,36425.0,36450.0,36466.0,36516.0,36565.0,36591.0,36632.0,36652.0,36720.0,36752.0,36823.0,36857.0,36880.0,36911.0,36953.0,37001.0,37065.0,37113.0,37150.0,37288.0,37431.0,37469.0,37506.0,37530.0,37548.0,37568.0,37605.0,37655.0,37680.0,37737.0,37790.0,37924.0,37971.0,38030.0,38069.0,38105.0,38323.0,38333.0
5012993,64800.0,64944.0,64981.0,65104.0,65198.0,65250.0,65313.0,65348.0,65398.0,65429.0,65464.0,65569.0,65671.0,65706.0,65762.0,65791.0,65877.0,65918.0,65997.0,66046.0,66079.0,66123.0,66179.0,66242.0,66309.0,66359.0,66398.0,66544.0,66684.0,66722.0,66767.0,66796.0,66818.0,66846.0,66898.0,66968.0,67003.0,67083.0,67158.0,67349.0,67406.0,67478.0,67518.0,67553.0,67776.0,67787.0
5012995,72000.0,72086.0,72111.0,72194.0,72257.0,72298.0,72349.0,72378.0,72419.0,72444.0,72464.0,72524.0,72582.0,72610.0,72655.0,72677.0,72747.0,72780.0,72839.0,72877.0,72903.0,72937.0,72981.0,73031.0,73087.0,73129.0,73162.0,73283.0,73396.0,73426.0,73466.0,73492.0,73512.0,73532.0,73569.0,73619.0,73644.0,73701.0,73754.0,73889.0,73929.0,73979.0,74014.0,74039.0,74239.0,74249.0
5012997,78600.0,78680.0,78702.0,78774.0,78829.0,78868.0,78916.0,78943.0,78981.0,79004.0,79020.0,79068.0,79114.0,79138.0,79176.0,79196.0,79262.0,79293.0,79357.0,79391.0,79414.0,79443.0,79488.0,79540.0,79595.0,79636.0,79668.0,79785.0,79885.0,79912.0,79954.0,79982.0,80003.0,80021.0,80055.0,80101.0,80124.0,80176.0,80225.0,80348.0,80382.0,80425.0,80461.0,80486.0,80687.0,80697.0
5014550,34200.0,34450.0,34476.0,34562.0,34628.0,34671.0,34724.0,34748.0,34782.0,34803.0,34819.0,34868.0,34915.0,34941.0,34982.0,35002.0,35067.0,35098.0,35164.0,35198.0,35221.0,35251.0,35292.0,35339.0,35403.0,35451.0,35488.0,35627.0,35774.0,35814.0,35849.0,35872.0,35888.0,35910.0,35950.0,36004.0,36031.0,36093.0,36151.0,36298.0,36356.0,36429.0,36471.0,36502.0,36723.0,36734.0
5014552,41700.0,41812.0,41835.0,41910.0,41968.0,42008.0,42057.0,42085.0,42125.0,42150.0,42166.0,42216.0,42265.0,42291.0,42332.0,42352.0,42420.0,42452.0,42523.0,42557.0,42580.0,42611.0,42653.0,42701.0,42765.0,42813.0,42850.0,42988.0,43131.0,43169.0,43206.0,43230.0,43248.0,43268.0,43305.0,43355.0,43380.0,43437.0,43490.0,43624.0,43671.0,43730.0,43769.0,43805.0,44023.0,44033.0
5014554,48600.0,48711.0,48738.0,48826.0,48894.0,48943.0,49003.0,49033.0,49075.0,49100.0,49121.0,49183.0,49243.0,49276.0,49328.0,49354.0,49437.0,49477.0,49565.0,49610.0,49640.0,49681.0,49740.0,49807.0,49881.0,49936.0,49979.0,50139.0,50285.0,50325.0,50369.0,50398.0,50420.0,50446.0,50494.0,50559.0,50591.0,50666.0,50736.0,50913.0,50969.0,51038.0,51081.0,51118.0,51353.0,51364.0
5014556,56100.0,56244.0,56281.0,56404.0,56498.0,56550.0,56613.0,56648.0,56698.0,56729.0,56764.0,56869.0,56971.0,57006.0,57062.0,57091.0,57177.0,57218.0,57297.0,57346.0,57379.0,57423.0,57479.0,57542.0,57609.0,57659.0,57698.0,57844.0,57984.0,58022.0,58067.0,58096.0,58118.0,58146.0,58198.0,58268.0,58303.0,58383.0,58458.0,58649.0,58706.0,58778.0,58818.0,58853.0,59076.0,59087.0
5014855,24900.0,24993.0,25012.0,25074.0,25122.0,25162.0,25210.0,25233.0,25266.0,25286.0,25301.0,25345.0,25388.0,25413.0,25452.0,25472.0,25536.0,25567.0,25631.0,25673.0,25701.0,25738.0,25777.0,25821.0,25883.0,25930.0,25966.0,26101.0,26236.0,26273.0,26310.0,26334.0,26352.0,26375.0,26417.0,26473.0,26501.0,26565.0,26625.0,26777.0,26832.0,26900.0,26952.0,26982.0,27204.0,27215.0
5014858,63300.0,63444.0,63481.0,63604.0,63698.0,63750.0,63813.0,63848.0,63898.0,63929.0,63964.0,64069.0,64171.0,64206.0,64262.0,64291.0,64377.0,64418.0,64497.0,64546.0,64579.0,64623.0,64679.0,64742.0,64809.0,64859.0,64898.0,65044.0,65184.0,65222.0,65267.0,65296.0,65318.0,65346.0,65398.0,65468.0,65503.0,65583.0,65658.0,65849.0,65906.0,65978.0,66018.0,66053.0,66276.0,66287.0
5014860,71100.0,71186.0,71211.0,71294.0,71357.0,71398.0,71449.0,71478.0,71519.0,71544.0,71564.0,71624.0,71682.0,71710.0,71755.0,71777.0,71847.0,71880.0,71939.0,71977.0,72003.0,72037.0,72081.0,72131.0,72187.0,72229.0,72262.0,72383.0,72496.0,72526.0,72566.0,72592.0,72612.0,72632.0,72669.0,72719.0,72744.0,72801.0,72854.0,72989.0,73029.0,73079.0,73114.0,73139.0,73339.0,73349.0
5015889,38400.0,38512.0,38535.0,38610.0,38668.0,38708.0,38757.0,38785.0,38825.0,38850.0,38866.0,38916.0,38965.0,38991.0,39032.0,39052.0,39120.0,39152.0,39223.0,39257.0,39280.0,39311.0,39353.0,39401.0,39465.0,39513.0,39550.0,39688.0,39831.0,39869.0,39906.0,39930.0,39948.0,39968.0,40005.0,40055.0,40080.0,40137.0,40190.0,40324.0,40371.0,40430.0,40469.0,40505.0,40723.0,40733.0
5015891,46200.0,46311.0,46338.0,46426.0,46494.0,46543.0,46603.0,46633.0,46675.0,46700.0,46721.0,46783.0,46843.0,46876.0,46928.0,46954.0,47037.0,47077.0,47165.0,47210.0,47240.0,47281.0,47340.0,47407.0,47481.0,47536.0,47579.0,47739.0,47885.0,47925.0,47969.0,47998.0,48020.0,48046.0,48094.0,48159.0,48191.0,48266.0,48336.0,48513.0,48569.0,48638.0,48681.0,48718.0,48953.0,48964.0
5015893,53400.0,53544.0,53581.0,53704.0,53798.0,53850.0,53913.0,53948.0,53998.0,54029.0,54064.0,54169.0,54271.0,54306.0,54362.0,54391.0,54477.0,54518.0,54597.0,54646.0,54679.0,54723.0,54779.0,54842.0,54909.0,54959.0,54998.0,55144.0,55284.0,55322.0,55367.0,55396.0,55418.0,55446.0,55498.0,55568.0,55603.0,55683.0,55758.0,55949.0,56006.0,56078.0,56118.0,56153.0,56376.0,56387.0
5015897,68100.0,68186.0,68211.0,68294.0,68357.0,68398.0,68449.0,68478.0,68519.0,68544.0,68564.0,68624.0,68682.0,68710.0,68755.0,68777.0,68847.0,68880.0,68939.0,68977.0,69003.0,69037.0,69081.0,69131.0,69187.0,69229.0,69262.0,69383.0,69496.0,69526.0,69566.0,69592.0,69612.0,69632.0,69669.0,69719.0,69744.0,69801.0,69854.0,69989.0,70029.0,70079.0,70114.0,70139.0,70339.0,70349.0
5016259,36600.0,36712.0,36735.0,36810.0,36868.0,36908.0,36957.0,36985.0,37025.0,37050.0,37066.0,37116.0,37165.0,37191.0,37232.0,37252.0,37320.0,37352.0,37423.0,37457.0,37480.0,37511.0,37553.0,37601.0,37665.0,37713.0,37750.0,37888.0,38031.0,38069.0,38106.0,38130.0,38148.0,38168.0,38205.0,38255.0,38280.0,38337.0,38390.0,38524.0,38571.0,38630.0,38669.0,38705.0,38923.0,38933.0
5016261,43200.0,43311.0,43338.0,43426.0,43494.0,43543.0,43603.0,43633.0,43675.0,43700.0,43721.0,43783.0,43843.0,43876.0,43928.0,43954.0,44037.0,44077.0,44165.0,44210.0,44240.0,44281.0,44340.0,44407.0,44481.0,44536.0,44579.0,44739.0,44885.0,44925.0,44969.0,44998.0,45020.0,45046.0,45094.0,45159.0,45191.0,45266.0,45336.0,45513.0,45569.0,45638.0,45681.0,45718.0,45953.0,45964.0
5016263,51000.0,51111.0,51138.0,51226.0,51294.0,51343.0,51403.0,51433.0,51475.0,51500.0,51521.0,51583.0,51643.0,51676.0,51728.0,51754.0,51837.0,51877.0,51965.0,52010.0,52040.0,52081.0,52140.0,52207.0,52281.0,52336.0,52379.0,52539.0,52685.0,52725.0,52769.0,52798.0,52820.0,52846.0,52894.0,52959.0,52991.0,53066.0,53136.0,53313.0,53369.0,53438.0,53481.0,53518.0,53753.0,53764.0
5016265,58500.0,58644.0,58681.0,58804.0,58898.0,58950.0,59013.0,59048.0,59098.0,59129.0,59164.0,59269.0,59371.0,59406.0,59462.0,59491.0,59577.0,59618.0,59697.0,59746.0,59779.0,59823.0,59879.0,59942.0,60009.0,60059.0,60098.0,60244.0,60384.0,60422.0,60467.0,60496.0,60518.0,60546.0,60598.0,60668.0,60703.0,60783.0,60858.0,61049.0,61106.0,61178.0,61218.0,61253.0,61476.0,61487.0
5016267,65700.0,65844.0,65881.0,66004.0,66098.0,66150.0,66213.0,66248.0,66298.0,66329.0,66364.0,66469.0,66571.0,66606.0,66662.0,66691.0,66777.0,66818.0,66897.0,66946.0,66979.0,67023.0,67079.0,67142.0,67209.0,67259.0,67298.0,67444.0,67584.0,67622.0,67667.0,67696.0,67718.0,67746.0,67798.0,67868.0,67903.0,67983.0,68058.0,68249.0,68306.0,68378.0,68418.0,68453.0,68676.0,68687.0
