tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P
5084315,27600.0,27654.0,27688.0,27719.0,27757.0,27802.0,27838.0,27905.0,27957.0,27997.0,28051.0,28174.0,28239.0,28321.0,28349.0,28405.0,28450.0,28489.0,28550.0,28626.0,28697.0,28742.0,28792.0,28900.0,28934.0,29122.0,29232.0,29357.0,29508.0,29604.0,29699.0,29863.0
5084321,58200.0,58243.0,58270.0,58295.0,58325.0,58361.0,58390.0,58443.0,58484.0,58516.0,58561.0,58699.0,58787.0,58899.0,58920.0,58962.0,58996.0,59027.0,59074.0,59132.0,59187.0,59222.0,59260.0,59370.0,59405.0,59584.0,59745.0,59853.0,59983.0,60078.0,60172.0,60335.0
5084327,75300.0,75338.0,75362.0,75384.0,75410.0,75442.0,75467.0,75514.0,75550.0,75578.0,75616.0,75707.0,75768.0,75845.0,75863.0,75900.0,75930.0,75956.0,75999.0,76052.0,76102.0,76134.0,76169.0,76267.0,76297.0,76426.0,76495.0,76554.0,76625.0,76719.0,76812.0,76972.0
5084329,80700.0,80734.0,80755.0,80774.0,80797.0,80825.0,80847.0,80888.0,80920.0,80945.0,80979.0,81056.0,81105.0,81167.0,81181.0,81208.0,81230.0,81249.0,81283.0,81325.0,81365.0,81390.0,81417.0,81508.0,81537.0,81641.0,81711.0,81774.0,81849.0,81942.0,82033.0,82191.0
5086642,26400.0,26454.0,26488.0,26519.0,26557.0,26602.0,26638.0,26705.0,26757.0,26797.0,26851.0,26974.0,27039.0,27121.0,27149.0,27205.0,27250.0,27289.0,27350.0,27426.0,27497.0,27542.0,27592.0,27700.0,27734.0,27922.0,28032.0,28157.0,28308.0,28404.0,28499.0,28663.0
5086646,37800.0,37848.0,37878.0,37905.0,37938.0,37978.0,38009.0,38067.0,38112.0,38148.0,38196.0,38333.0,38425.0,38542.0,38565.0,38611.0,38648.0,38680.0,38730.0,38793.0,38852.0,38889.0,38932.0,39036.0,39069.0,39228.0,39346.0,39450.0,39576.0,39672.0,39766.0,39929.0
5086648,43800.0,43848.0,43878.0,43905.0,43938.0,43978.0,44010.0,44069.0,44115.0,44151.0,44199.0,44363.0,44468.0,44603.0,44626.0,44671.0,44707.0,44739.0,44787.0,44847.0,44903.0,44938.0,44977.0,45085.0,45119.0,45286.0,45395.0,45491.0,45608.0,45701.0,45793.0,45952.0
5086651,60600.0,60643.0,60670.0,60695.0,60725.0,60761.0,60790.0,60843.0,60884.0,60916.0,60961.0,61099.0,61187.0,61299.0,61320.0,61362.0,61396.0,61427.0,61474.0,61532.0,61587.0,61622.0,61660.0,61770.0,61805.0,61984.0,62145.0,62253.0,62383.0,62478.0,62572.0,62735.0
5086658,83700.0,83734.0,83755.0,83774.0,83797.0,83825.0,83847.0,83888.0,83920.0,83945.0,83979.0,84056.0,84105.0,84167.0,84181.0,84208.0,84230.0,84249.0,84283.0,84325.0,84365.0,84390.0,84417.0,84508.0,84537.0,84641.0,84711.0,84774.0,84849.0,84942.0,85033.0,85191.0
5089561,36000.0,36048.0,36078.0,36105.0,36138.0,36178.0,36209.0,36267.0,36312.0,36348.0,36396.0,36533.0,36625.0,36742.0,36765.0,36811.0,36848.0,36880.0,36930.0,36993.0,37052.0,37089.0,37132.0,37236.0,37269.0,37428.0,37546.0,37650.0,37776.0,37872.0,37966.0,38129.0
5089565,48900.0,48948.0,48978.0,49005.0,49038.0,49078.0,49110.0,49169.0,49215.0,49251.0,49299.0,49463.0,49568.0,49703.0,49726.0,49771.0,49807.0,49839.0,49887.0,49947.0,50003.0,50038.0,50077.0,50185.0,50219.0,50386.0,50495.0,50591.0,50708.0,50801.0,50893.0,51052.0
5091169,32400.0,32455.0,32489.0,32520.0,32559.0,32605.0,32641.0,32709.0,32762.0,32803.0,32860.0,33039.0,33134.0,33256.0,33282.0,33334.0,33376.0,33413.0,33469.0,33539.0,33605.0,33646.0,33692.0,33803.0,33838.0,34026.0,34168.0,34371.0,34615.0,34711.0,34806.0,34969.0
5091171,42000.0,42048.0,42078.0,42105.0,42138.0,42178.0,42209.0,42267.0,42312.0,42348.0,42396.0,42533.0,42625.0,42742.0,42765.0,42811.0,42848.0,42880.0,42930.0,42993.0,43052.0,43089.0,43132.0,43236.0,43269.0,43428.0,43546.0,43650.0,43776.0,43872.0,43966.0,44129.0
5091176,61800.0,61843.0,61870.0,61895.0,61925.0,61961.0,61990.0,62043.0,62084.0,62116.0,62161.0,62299.0,62387.0,62499.0,62520.0,62562.0,62596.0,62627.0,62674.0,62732.0,62787.0,62822.0,62860.0,62970.0,63005.0,63184.0,63345.0,63453.0,63583.0,63678.0,63772.0,63935.0
5091178,67800.0,67843.0,67870.0,67895.0,67925.0,67961.0,67990.0,68043.0,68084.0,68116.0,68161.0,68299.0,68387.0,68499.0,68520.0,68562.0,68596.0,68627.0,68674.0,68732.0,68787.0,68822.0,68860.0,68970.0,69005.0,69184.0,69345.0,69453.0,69583.0,69678.0,69772.0,69935.0
5092781,34200.0,34255.0,34289.0,34320.0,34359.0,34405.0,34441.0,34509.0,34562.0,34603.0,34660.0,34839.0,34934.0,35056.0,35082.0,35134.0,35176.0,35213.0,35269.0,35339.0,35405.0,35446.0,35492.0,35603.0,35638.0,35826.0,35968.0,36171.0,36415.0,36511.0,36606.0,36769.0
5092783,39900.0,39948.0,39978.0,40005.0,40038.0,40078.0,40109.0,40167.0,40212.0,40248.0,40296.0,40433.0,40525.0,40642.0,40665.0,40711.0,40748.0,40780.0,40830.0,40893.0,40952.0,40989.0,41032.0,41136.0,41169.0,41328.0,41446.0,41550.0,41676.0,41772.0,41866.0,42029.0
5092785,45600.0,45648.0,45678.0,45705.0,45738.0,45778.0,45810.0,45869.0,45915.0,45951.0,45999.0,46163.0,46268.0,46403.0,46426.0,46471.0,46507.0,46539.0,46587.0,46647.0,46703.0,46738.0,46777.0,46885.0,46919.0,47086.0,47195.0,47291.0,47408.0,47501.0,47593.0,47752.0
5092789,65400.0,65443.0,65470.0,65495.0,65525.0,65561.0,65590.0,65643.0,65684.0,65716.0,65761.0,65899.0,65987.0,66099.0,66120.0,66162.0,66196.0,66227.0,66274.0,66332.0,66387.0,66422.0,66460.0,66570.0,66605.0,66784.0,66945.0,67053.0,67183.0,67278.0,67372.0,67535.0
5092791,71700.0,71738.0,71762.0,71784.0,71810.0,71842.0,71867.0,71914.0,71950.0,71978.0,72016.0,72107.0,72168.0,72245.0,72263.0,72300.0,72330.0,72356.0,72399.0,72452.0,72502.0,72534.0,72569.0,72667.0,72697.0,72826.0,72895.0,72954.0,73025.0,73119.0,73212.0,73372.0
5093753,55800.0,55844.0,55871.0,55896.0,55926.0,55962.0,55991.0,56045.0,56087.0,56120.0,56163.0,56265.0,56327.0,56407.0,56432.0,56481.0,56521.0,56556.0,56608.0,56674.0,56736.0,56775.0,56818.0,56931.0,56966.0,57116.0,57193.0,57309.0,57450.0,57543.0,57635.0,57795.0
