tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P
5011550,39600.0,39670.0,39779.0,39840.0,39964.0,40054.0,40115.0,40173.0,40224.0,40275.0,40316.0,40573.0,40739.0,40775.0,40806.0,40844.0,40899.0,40944.0,41034.0,41187.0,41291.0,41366.0,41398.0,41526.0,41579.0,41672.0,41819.0,41897.0,41975.0,42051.0,42110.0,42154.0,42215.0,42267.0
5011553,57600.0,57670.0,57779.0,57840.0,57965.0,58056.0,58128.0,58196.0,58254.0,58313.0,58355.0,58614.0,58781.0,58817.0,58847.0,58884.0,58937.0,58981.0,59068.0,59216.0,59316.0,59397.0,59435.0,59592.0,59657.0,59770.0,59948.0,60027.0,60105.0,60181.0,60240.0,60284.0,60345.0,60397.0
5012363,33000.0,33065.0,33166.0,33222.0,33337.0,33421.0,33479.0,33534.0,33573.0,33613.0,33650.0,33878.0,34025.0,34058.0,34088.0,34125.0,34177.0,34220.0,34306.0,34452.0,34550.0,34609.0,34637.0,34750.0,34791.0,34863.0,34975.0,35035.0,35113.0,35189.0,35248.0,35292.0,35353.0,35405.0
5012365,41400.0,41470.0,41579.0,41640.0,41764.0,41854.0,41915.0,41973.0,42024.0,42075.0,42116.0,42373.0,42539.0,42575.0,42606.0,42644.0,42699.0,42744.0,42834.0,42987.0,43091.0,43166.0,43198.0,43326.0,43379.0,43472.0,43619.0,43697.0,43775.0,43851.0,43910.0,43954.0,44015.0,44067.0
5012369,58800.0,58875.0,58991.0,59056.0,59189.0,59286.0,59413.0,59535.0,59596.0,59657.0,59700.0,59964.0,60135.0,60172.0,60203.0,60241.0,60296.0,60341.0,60431.0,60584.0,60687.0,60763.0,60797.0,60935.0,60988.0,61081.0,61228.0,61313.0,61391.0,61467.0,61526.0,61570.0,61631.0,61683.0
5012372,72000.0,72048.0,72122.0,72163.0,72248.0,72309.0,72355.0,72399.0,72438.0,72478.0,72514.0,72740.0,72886.0,72919.0,72943.0,72973.0,73016.0,73051.0,73121.0,73241.0,73322.0,73381.0,73405.0,73503.0,73538.0,73599.0,73696.0,73768.0,73846.0,73922.0,73980.0,74024.0,74085.0,74137.0
5012550,46800.0,46870.0,46979.0,47040.0,47164.0,47254.0,47315.0,47373.0,47424.0,47475.0,47516.0,47773.0,47939.0,47975.0,48006.0,48044.0,48099.0,48144.0,48234.0,48387.0,48491.0,48566.0,48598.0,48726.0,48779.0,48872.0,49019.0,49097.0,49175.0,49251.0,49310.0,49354.0,49415.0,49467.0
5012552,54000.0,54070.0,54179.0,54240.0,54365.0,54456.0,54528.0,54596.0,54654.0,54713.0,54755.0,55014.0,55181.0,55217.0,55247.0,55284.0,55337.0,55381.0,55468.0,55616.0,55716.0,55797.0,55835.0,55992.0,56057.0,56170.0,56348.0,56427.0,56505.0,56581.0,56640.0,56684.0,56745.0,56797.0
5013860,68400.0,68440.0,68502.0,68537.0,68608.0,68660.0,68699.0,68737.0,68764.0,68791.0,68826.0,69043.0,69183.0,69213.0,69237.0,69266.0,69308.0,69342.0,69410.0,69527.0,69606.0,69678.0,69705.0,69817.0,69848.0,69902.0,69986.0,70054.0,70132.0,70208.0,70267.0,70311.0,70372.0,70424.0
5015803,43200.0,43244.0,43312.0,43350.0,43428.0,43485.0,43542.0,43597.0,43631.0,43665.0,43700.0,43917.0,44057.0,44087.0,44108.0,44134.0,44171.0,44202.0,44263.0,44367.0,44438.0,44498.0,44522.0,44622.0,44660.0,44727.0,44832.0,44896.0,44974.0,45050.0,45109.0,45153.0,45214.0,45266.0
