tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P
5107728,56400.0,56563.0,56599.0,56659.0,56787.0,56976.0,56990.0,57152.0,57279.0,57329.0,57523.0,57674.0,57746.0,57826.0,57960.0,58046.0,58101.0,58250.0,58292.0,58323.0,58357.0,58441.0,58595.0,58658.0,58729.0,58790.0,58829.0,58889.0,58952.0,58992.0,59047.0,59153.0,59553.0,59571.0,59613.0,59644.0,59693.0,59734.0,59757.0,59828.0,59915.0,60013.0,60028.0,60075.0,60138.0,60330.0,60494.0
5107730,66900.0,67063.0,67099.0,67159.0,67287.0,67476.0,67490.0,67652.0,67779.0,67829.0,68023.0,68174.0,68246.0,68326.0,68460.0,68546.0,68601.0,68750.0,68792.0,68823.0,68857.0,68941.0,69095.0,69158.0,69229.0,69290.0,69329.0,69389.0,69452.0,69492.0,69547.0,69653.0,70053.0,70071.0,70113.0,70144.0,70193.0,70234.0,70257.0,70328.0,70415.0,70513.0,70528.0,70575.0,70638.0,70830.0,70994.0
5107731,76200.0,76260.0,76305.0,76380.0,76426.0,76495.0,76500.0,76736.0,76922.0,76995.0,77280.0,77340.0,77352.0,77365.0,77387.0,77400.0,77416.0,77460.0,77494.0,77520.0,77580.0,77640.0,77700.0,77728.0,77760.0,77797.0,77820.0,77880.0,77940.0,78000.0,78046.0,78134.0,78466.0,78480.0,78493.0,78503.0,78519.0,78532.0,78540.0,78600.0,78720.0,78840.0,78869.0,78960.0,79080.0,79145.0,79200.0
5107733,83700.0,83760.0,83805.0,83880.0,83926.0,83995.0,84000.0,84236.0,84422.0,84495.0,84780.0,84840.0,84852.0,84865.0,84887.0,84900.0,84916.0,84960.0,84994.0,85020.0,85080.0,85140.0,85200.0,85228.0,85260.0,85297.0,85320.0,85380.0,85440.0,85500.0,85546.0,85634.0,85966.0,85980.0,85993.0,86003.0,86019.0,86032.0,86040.0,86100.0,86220.0,86340.0,86369.0,86460.0,86580.0,86645.0,86700.0
5109335,28800.0,29070.0,29098.0,29146.0,29274.0,29463.0,29477.0,29661.0,29806.0,29863.0,30085.0,30160.0,30211.0,30267.0,30361.0,30421.0,30444.0,30507.0,30567.0,30612.0,30641.0,30684.0,30747.0,30780.0,30817.0,30858.0,30884.0,30904.0,30945.0,30965.0,31012.0,31102.0,31442.0,31456.0,31493.0,31521.0,31565.0,31601.0,31623.0,31692.0,31763.0,31811.0,31825.0,31870.0,31905.0,32097.0,32261.0
5111638,63600.0,63763.0,63799.0,63859.0,63987.0,64176.0,64190.0,64352.0,64479.0,64529.0,64723.0,64874.0,64946.0,65026.0,65160.0,65246.0,65301.0,65450.0,65492.0,65523.0,65557.0,65641.0,65795.0,65858.0,65929.0,65990.0,66029.0,66089.0,66152.0,66192.0,66247.0,66353.0,66753.0,66771.0,66813.0,66844.0,66893.0,66934.0,66957.0,67028.0,67115.0,67213.0,67228.0,67275.0,67338.0,67530.0,67694.0
5115148,25200.0,25288.0,25310.0,25347.0,25425.0,25540.0,25548.0,25660.0,25748.0,25783.0,25918.0,26002.0,26079.0,26164.0,26307.0,26399.0,26428.0,26505.0,26543.0,26572.0,26596.0,26652.0,26728.0,26772.0,26822.0,26882.0,26919.0,26962.0,27027.0,27053.0,27114.0,27230.0,27670.0,27689.0,27738.0,27774.0,27832.0,27880.0,27908.0,28011.0,28107.0,28167.0,28184.0,28238.0,28312.0,28496.0,28654.0
5115150,39600.0,39660.0,39705.0,39780.0,39873.0,40010.0,40020.0,40238.0,40409.0,40477.0,40740.0,40860.0,40883.0,40909.0,40952.0,40980.0,41013.0,41100.0,41169.0,41220.0,41280.0,41340.0,41400.0,41428.0,41460.0,41497.0,41520.0,41580.0,41640.0,41700.0,41740.0,41817.0,42107.0,42120.0,42147.0,42167.0,42199.0,42225.0,42240.0,42360.0,42480.0,42600.0,42629.0,42720.0,42840.0,42905.0,42960.0
5115152,57900.0,58063.0,58099.0,58159.0,58287.0,58476.0,58490.0,58652.0,58779.0,58829.0,59023.0,59174.0,59246.0,59326.0,59460.0,59546.0,59601.0,59750.0,59792.0,59823.0,59857.0,59941.0,60095.0,60158.0,60229.0,60290.0,60329.0,60389.0,60452.0,60492.0,60547.0,60653.0,61053.0,61071.0,61113.0,61144.0,61193.0,61234.0,61257.0,61328.0,61415.0,61513.0,61528.0,61575.0,61638.0,61830.0,61994.0
5115154,68700.0,68863.0,68899.0,68959.0,69087.0,69276.0,69290.0,69452.0,69579.0,69629.0,69823.0,69974.0,70046.0,70126.0,70260.0,70346.0,70401.0,70550.0,70592.0,70623.0,70657.0,70741.0,70895.0,70958.0,71029.0,71090.0,71129.0,71189.0,71252.0,71292.0,71347.0,71453.0,71853.0,71871.0,71913.0,71944.0,71993.0,72034.0,72057.0,72128.0,72215.0,72313.0,72328.0,72375.0,72438.0,72630.0,72794.0
5115397,36000.0,36060.0,36105.0,36180.0,36273.0,36410.0,36420.0,36638.0,36809.0,36877.0,37140.0,37260.0,37283.0,37309.0,37352.0,37380.0,37413.0,37500.0,37569.0,37620.0,37680.0,37740.0,37800.0,37828.0,37860.0,37897.0,37920.0,37980.0,38040.0,38100.0,38140.0,38217.0,38507.0,38520.0,38547.0,38567.0,38599.0,38625.0,38640.0,38760.0,38880.0,39000.0,39029.0,39120.0,39240.0,39305.0,39360.0
5116474,62400.0,62563.0,62599.0,62659.0,62787.0,62976.0,62990.0,63152.0,63279.0,63329.0,63523.0,63674.0,63746.0,63826.0,63960.0,64046.0,64101.0,64250.0,64292.0,64323.0,64357.0,64441.0,64595.0,64658.0,64729.0,64790.0,64829.0,64889.0,64952.0,64992.0,65047.0,65153.0,65553.0,65571.0,65613.0,65644.0,65693.0,65734.0,65757.0,65828.0,65915.0,66013.0,66028.0,66075.0,66138.0,66330.0,66494.0
5116965,30600.0,30870.0,30898.0,30946.0,31074.0,31263.0,31277.0,31461.0,31606.0,31663.0,31885.0,31960.0,32011.0,32067.0,32161.0,32221.0,32244.0,32307.0,32367.0,32412.0,32441.0,32484.0,32547.0,32580.0,32617.0,32658.0,32684.0,32704.0,32745.0,32765.0,32812.0,32902.0,33242.0,33256.0,33293.0,33321.0,33365.0,33401.0,33423.0,33492.0,33563.0,33611.0,33625.0,33670.0,33705.0,33897.0,34061.0
5117337,65400.0,65563.0,65599.0,65659.0,65787.0,65976.0,65990.0,66152.0,66279.0,66329.0,66523.0,66674.0,66746.0,66826.0,66960.0,67046.0,67101.0,67250.0,67292.0,67323.0,67357.0,67441.0,67595.0,67658.0,67729.0,67790.0,67829.0,67889.0,67952.0,67992.0,68047.0,68153.0,68553.0,68571.0,68613.0,68644.0,68693.0,68734.0,68757.0,68828.0,68915.0,69013.0,69028.0,69075.0,69138.0,69330.0,69494.0
