tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P
5011360,40200.0,40264.0,40355.0,40417.0,40447.0,40470.0,40554.0,40610.0,40660.0,40770.0,40972.0,41039.0,41087.0,41146.0,41214.0,41278.0,41342.0,41409.0,41492.0,41569.0,41648.0,41737.0,41786.0,41869.0,41953.0,42104.0,42270.0,42420.0,42618.0,42737.0,42840.0,42997.0,43132.0,43184.0,43237.0,43272.0,43316.0,43376.0,43434.0,43456.0,43467.0,43518.0,43541.0,43575.0
5011362,48600.0,48664.0,48755.0,48817.0,48847.0,48870.0,48954.0,49010.0,49060.0,49170.0,49372.0,49439.0,49487.0,49546.0,49614.0,49678.0,49742.0,49809.0,49892.0,49969.0,50048.0,50137.0,50186.0,50269.0,50353.0,50504.0,50670.0,50820.0,51018.0,51137.0,51240.0,51397.0,51532.0,51584.0,51637.0,51672.0,51716.0,51776.0,51834.0,51856.0,51867.0,51918.0,51941.0,51975.0
5011364,58800.0,58854.0,58931.0,58985.0,59010.0,59029.0,59099.0,59145.0,59200.0,59322.0,59535.0,59579.0,59611.0,59658.0,59712.0,59770.0,59809.0,59870.0,59947.0,60011.0,60065.0,60125.0,60185.0,60287.0,60391.0,60482.0,60618.0,60808.0,61059.0,61210.0,61304.0,61471.0,61614.0,61695.0,61777.0,61818.0,61869.0,61940.0,62009.0,62032.0,62044.0,62097.0,62121.0,62156.0
5012116,25200.0,25253.0,25328.0,25380.0,25418.0,25446.0,25550.0,25620.0,25639.0,25680.0,25860.0,25920.0,25980.0,26036.0,26100.0,26160.0,26220.0,26273.0,26340.0,26400.0,26456.0,26520.0,26547.0,26593.0,26640.0,26760.0,26880.0,26995.0,27148.0,27240.0,27360.0,27425.0,27480.0,27510.0,27540.0,27561.0,27588.0,27625.0,27660.0,27679.0,27689.0,27732.0,27752.0,27780.0
5012120,39600.0,39656.0,39735.0,39789.0,39819.0,39841.0,39923.0,39978.0,40017.0,40104.0,40278.0,40319.0,40356.0,40415.0,40483.0,40534.0,40603.0,40657.0,40724.0,40796.0,40856.0,40924.0,40965.0,41035.0,41105.0,41251.0,41359.0,41497.0,41680.0,41790.0,41865.0,41990.0,42098.0,42138.0,42179.0,42213.0,42255.0,42313.0,42367.0,42387.0,42397.0,42442.0,42463.0,42493.0
5012122,46800.0,46863.0,46953.0,47015.0,47044.0,47066.0,47147.0,47202.0,47248.0,47349.0,47567.0,47628.0,47686.0,47735.0,47792.0,47853.0,47912.0,47986.0,48078.0,48148.0,48196.0,48250.0,48290.0,48357.0,48425.0,48597.0,48761.0,48921.0,49132.0,49259.0,49343.0,49477.0,49593.0,49648.0,49704.0,49739.0,49782.0,49842.0,49900.0,49922.0,49933.0,49983.0,50006.0,50038.0
5012719,25800.0,25878.0,25989.0,26066.0,26102.0,26129.0,26228.0,26294.0,26340.0,26442.0,26637.0,26715.0,26772.0,26844.0,26928.0,26980.0,27051.0,27151.0,27277.0,27358.0,27423.0,27497.0,27550.0,27640.0,27732.0,27869.0,28016.0,28202.0,28449.0,28598.0,28687.0,28855.0,29000.0,29052.0,29105.0,29135.0,29173.0,29225.0,29275.0,29299.0,29311.0,29366.0,29391.0,29427.0
5012721,34500.0,34568.0,34664.0,34730.0,34759.0,34781.0,34861.0,34914.0,34958.0,35055.0,35250.0,35320.0,35364.0,35412.0,35467.0,35513.0,35571.0,35639.0,35724.0,35805.0,35880.0,35964.0,36014.0,36099.0,36185.0,36314.0,36475.0,36638.0,36854.0,36984.0,37077.0,37205.0,37315.0,37351.0,37387.0,37421.0,37463.0,37521.0,37575.0,37596.0,37607.0,37656.0,37679.0,37712.0
5012724,64200.0,64251.0,64323.0,64372.0,64400.0,64421.0,64497.0,64547.0,64595.0,64699.0,64882.0,64955.0,64987.0,65044.0,65110.0,65159.0,65215.0,65303.0,65413.0,65490.0,65549.0,65616.0,65660.0,65735.0,65812.0,65928.0,66057.0,66263.0,66536.0,66700.0,66806.0,66991.0,67151.0,67245.0,67340.0,67382.0,67434.0,67506.0,67576.0,67599.0,67611.0,67664.0,67688.0,67722.0
5012725,72000.0,72050.0,72121.0,72170.0,72196.0,72216.0,72289.0,72338.0,72380.0,72472.0,72645.0,72706.0,72743.0,72791.0,72846.0,72891.0,72932.0,72995.0,73074.0,73146.0,73210.0,73282.0,73321.0,73388.0,73456.0,73608.0,73733.0,73902.0,74125.0,74260.0,74364.0,74515.0,74644.0,74691.0,74738.0,74774.0,74818.0,74879.0,74937.0,74959.0,74970.0,75020.0,75043.0,75075.0
