tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P
5017889,54900.0,55136.0,55330.0,55606.0,55749.0,55776.0,55838.0,55873.0,55968.0,55995.0,56056.0,56099.0,56179.0,56219.0,56264.0,56308.0,56383.0,56456.0,56544.0,56589.0,56653.0,56711.0,56745.0,56821.0,56873.0,56926.0,57063.0,57154.0,57257.0,57409.0,57439.0,57490.0,57522.0,57560.0,57633.0,57689.0,57763.0,57862.0,58027.0,58149.0,58200.0,58314.0,58363.0,58459.0,58518.0,58599.0,58681.0,58756.0,58836.0,58900.0,58960.0,59027.0,59071.0,59204.0,59220.0,59333.0
5019385,39600.0,39758.0,39907.0,40119.0,40229.0,40249.0,40293.0,40318.0,40386.0,40412.0,40473.0,40504.0,40561.0,40596.0,40635.0,40673.0,40720.0,40765.0,40819.0,40851.0,40897.0,40950.0,40981.0,41034.0,41069.0,41106.0,41197.0,41257.0,41320.0,41413.0,41432.0,41463.0,41482.0,41505.0,41563.0,41608.0,41668.0,41748.0,41882.0,41988.0,42032.0,42132.0,42164.0,42247.0,42291.0,42358.0,42415.0,42467.0,42520.0,42563.0,42603.0,42647.0,42669.0,42734.0,42749.0,42966.0
5019387,50400.0,50694.0,50904.0,51203.0,51357.0,51380.0,51430.0,51458.0,51535.0,51552.0,51591.0,51621.0,51677.0,51717.0,51762.0,51807.0,51860.0,51911.0,51973.0,52003.0,52045.0,52083.0,52105.0,52157.0,52191.0,52226.0,52358.0,52445.0,52546.0,52663.0,52686.0,52728.0,52754.0,52784.0,52833.0,52871.0,52922.0,53030.0,53212.0,53321.0,53367.0,53470.0,53506.0,53594.0,53645.0,53733.0,53790.0,53841.0,53900.0,53947.0,53991.0,54040.0,54080.0,54201.0,54220.0,54306.0
5085498,25800.0,26005.0,26148.0,26351.0,26455.0,26487.0,26543.0,26574.0,26659.0,26686.0,26748.0,26791.0,26873.0,26919.0,26971.0,27022.0,27074.0,27124.0,27184.0,27240.0,27320.0,27369.0,27398.0,27452.0,27490.0,27530.0,27600.0,27646.0,27732.0,27820.0,27837.0,27880.0,27906.0,27938.0,27983.0,28018.0,28063.0,28130.0,28243.0,28321.0,28354.0,28428.0,28463.0,28542.0,28598.0,28668.0,28729.0,28784.0,28838.0,28881.0,28921.0,28965.0,29001.0,29110.0,29130.0,29372.0
5086092,45600.0,45754.0,45939.0,46202.0,46337.0,46368.0,46422.0,46452.0,46533.0,46549.0,46586.0,46614.0,46666.0,46723.0,46787.0,46851.0,46896.0,46940.0,46993.0,47015.0,47047.0,47094.0,47122.0,47187.0,47212.0,47238.0,47327.0,47385.0,47466.0,47546.0,47562.0,47612.0,47643.0,47681.0,47729.0,47766.0,47816.0,47874.0,47972.0,48080.0,48125.0,48226.0,48250.0,48311.0,48357.0,48419.0,48456.0,48489.0,48545.0,48590.0,48632.0,48677.0,48702.0,48778.0,48791.0,49147.0
5086094,57600.0,57900.0,58091.0,58362.0,58502.0,58573.0,58642.0,58681.0,58786.0,58819.0,58895.0,58931.0,59000.0,59035.0,59074.0,59113.0,59168.0,59222.0,59287.0,59313.0,59350.0,59401.0,59431.0,59457.0,59484.0,59511.0,59624.0,59698.0,59784.0,59897.0,59920.0,59958.0,59982.0,60010.0,60080.0,60134.0,60205.0,60279.0,60402.0,60502.0,60544.0,60638.0,60670.0,60762.0,60794.0,60858.0,60907.0,60951.0,60998.0,61036.0,61071.0,61110.0,61142.0,61240.0,61250.0,61606.0
5087869,57600.0,57828.0,58014.0,58279.0,58416.0,58447.0,58506.0,58539.0,58628.0,58657.0,58723.0,58770.0,58859.0,58905.0,58956.0,59007.0,59089.0,59168.0,59264.0,59315.0,59389.0,59438.0,59466.0,59527.0,59571.0,59616.0,59718.0,59785.0,59880.0,60013.0,60039.0,60086.0,60115.0,60150.0,60213.0,60261.0,60325.0,60412.0,60559.0,60672.0,60719.0,60825.0,60866.0,60965.0,61027.0,61115.0,61194.0,61266.0,61332.0,61385.0,61434.0,61487.0,61524.0,61637.0,61652.0,61887.0
5088160,26400.0,26605.0,26748.0,26951.0,27055.0,27087.0,27143.0,27174.0,27259.0,27286.0,27348.0,27391.0,27473.0,27519.0,27571.0,27622.0,27674.0,27724.0,27784.0,27840.0,27920.0,27969.0,27998.0,28052.0,28090.0,28130.0,28200.0,28246.0,28332.0,28420.0,28437.0,28480.0,28506.0,28538.0,28583.0,28618.0,28663.0,28730.0,28843.0,28921.0,28954.0,29028.0,29063.0,29142.0,29198.0,29268.0,29329.0,29384.0,29438.0,29481.0,29521.0,29565.0,29601.0,29710.0,29730.0,29972.0
5089749,55200.0,55500.0,55691.0,55962.0,56102.0,56173.0,56242.0,56281.0,56386.0,56419.0,56495.0,56531.0,56600.0,56635.0,56674.0,56713.0,56768.0,56822.0,56887.0,56913.0,56950.0,57001.0,57031.0,57057.0,57084.0,57111.0,57224.0,57298.0,57384.0,57497.0,57520.0,57558.0,57582.0,57610.0,57680.0,57734.0,57805.0,57879.0,58002.0,58102.0,58144.0,58238.0,58270.0,58362.0,58394.0,58458.0,58507.0,58551.0,58598.0,58636.0,58671.0,58710.0,58742.0,58840.0,58850.0,59206.0
5090486,22500.0,22688.0,22814.0,22993.0,23084.0,23102.0,23140.0,23161.0,23220.0,23234.0,23267.0,23293.0,23341.0,23370.0,23402.0,23433.0,23461.0,23488.0,23521.0,23550.0,23592.0,23621.0,23638.0,23674.0,23701.0,23728.0,23783.0,23820.0,23854.0,23924.0,23938.0,23959.0,23972.0,23988.0,24019.0,24043.0,24074.0,24125.0,24210.0,24268.0,24292.0,24347.0,24374.0,24436.0,24475.0,24530.0,24572.0,24611.0,24645.0,24673.0,24699.0,24727.0,24752.0,24829.0,24841.0,25005.0
