tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P
5010555,50400.0,50521.0,50682.0,50835.0,50968.0,51039.0,51056.0,51120.0,51167.0,51224.0,51257.0,51326.0,51353.0,51403.0,51464.0,51499.0,51559.0,51682.0,51766.0,51860.0,51923.0,52030.0,52139.0,52188.0,52276.0,52525.0,52879.0,53061.0,53081.0,53137.0,53169.0,53255.0,53280.0,53336.0,53376.0,53450.0,53483.0,53520.0,53556.0,53601.0,53645.0,53697.0,53714.0,53738.0,53777.0,53800.0,53850.0,53878.0,53906.0,54014.0,54106.0,54210.0,54249.0,54320.0,54418.0,54480.0,54537.0
5010557,61200.0,61310.0,61467.0,61556.0,61633.0,61717.0,61737.0,61813.0,61869.0,61937.0,61977.0,62031.0,62052.0,62091.0,62139.0,62176.0,62239.0,62317.0,62381.0,62453.0,62494.0,62564.0,62635.0,62754.0,62868.0,63083.0,63389.0,63547.0,63572.0,63645.0,63686.0,63796.0,63822.0,63882.0,63912.0,63969.0,64005.0,64045.0,64085.0,64123.0,64160.0,64205.0,64231.0,64269.0,64312.0,64337.0,64386.0,64411.0,64436.0,64556.0,64636.0,64727.0,64766.0,64839.0,64920.0,64996.0,65065.0
5010560,45000.0,45126.0,45278.0,45404.0,45513.0,45599.0,45619.0,45696.0,45752.0,45821.0,45862.0,45930.0,45957.0,46006.0,46065.0,46103.0,46169.0,46262.0,46335.0,46418.0,46461.0,46535.0,46610.0,46702.0,46830.0,47025.0,47302.0,47444.0,47470.0,47527.0,47559.0,47647.0,47676.0,47742.0,47778.0,47845.0,47880.0,47919.0,47958.0,48010.0,48061.0,48122.0,48150.0,48190.0,48246.0,48278.0,48335.0,48365.0,48395.0,48492.0,48569.0,48657.0,48686.0,48738.0,48831.0,48896.0,48955.0
5010562,55800.0,55920.0,56060.0,56161.0,56249.0,56322.0,56339.0,56405.0,56453.0,56512.0,56546.0,56597.0,56617.0,56654.0,56699.0,56734.0,56793.0,56865.0,56932.0,57007.0,57048.0,57117.0,57187.0,57265.0,57359.0,57564.0,57855.0,58005.0,58038.0,58098.0,58132.0,58224.0,58246.0,58298.0,58331.0,58393.0,58435.0,58482.0,58527.0,58576.0,58624.0,58681.0,58708.0,58747.0,58795.0,58823.0,58873.0,58900.0,58928.0,59009.0,59109.0,59223.0,59259.0,59324.0,59414.0,59473.0,59527.0
5010564,66600.0,66700.0,66795.0,66871.0,66936.0,67013.0,67031.0,67101.0,67152.0,67214.0,67251.0,67302.0,67322.0,67359.0,67404.0,67431.0,67478.0,67547.0,67607.0,67674.0,67707.0,67764.0,67822.0,67864.0,67995.0,68159.0,68392.0,68512.0,68532.0,68614.0,68660.0,68784.0,68806.0,68858.0,68900.0,68978.0,69020.0,69068.0,69115.0,69173.0,69229.0,69296.0,69334.0,69388.0,69435.0,69462.0,69526.0,69558.0,69591.0,69678.0,69749.0,69829.0,69863.0,69926.0,70019.0,70089.0,70153.0
5011001,35100.0,35219.0,35355.0,35462.0,35555.0,35634.0,35653.0,35724.0,35776.0,35839.0,35876.0,35950.0,35979.0,36032.0,36097.0,36141.0,36216.0,36304.0,36372.0,36448.0,36495.0,36574.0,36654.0,36739.0,36852.0,37063.0,37364.0,37519.0,37554.0,37624.0,37663.0,37769.0,37796.0,37859.0,37903.0,37987.0,38029.0,38076.0,38123.0,38184.0,38243.0,38314.0,38347.0,38394.0,38441.0,38469.0,38528.0,38565.0,38603.0,38718.0,38808.0,38910.0,38947.0,39015.0,39097.0,39166.0,39229.0
5011003,45900.0,46019.0,46155.0,46262.0,46355.0,46434.0,46453.0,46524.0,46576.0,46639.0,46676.0,46750.0,46779.0,46832.0,46897.0,46941.0,47016.0,47104.0,47172.0,47248.0,47295.0,47374.0,47454.0,47539.0,47652.0,47863.0,48164.0,48319.0,48354.0,48424.0,48463.0,48569.0,48596.0,48659.0,48703.0,48787.0,48829.0,48876.0,48923.0,48984.0,49043.0,49114.0,49147.0,49194.0,49241.0,49269.0,49328.0,49365.0,49403.0,49518.0,49608.0,49710.0,49747.0,49815.0,49897.0,49966.0,50029.0
5011005,56700.0,56819.0,56955.0,57062.0,57155.0,57234.0,57253.0,57324.0,57376.0,57439.0,57476.0,57550.0,57579.0,57632.0,57697.0,57741.0,57816.0,57904.0,57972.0,58048.0,58095.0,58174.0,58254.0,58339.0,58452.0,58663.0,58964.0,59119.0,59154.0,59224.0,59263.0,59369.0,59396.0,59459.0,59503.0,59587.0,59629.0,59676.0,59723.0,59784.0,59843.0,59914.0,59947.0,59994.0,60041.0,60069.0,60128.0,60165.0,60203.0,60318.0,60408.0,60510.0,60547.0,60615.0,60697.0,60766.0,60829.0
5011007,69600.0,69714.0,69860.0,69951.0,70030.0,70099.0,70115.0,70177.0,70222.0,70278.0,70311.0,70370.0,70393.0,70436.0,70487.0,70521.0,70579.0,70653.0,70710.0,70774.0,70813.0,70880.0,70948.0,71023.0,71116.0,71312.0,71591.0,71734.0,71763.0,71827.0,71863.0,71960.0,71984.0,72039.0,72082.0,72163.0,72203.0,72248.0,72293.0,72344.0,72394.0,72454.0,72484.0,72526.0,72570.0,72596.0,72641.0,72672.0,72704.0,72801.0,72873.0,72955.0,72988.0,73048.0,73127.0,73190.0,73248.0
5011009,80100.0,80231.0,80376.0,80455.0,80524.0,80578.0,80591.0,80640.0,80676.0,80720.0,80745.0,80789.0,80806.0,80838.0,80877.0,80905.0,80953.0,81015.0,81067.0,81125.0,81164.0,81231.0,81298.0,81366.0,81600.0,81760.0,81988.0,82106.0,82130.0,82179.0,82206.0,82281.0,82303.0,82355.0,82383.0,82436.0,82469.0,82507.0,82544.0,82579.0,82613.0,82654.0,82676.0,82707.0,82742.0,82763.0,82806.0,82835.0,82865.0,82942.0,82995.0,83055.0,83083.0,83134.0,83203.0,83264.0,83320.0
