tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P
5018699,61200.0,61291.0,61328.0,61390.0,61431.0,61457.0,61499.0,61520.0,61542.0,61579.0,61595.0,61623.0,61652.0,61677.0,61720.0,61767.0,61793.0,61830.0,61856.0,61882.0,61933.0,62005.0,62038.0,62096.0,62146.0,62197.0,62231.0,62265.0,62300.0,62374.0,62428.0,62482.0,62526.0,62567.0,62607.0,62647.0,62669.0,62789.0,63020.0
5018701,66600.0,66691.0,66728.0,66790.0,66831.0,66857.0,66899.0,66920.0,66942.0,66979.0,66995.0,67023.0,67052.0,67077.0,67120.0,67167.0,67193.0,67230.0,67256.0,67282.0,67333.0,67405.0,67438.0,67496.0,67546.0,67597.0,67631.0,67665.0,67700.0,67774.0,67828.0,67882.0,67926.0,67967.0,68007.0,68047.0,68069.0,68189.0,68420.0
5018703,73800.0,73885.0,73919.0,73976.0,74012.0,74035.0,74073.0,74091.0,74110.0,74143.0,74157.0,74181.0,74206.0,74228.0,74269.0,74310.0,74333.0,74366.0,74389.0,74411.0,74442.0,74485.0,74511.0,74558.0,74612.0,74667.0,74698.0,74729.0,74760.0,74824.0,74870.0,74916.0,74955.0,74992.0,75029.0,75064.0,75082.0,75185.0,75384.0
5018705,81000.0,81082.0,81115.0,81170.0,81204.0,81225.0,81260.0,81277.0,81295.0,81326.0,81339.0,81362.0,81386.0,81407.0,81443.0,81487.0,81512.0,81547.0,81572.0,81597.0,81624.0,81663.0,81685.0,81723.0,81766.0,81809.0,81834.0,81859.0,81884.0,81947.0,81992.0,82027.0,82056.0,82084.0,82111.0,82141.0,82157.0,82260.0,82458.0
5083489,25200.0,25290.0,25326.0,25386.0,25430.0,25458.0,25504.0,25526.0,25549.0,25589.0,25606.0,25636.0,25667.0,25694.0,25740.0,25794.0,25824.0,25867.0,25897.0,25927.0,25960.0,26008.0,26033.0,26077.0,26133.0,26190.0,26221.0,26252.0,26284.0,26358.0,26411.0,26461.0,26503.0,26553.0,26602.0,26661.0,26693.0,26800.0,27006.0
5083491,30600.0,30704.0,30746.0,30816.0,30866.0,30898.0,30950.0,30975.0,31002.0,31047.0,31067.0,31101.0,31136.0,31167.0,31221.0,31283.0,31318.0,31368.0,31403.0,31437.0,31518.0,31633.0,31668.0,31730.0,31813.0,31897.0,31940.0,31984.0,32028.0,32132.0,32208.0,32280.0,32340.0,32414.0,32488.0,32564.0,32605.0,32723.0,32951.0
5083493,36000.0,36085.0,36119.0,36177.0,36223.0,36252.0,36300.0,36323.0,36347.0,36388.0,36406.0,36437.0,36469.0,36497.0,36547.0,36600.0,36629.0,36671.0,36700.0,36730.0,36771.0,36830.0,36860.0,36913.0,36975.0,37037.0,37074.0,37112.0,37150.0,37218.0,37268.0,37317.0,37357.0,37400.0,37442.0,37492.0,37519.0,37637.0,37863.0
5083495,41400.0,41485.0,41519.0,41577.0,41623.0,41652.0,41700.0,41723.0,41747.0,41788.0,41806.0,41837.0,41869.0,41897.0,41947.0,42000.0,42029.0,42071.0,42100.0,42130.0,42171.0,42230.0,42260.0,42313.0,42375.0,42437.0,42474.0,42512.0,42550.0,42618.0,42668.0,42717.0,42757.0,42800.0,42842.0,42892.0,42919.0,43037.0,43263.0
5083497,46800.0,46891.0,46928.0,46988.0,47031.0,47058.0,47102.0,47123.0,47145.0,47183.0,47200.0,47229.0,47259.0,47285.0,47331.0,47383.0,47412.0,47454.0,47483.0,47512.0,47571.0,47654.0,47681.0,47730.0,47792.0,47855.0,47888.0,47922.0,47956.0,48034.0,48091.0,48141.0,48182.0,48224.0,48265.0,48311.0,48335.0,48452.0,48676.0
5083499,52200.0,52291.0,52328.0,52388.0,52431.0,52458.0,52502.0,52523.0,52545.0,52583.0,52600.0,52629.0,52659.0,52685.0,52731.0,52783.0,52812.0,52854.0,52883.0,52912.0,52971.0,53054.0,53081.0,53130.0,53192.0,53255.0,53288.0,53322.0,53356.0,53434.0,53491.0,53541.0,53582.0,53624.0,53665.0,53711.0,53735.0,53852.0,54076.0
5083501,57600.0,57688.0,57724.0,57783.0,57822.0,57847.0,57888.0,57908.0,57929.0,57965.0,57981.0,58007.0,58034.0,58058.0,58100.0,58145.0,58170.0,58206.0,58231.0,58256.0,58305.0,58374.0,58406.0,58462.0,58510.0,58559.0,58592.0,58625.0,58658.0,58729.0,58781.0,58832.0,58875.0,58914.0,58953.0,58992.0,59013.0,59129.0,59351.0
5083503,63000.0,63088.0,63124.0,63183.0,63222.0,63247.0,63288.0,63308.0,63329.0,63365.0,63381.0,63407.0,63434.0,63458.0,63500.0,63545.0,63570.0,63606.0,63631.0,63656.0,63705.0,63774.0,63806.0,63862.0,63910.0,63959.0,63992.0,64025.0,64058.0,64129.0,64181.0,64232.0,64275.0,64314.0,64353.0,64392.0,64413.0,64529.0,64751.0
5083505,68400.0,68481.0,68514.0,68569.0,68604.0,68626.0,68662.0,68680.0,68698.0,68730.0,68744.0,68768.0,68792.0,68813.0,68851.0,68890.0,68912.0,68943.0,68965.0,68988.0,69017.0,69059.0,69084.0,69129.0,69181.0,69234.0,69263.0,69293.0,69323.0,69385.0,69429.0,69474.0,69511.0,69547.0,69582.0,69615.0,69633.0,69732.0,69923.0
5086461,41400.0,41489.0,41525.0,41585.0,41625.0,41650.0,41691.0,41711.0,41732.0,41768.0,41784.0,41811.0,41839.0,41863.0,41903.0,41949.0,41975.0,42012.0,42038.0,42064.0,42089.0,42124.0,42156.0,42212.0,42256.0,42300.0,42326.0,42352.0,42378.0,42438.0,42482.0,42521.0,42554.0,42591.0,42628.0,42680.0,42707.0,42816.0,43026.0
5086463,46800.0,46903.0,46944.0,47013.0,47054.0,47080.0,47122.0,47142.0,47163.0,47200.0,47216.0,47243.0,47271.0,47296.0,47340.0,47397.0,47429.0,47474.0,47506.0,47538.0,47573.0,47623.0,47663.0,47735.0,47795.0,47855.0,47884.0,47913.0,47943.0,48023.0,48080.0,48125.0,48162.0,48216.0,48270.0,48305.0,48323.0,48433.0,48646.0
5086465,52200.0,52303.0,52344.0,52413.0,52454.0,52480.0,52522.0,52542.0,52563.0,52600.0,52616.0,52643.0,52671.0,52696.0,52740.0,52797.0,52829.0,52874.0,52906.0,52938.0,52973.0,53023.0,53063.0,53135.0,53195.0,53255.0,53284.0,53313.0,53343.0,53423.0,53480.0,53525.0,53562.0,53616.0,53670.0,53705.0,53723.0,53833.0,54046.0
5086467,57600.0,57696.0,57735.0,57800.0,57837.0,57860.0,57898.0,57916.0,57935.0,57968.0,57983.0,58008.0,58034.0,58057.0,58097.0,58145.0,58172.0,58211.0,58238.0,58265.0,58296.0,58339.0,58369.0,58423.0,58484.0,58545.0,58574.0,58604.0,58634.0,58711.0,58767.0,58810.0,58845.0,58882.0,58918.0,58951.0,58968.0,59086.0,59314.0
5086469,63000.0,63096.0,63135.0,63200.0,63237.0,63260.0,63298.0,63316.0,63335.0,63368.0,63383.0,63408.0,63434.0,63457.0,63497.0,63545.0,63572.0,63611.0,63638.0,63665.0,63696.0,63739.0,63769.0,63823.0,63884.0,63945.0,63974.0,64004.0,64034.0,64111.0,64167.0,64210.0,64245.0,64282.0,64318.0,64351.0,64368.0,64486.0,64714.0
5086471,68400.0,68502.0,68543.0,68611.0,68649.0,68673.0,68712.0,68731.0,68751.0,68785.0,68800.0,68825.0,68851.0,68874.0,68913.0,68960.0,68986.0,69024.0,69050.0,69078.0,69106.0,69146.0,69184.0,69252.0,69301.0,69350.0,69376.0,69403.0,69430.0,69493.0,69538.0,69578.0,69612.0,69638.0,69664.0,69717.0,69745.0,69855.0,70068.0
5086473,73800.0,73902.0,73943.0,74011.0,74049.0,74073.0,74112.0,74131.0,74151.0,74185.0,74200.0,74225.0,74251.0,74274.0,74313.0,74360.0,74386.0,74424.0,74450.0,74478.0,74506.0,74546.0,74584.0,74652.0,74701.0,74750.0,74776.0,74803.0,74830.0,74893.0,74938.0,74978.0,75012.0,75038.0,75064.0,75117.0,75145.0,75255.0,75468.0
5086475,81000.0,81060.0,81084.0,81125.0,81156.0,81176.0,81209.0,81225.0,81242.0,81270.0,81282.0,81303.0,81325.0,81344.0,81378.0,81425.0,81451.0,81489.0,81515.0,81543.0,81569.0,81605.0,81635.0,81689.0,81727.0,81766.0,81790.0,81814.0,81839.0,81907.0,81956.0,81984.0,82007.0,82035.0,82063.0,82092.0,82108.0,82206.0,82394.0
5089794,27000.0,27090.0,27126.0,27186.0,27230.0,27258.0,27304.0,27326.0,27349.0,27389.0,27406.0,27436.0,27467.0,27494.0,27540.0,27594.0,27624.0,27667.0,27697.0,27727.0,27760.0,27808.0,27833.0,27877.0,27933.0,27990.0,28021.0,28052.0,28084.0,28158.0,28211.0,28261.0,28303.0,28353.0,28402.0,28461.0,28493.0,28600.0,28806.0
5089796,32400.0,32504.0,32546.0,32616.0,32666.0,32698.0,32750.0,32775.0,32802.0,32847.0,32867.0,32901.0,32936.0,32967.0,33021.0,33083.0,33118.0,33168.0,33203.0,33237.0,33318.0,33433.0,33468.0,33530.0,33613.0,33697.0,33740.0,33784.0,33828.0,33932.0,34008.0,34080.0,34140.0,34214.0,34288.0,34364.0,34405.0,34523.0,34751.0
5089798,37800.0,37885.0,37919.0,37977.0,38023.0,38052.0,38100.0,38123.0,38147.0,38188.0,38206.0,38237.0,38269.0,38297.0,38347.0,38400.0,38429.0,38471.0,38500.0,38530.0,38571.0,38630.0,38660.0,38713.0,38775.0,38837.0,38874.0,38912.0,38950.0,39018.0,39068.0,39117.0,39157.0,39200.0,39242.0,39292.0,39319.0,39437.0,39663.0
5089800,43200.0,43291.0,43328.0,43388.0,43431.0,43458.0,43502.0,43523.0,43545.0,43583.0,43600.0,43629.0,43659.0,43685.0,43731.0,43783.0,43812.0,43854.0,43883.0,43912.0,43971.0,44054.0,44081.0,44130.0,44192.0,44255.0,44288.0,44322.0,44356.0,44434.0,44491.0,44541.0,44582.0,44624.0,44665.0,44711.0,44735.0,44852.0,45076.0
5089802,48600.0,48691.0,48728.0,48788.0,48831.0,48858.0,48902.0,48923.0,48945.0,48983.0,49000.0,49029.0,49059.0,49085.0,49131.0,49183.0,49212.0,49254.0,49283.0,49312.0,49371.0,49454.0,49481.0,49530.0,49592.0,49655.0,49688.0,49722.0,49756.0,49834.0,49891.0,49941.0,49982.0,50024.0,50065.0,50111.0,50135.0,50252.0,50476.0
5089804,54000.0,54088.0,54124.0,54183.0,54222.0,54247.0,54288.0,54308.0,54329.0,54365.0,54381.0,54407.0,54434.0,54458.0,54500.0,54545.0,54570.0,54606.0,54631.0,54656.0,54705.0,54774.0,54806.0,54862.0,54910.0,54959.0,54992.0,55025.0,55058.0,55129.0,55181.0,55232.0,55275.0,55314.0,55353.0,55392.0,55413.0,55529.0,55751.0
