tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P
5099594,37800.0,37837.0,37882.0,37950.0,37995.0,38029.0,38064.0,38112.0,38137.0,38181.0,38219.0,38250.0,38279.0,38320.0,38375.0,38397.0,38438.0,38482.0,38526.0,38602.0,38681.0,38720.0,38763.0,38835.0,38869.0,38954.0,38970.0,39046.0,39180.0,39444.0,39603.0,39689.0,39732.0,39783.0,39817.0,39853.0,39952.0,40002.0,40041.0,40087.0,40122.0,40152.0,40233.0,40255.0,40280.0,40304.0,40330.0,40407.0,40460.0,40557.0,40606.0,40696.0
5099596,45600.0,45639.0,45687.0,45760.0,45807.0,45844.0,45883.0,45936.0,45964.0,46012.0,46054.0,46089.0,46121.0,46166.0,46226.0,46250.0,46296.0,46337.0,46377.0,46454.0,46534.0,46574.0,46618.0,46692.0,46726.0,46846.0,46866.0,46959.0,47096.0,47368.0,47581.0,47706.0,47753.0,47808.0,47845.0,47884.0,47993.0,48043.0,48081.0,48127.0,48182.0,48230.0,48309.0,48337.0,48369.0,48400.0,48433.0,48509.0,48561.0,48657.0,48708.0,48802.0
5099598,54000.0,54034.0,54076.0,54140.0,54183.0,54219.0,54257.0,54308.0,54335.0,54382.0,54423.0,54456.0,54487.0,54531.0,54589.0,54612.0,54655.0,54699.0,54743.0,54814.0,54887.0,54928.0,54973.0,55049.0,55083.0,55178.0,55201.0,55312.0,55474.0,55795.0,55998.0,56134.0,56187.0,56249.0,56291.0,56335.0,56457.0,56503.0,56539.0,56582.0,56634.0,56680.0,56753.0,56783.0,56817.0,56851.0,56883.0,56957.0,57008.0,57099.0,57144.0,57226.0
5099600,62400.0,62434.0,62476.0,62540.0,62583.0,62619.0,62657.0,62708.0,62735.0,62782.0,62823.0,62856.0,62887.0,62931.0,62989.0,63012.0,63055.0,63099.0,63143.0,63214.0,63287.0,63328.0,63373.0,63449.0,63483.0,63578.0,63601.0,63712.0,63874.0,64195.0,64398.0,64534.0,64587.0,64649.0,64691.0,64735.0,64857.0,64903.0,64939.0,64982.0,65034.0,65080.0,65153.0,65183.0,65217.0,65251.0,65283.0,65357.0,65408.0,65499.0,65544.0,65626.0
5099602,70800.0,70832.0,70872.0,70932.0,70971.0,71005.0,71041.0,71089.0,71114.0,71158.0,71197.0,71229.0,71259.0,71301.0,71356.0,71378.0,71420.0,71460.0,71500.0,71574.0,71651.0,71691.0,71735.0,71809.0,71844.0,71969.0,71991.0,72094.0,72241.0,72531.0,72729.0,72849.0,72900.0,72960.0,73000.0,73043.0,73162.0,73215.0,73256.0,73305.0,73355.0,73399.0,73482.0,73511.0,73543.0,73575.0,73611.0,73673.0,73716.0,73794.0,73838.0,73917.0
5099603,40800.0,40837.0,40882.0,40950.0,40995.0,41029.0,41064.0,41112.0,41137.0,41181.0,41219.0,41250.0,41279.0,41320.0,41375.0,41397.0,41438.0,41482.0,41526.0,41602.0,41681.0,41720.0,41763.0,41835.0,41869.0,41954.0,41970.0,42046.0,42180.0,42444.0,42603.0,42689.0,42732.0,42783.0,42817.0,42853.0,42952.0,43002.0,43041.0,43087.0,43122.0,43152.0,43233.0,43255.0,43280.0,43304.0,43330.0,43407.0,43460.0,43557.0,43606.0,43696.0
5099605,49200.0,49239.0,49287.0,49360.0,49407.0,49444.0,49483.0,49536.0,49564.0,49612.0,49654.0,49689.0,49721.0,49766.0,49826.0,49850.0,49896.0,49937.0,49977.0,50054.0,50134.0,50174.0,50218.0,50292.0,50326.0,50446.0,50466.0,50559.0,50696.0,50968.0,51181.0,51306.0,51353.0,51408.0,51445.0,51484.0,51593.0,51643.0,51681.0,51727.0,51782.0,51830.0,51909.0,51937.0,51969.0,52000.0,52033.0,52109.0,52161.0,52257.0,52308.0,52402.0
5099607,57600.0,57634.0,57676.0,57740.0,57783.0,57819.0,57857.0,57908.0,57935.0,57982.0,58023.0,58056.0,58087.0,58131.0,58189.0,58212.0,58255.0,58299.0,58343.0,58414.0,58487.0,58528.0,58573.0,58649.0,58683.0,58778.0,58801.0,58912.0,59074.0,59395.0,59598.0,59734.0,59787.0,59849.0,59891.0,59935.0,60057.0,60103.0,60139.0,60182.0,60234.0,60280.0,60353.0,60383.0,60417.0,60451.0,60483.0,60557.0,60608.0,60699.0,60744.0,60826.0
5099609,66000.0,66034.0,66076.0,66140.0,66183.0,66219.0,66257.0,66308.0,66335.0,66382.0,66423.0,66456.0,66487.0,66531.0,66589.0,66612.0,66655.0,66699.0,66743.0,66814.0,66887.0,66928.0,66973.0,67049.0,67083.0,67178.0,67201.0,67312.0,67474.0,67795.0,67998.0,68134.0,68187.0,68249.0,68291.0,68335.0,68457.0,68503.0,68539.0,68582.0,68634.0,68680.0,68753.0,68783.0,68817.0,68851.0,68883.0,68957.0,69008.0,69099.0,69144.0,69226.0
5099613,81000.0,81028.0,81063.0,81115.0,81149.0,81184.0,81220.0,81269.0,81295.0,81340.0,81379.0,81411.0,81441.0,81483.0,81539.0,81561.0,81604.0,81636.0,81667.0,81736.0,81807.0,81852.0,81902.0,81985.0,82023.0,82121.0,82142.0,82242.0,82386.0,82671.0,82773.0,82871.0,82912.0,82961.0,82994.0,83029.0,83124.0,83171.0,83207.0,83250.0,83297.0,83338.0,83389.0,83416.0,83446.0,83477.0,83504.0,83559.0,83596.0,83664.0,83709.0,83790.0
5099616,34200.0,34231.0,34269.0,34327.0,34365.0,34397.0,34430.0,34474.0,34497.0,34538.0,34574.0,34603.0,34630.0,34668.0,34719.0,34739.0,34779.0,34812.0,34845.0,34898.0,34952.0,34983.0,35018.0,35077.0,35104.0,35163.0,35176.0,35236.0,35320.0,35487.0,35586.0,35676.0,35711.0,35753.0,35781.0,35811.0,35893.0,35930.0,35959.0,35994.0,36032.0,36065.0,36115.0,36138.0,36164.0,36190.0,36233.0,36281.0,36314.0,36375.0,36433.0,36539.0
5099618,42000.0,42037.0,42082.0,42150.0,42195.0,42229.0,42264.0,42312.0,42337.0,42381.0,42419.0,42450.0,42479.0,42520.0,42575.0,42597.0,42638.0,42682.0,42726.0,42802.0,42881.0,42920.0,42963.0,43035.0,43069.0,43154.0,43170.0,43246.0,43380.0,43644.0,43803.0,43889.0,43932.0,43983.0,44017.0,44053.0,44152.0,44202.0,44241.0,44287.0,44322.0,44352.0,44433.0,44455.0,44480.0,44504.0,44530.0,44607.0,44660.0,44757.0,44806.0,44896.0
