tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P
5010241,41400.0,41683.0,41694.0,41742.0,41798.0,41841.0,41917.0,41998.0,42027.0,42082.0,42104.0,42137.0,42160.0,42176.0,42203.0,42253.0,42310.0,42374.0,42519.0,42547.0,42709.0,42735.0,42801.0,42843.0,42897.0,42934.0,42965.0,43002.0,43057.0,43088.0,43142.0,43220.0,43298.0,43335.0,43373.0,43411.0,43482.0,43533.0,43584.0,43627.0,43666.0,43705.0,43759.0,43788.0,43899.0,44117.0
5010243,48600.0,48927.0,48938.0,48979.0,49054.0,49101.0,49184.0,49273.0,49305.0,49366.0,49390.0,49426.0,49451.0,49470.0,49495.0,49540.0,49593.0,49661.0,49814.0,49843.0,50009.0,50036.0,50103.0,50143.0,50195.0,50231.0,50265.0,50305.0,50367.0,50399.0,50455.0,50512.0,50570.0,50605.0,50640.0,50675.0,50750.0,50804.0,50858.0,50903.0,50944.0,50984.0,51037.0,51065.0,51187.0,51427.0
5010245,55800.0,56116.0,56128.0,56181.0,56256.0,56308.0,56401.0,56501.0,56536.0,56604.0,56631.0,56671.0,56699.0,56719.0,56745.0,56792.0,56846.0,56910.0,57054.0,57082.0,57248.0,57275.0,57342.0,57381.0,57432.0,57467.0,57508.0,57556.0,57627.0,57657.0,57711.0,57767.0,57823.0,57859.0,57895.0,57932.0,58011.0,58068.0,58123.0,58169.0,58210.0,58251.0,58305.0,58334.0,58457.0,58699.0
5010247,63300.0,63616.0,63628.0,63681.0,63756.0,63808.0,63901.0,64001.0,64036.0,64104.0,64131.0,64171.0,64199.0,64219.0,64245.0,64292.0,64346.0,64410.0,64554.0,64582.0,64748.0,64775.0,64842.0,64881.0,64932.0,64967.0,65008.0,65056.0,65127.0,65157.0,65211.0,65267.0,65323.0,65359.0,65395.0,65432.0,65511.0,65568.0,65623.0,65669.0,65710.0,65751.0,65805.0,65834.0,65957.0,66199.0
5012994,68400.0,68669.0,68680.0,68726.0,68789.0,68830.0,68903.0,68982.0,69010.0,69063.0,69084.0,69116.0,69138.0,69155.0,69178.0,69219.0,69267.0,69316.0,69428.0,69450.0,69579.0,69600.0,69653.0,69685.0,69727.0,69755.0,69782.0,69814.0,69861.0,69888.0,69936.0,69989.0,70042.0,70072.0,70102.0,70132.0,70203.0,70255.0,70305.0,70346.0,70381.0,70415.0,70455.0,70477.0,70596.0,70830.0
5012996,75600.0,75850.0,75859.0,75896.0,75951.0,75987.0,76051.0,76120.0,76144.0,76191.0,76210.0,76238.0,76258.0,76273.0,76293.0,76329.0,76371.0,76412.0,76504.0,76522.0,76634.0,76652.0,76698.0,76725.0,76761.0,76785.0,76805.0,76829.0,76865.0,76888.0,76930.0,76974.0,77019.0,77045.0,77071.0,77097.0,77159.0,77204.0,77245.0,77279.0,77310.0,77340.0,77379.0,77400.0,77511.0,77729.0
5014551,38100.0,38383.0,38394.0,38442.0,38498.0,38541.0,38617.0,38698.0,38727.0,38782.0,38804.0,38837.0,38860.0,38876.0,38903.0,38953.0,39010.0,39074.0,39219.0,39247.0,39409.0,39435.0,39501.0,39543.0,39597.0,39634.0,39665.0,39702.0,39757.0,39788.0,39842.0,39920.0,39998.0,40035.0,40073.0,40111.0,40182.0,40233.0,40284.0,40327.0,40366.0,40405.0,40459.0,40488.0,40599.0,40817.0
5014553,45000.0,45327.0,45338.0,45379.0,45454.0,45501.0,45584.0,45673.0,45705.0,45766.0,45790.0,45826.0,45851.0,45870.0,45895.0,45940.0,45993.0,46061.0,46214.0,46243.0,46409.0,46436.0,46503.0,46543.0,46595.0,46631.0,46665.0,46705.0,46767.0,46799.0,46855.0,46912.0,46970.0,47005.0,47040.0,47075.0,47150.0,47204.0,47258.0,47303.0,47344.0,47384.0,47437.0,47465.0,47587.0,47827.0
5014555,52200.0,52527.0,52538.0,52579.0,52654.0,52701.0,52784.0,52873.0,52905.0,52966.0,52990.0,53026.0,53051.0,53070.0,53095.0,53140.0,53193.0,53261.0,53414.0,53443.0,53609.0,53636.0,53703.0,53743.0,53795.0,53831.0,53865.0,53905.0,53967.0,53999.0,54055.0,54112.0,54170.0,54205.0,54240.0,54275.0,54350.0,54404.0,54458.0,54503.0,54544.0,54584.0,54637.0,54665.0,54787.0,55027.0
5014857,59700.0,60016.0,60028.0,60081.0,60156.0,60208.0,60301.0,60401.0,60436.0,60504.0,60531.0,60571.0,60599.0,60619.0,60645.0,60692.0,60746.0,60810.0,60954.0,60982.0,61148.0,61175.0,61242.0,61281.0,61332.0,61367.0,61408.0,61456.0,61527.0,61557.0,61611.0,61667.0,61723.0,61759.0,61795.0,61832.0,61911.0,61968.0,62023.0,62069.0,62110.0,62151.0,62205.0,62234.0,62357.0,62599.0
5014859,67500.0,67769.0,67780.0,67826.0,67889.0,67930.0,68003.0,68082.0,68110.0,68163.0,68184.0,68216.0,68238.0,68255.0,68278.0,68319.0,68367.0,68416.0,68528.0,68550.0,68679.0,68700.0,68753.0,68785.0,68827.0,68855.0,68882.0,68914.0,68961.0,68988.0,69036.0,69089.0,69142.0,69172.0,69202.0,69232.0,69303.0,69355.0,69405.0,69446.0,69481.0,69515.0,69555.0,69577.0,69696.0,69930.0
5015890,42600.0,42927.0,42938.0,42979.0,43054.0,43101.0,43184.0,43273.0,43305.0,43366.0,43390.0,43426.0,43451.0,43470.0,43495.0,43540.0,43593.0,43661.0,43814.0,43843.0,44009.0,44036.0,44103.0,44143.0,44195.0,44231.0,44265.0,44305.0,44367.0,44399.0,44455.0,44512.0,44570.0,44605.0,44640.0,44675.0,44750.0,44804.0,44858.0,44903.0,44944.0,44984.0,45037.0,45065.0,45187.0,45427.0
5015892,49800.0,50127.0,50138.0,50179.0,50254.0,50301.0,50384.0,50473.0,50505.0,50566.0,50590.0,50626.0,50651.0,50670.0,50695.0,50740.0,50793.0,50861.0,51014.0,51043.0,51209.0,51236.0,51303.0,51343.0,51395.0,51431.0,51465.0,51505.0,51567.0,51599.0,51655.0,51712.0,51770.0,51805.0,51840.0,51875.0,51950.0,52004.0,52058.0,52103.0,52144.0,52184.0,52237.0,52265.0,52387.0,52627.0
5015896,64500.0,64816.0,64828.0,64881.0,64956.0,65008.0,65101.0,65201.0,65236.0,65304.0,65331.0,65371.0,65399.0,65419.0,65445.0,65492.0,65546.0,65610.0,65754.0,65782.0,65948.0,65975.0,66042.0,66081.0,66132.0,66167.0,66208.0,66256.0,66327.0,66357.0,66411.0,66467.0,66523.0,66559.0,66595.0,66632.0,66711.0,66768.0,66823.0,66869.0,66910.0,66951.0,67005.0,67034.0,67157.0,67399.0
