tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P
5093756,63900.0,64026.0,64055.0,64087.0,64168.0,64253.0,64301.0,64403.0,64419.0,64482.0,64525.0,64555.0,64613.0,64672.0,64712.0,64751.0,64791.0,64819.0,64840.0,64925.0,65014.0,65076.0,65107.0,65137.0,65159.0,65197.0,65245.0,65277.0,65304.0,65332.0,65364.0,65387.0,65432.0
5093758,69600.0,69736.0,69772.0,69812.0,69874.0,69939.0,69965.0,70041.0,70081.0,70166.0,70210.0,70242.0,70289.0,70337.0,70369.0,70401.0,70434.0,70457.0,70475.0,70557.0,70643.0,70709.0,70740.0,70770.0,70792.0,70830.0,70878.0,70910.0,70937.0,70965.0,70997.0,71020.0,71065.0
5093760,74400.0,74536.0,74572.0,74612.0,74674.0,74739.0,74765.0,74841.0,74881.0,74966.0,75010.0,75042.0,75089.0,75137.0,75169.0,75201.0,75234.0,75257.0,75275.0,75357.0,75443.0,75509.0,75540.0,75570.0,75592.0,75630.0,75678.0,75710.0,75737.0,75765.0,75797.0,75820.0,75865.0
5093762,79200.0,79284.0,79320.0,79360.0,79459.0,79562.0,79581.0,79645.0,79662.0,79729.0,79769.0,79798.0,79846.0,79895.0,79928.0,79960.0,79993.0,80016.0,80034.0,80081.0,80131.0,80197.0,80228.0,80258.0,80280.0,80318.0,80366.0,80398.0,80425.0,80453.0,80485.0,80508.0,80553.0
5095342,44400.0,44538.0,44599.0,44667.0,44750.0,44836.0,44866.0,44961.0,44992.0,45082.0,45132.0,45167.0,45227.0,45288.0,45329.0,45369.0,45411.0,45440.0,45462.0,45582.0,45708.0,45780.0,45811.0,45841.0,45863.0,45901.0,45948.0,45980.0,46007.0,46035.0,46067.0,46090.0,46134.0
5095348,63000.0,63172.0,63232.0,63299.0,63391.0,63487.0,63520.0,63621.0,63655.0,63765.0,63822.0,63862.0,63923.0,63985.0,64026.0,64066.0,64108.0,64138.0,64160.0,64287.0,64419.0,64508.0,64539.0,64569.0,64591.0,64629.0,64677.0,64709.0,64736.0,64764.0,64796.0,64819.0,64864.0
5098259,41700.0,41813.0,41842.0,41875.0,41973.0,42076.0,42094.0,42196.0,42223.0,42294.0,42325.0,42347.0,42384.0,42422.0,42447.0,42472.0,42498.0,42516.0,42530.0,42594.0,42660.0,42715.0,42744.0,42772.0,42793.0,42829.0,42874.0,42905.0,42931.0,42958.0,42989.0,43010.0,43051.0
5098261,47520.0,47618.0,47669.0,47725.0,47780.0,47838.0,47858.0,47935.0,47959.0,48030.0,48062.0,48085.0,48123.0,48161.0,48187.0,48212.0,48238.0,48256.0,48270.0,48330.0,48393.0,48467.0,48493.0,48518.0,48537.0,48569.0,48609.0,48636.0,48659.0,48683.0,48710.0,48729.0,48769.0
5098263,52920.0,53018.0,53069.0,53125.0,53180.0,53238.0,53258.0,53335.0,53359.0,53430.0,53462.0,53485.0,53523.0,53561.0,53587.0,53612.0,53638.0,53656.0,53670.0,53730.0,53793.0,53867.0,53893.0,53918.0,53937.0,53969.0,54009.0,54036.0,54059.0,54083.0,54110.0,54129.0,54169.0
5098451,48000.0,48138.0,48199.0,48267.0,48350.0,48436.0,48466.0,48561.0,48592.0,48682.0,48732.0,48767.0,48827.0,48888.0,48929.0,48969.0,49011.0,49040.0,49062.0,49182.0,49308.0,49380.0,49411.0,49441.0,49463.0,49501.0,49548.0,49580.0,49607.0,49635.0,49667.0,49690.0,49734.0
