tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P
5012527,42600.0,42608.0,42671.0,42706.0,42757.0,42799.0,42876.0,43151.0,43277.0,43364.0,43516.0,43646.0,43683.0,43721.0,43756.0,43800.0,43861.0,43918.0,43955.0,43997.0,44029.0,44075.0,44106.0,44135.0,44182.0,44226.0,44277.0,44327.0,44385.0,44426.0,44472.0,44507.0,44527.0,44552.0,44598.0,44613.0,44653.0,44679.0,44697.0,44737.0
5012529,49800.0,49808.0,49873.0,49909.0,49961.0,50004.0,50081.0,50327.0,50440.0,50538.0,50683.0,50807.0,50856.0,50905.0,50944.0,50993.0,51061.0,51124.0,51168.0,51218.0,51264.0,51330.0,51374.0,51415.0,51485.0,51537.0,51597.0,51657.0,51726.0,51776.0,51829.0,51873.0,51898.0,51929.0,51986.0,52005.0,52059.0,52092.0,52116.0,52159.0
5012531,57000.0,57010.0,57092.0,57137.0,57203.0,57257.0,57356.0,57666.0,57808.0,57909.0,58076.0,58219.0,58291.0,58365.0,58410.0,58466.0,58543.0,58614.0,58667.0,58729.0,58788.0,58873.0,58930.0,58983.0,59072.0,59128.0,59192.0,59256.0,59329.0,59383.0,59447.0,59500.0,59530.0,59568.0,59638.0,59661.0,59725.0,59765.0,59793.0,59840.0
5013097,31800.0,31811.0,31898.0,31946.0,32016.0,32074.0,32177.0,32511.0,32664.0,32743.0,32922.0,33076.0,33123.0,33171.0,33201.0,33238.0,33289.0,33337.0,33380.0,33429.0,33463.0,33512.0,33545.0,33576.0,33627.0,33675.0,33731.0,33786.0,33849.0,33895.0,33942.0,33978.0,33998.0,34023.0,34070.0,34086.0,34137.0,34161.0,34179.0,34225.0
5013099,39000.0,39008.0,39071.0,39106.0,39157.0,39199.0,39276.0,39551.0,39677.0,39764.0,39916.0,40046.0,40083.0,40121.0,40156.0,40200.0,40261.0,40318.0,40355.0,40397.0,40429.0,40475.0,40506.0,40535.0,40582.0,40626.0,40677.0,40727.0,40785.0,40826.0,40872.0,40907.0,40927.0,40952.0,40998.0,41013.0,41053.0,41079.0,41097.0,41137.0
5013101,46200.0,46208.0,46273.0,46309.0,46361.0,46404.0,46481.0,46727.0,46840.0,46938.0,47083.0,47207.0,47256.0,47305.0,47344.0,47393.0,47461.0,47524.0,47568.0,47618.0,47664.0,47730.0,47774.0,47815.0,47885.0,47937.0,47997.0,48057.0,48126.0,48176.0,48229.0,48273.0,48298.0,48329.0,48386.0,48405.0,48459.0,48492.0,48516.0,48559.0
5013103,53400.0,53408.0,53473.0,53509.0,53561.0,53604.0,53681.0,53927.0,54040.0,54138.0,54283.0,54407.0,54456.0,54505.0,54544.0,54593.0,54661.0,54724.0,54768.0,54818.0,54864.0,54930.0,54974.0,55015.0,55085.0,55137.0,55197.0,55257.0,55326.0,55376.0,55429.0,55473.0,55498.0,55529.0,55586.0,55605.0,55659.0,55692.0,55716.0,55759.0
5013105,61200.0,61212.0,61306.0,61358.0,61434.0,61497.0,61610.0,62044.0,62244.0,62364.0,62560.0,62729.0,62850.0,62973.0,63020.0,63079.0,63160.0,63236.0,63291.0,63354.0,63414.0,63499.0,63556.0,63609.0,63700.0,63756.0,63821.0,63885.0,63959.0,64012.0,64075.0,64129.0,64159.0,64197.0,64268.0,64293.0,64348.0,64386.0,64413.0,64458.0
5013107,68400.0,68408.0,68475.0,68512.0,68566.0,68610.0,68690.0,69014.0,69163.0,69249.0,69397.0,69524.0,69573.0,69622.0,69659.0,69705.0,69768.0,69826.0,69869.0,69918.0,69953.0,70003.0,70037.0,70068.0,70121.0,70169.0,70225.0,70281.0,70344.0,70390.0,70447.0,70493.0,70519.0,70551.0,70611.0,70631.0,70668.0,70704.0,70730.0,70769.0
5013109,75600.0,75608.0,75669.0,75703.0,75753.0,75794.0,75866.0,76101.0,76209.0,76292.0,76417.0,76524.0,76565.0,76607.0,76635.0,76669.0,76717.0,76761.0,76795.0,76835.0,76863.0,76903.0,76930.0,76955.0,76998.0,77041.0,77090.0,77139.0,77195.0,77235.0,77278.0,77319.0,77342.0,77371.0,77425.0,77443.0,77475.0,77504.0,77525.0,77562.0
