tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P
5014589,33600.0,33779.0,33816.0,33880.0,34001.0,34180.0,34192.0,34368.0,34507.0,34562.0,34834.0,34986.0,35140.0,35210.0,35251.0,35411.0,35467.0,35511.0,35564.0,35628.0,35656.0,35732.0,35825.0,35877.0,35936.0,35992.0,36027.0,36074.0,36150.0,36180.0,36287.0,36529.0,36585.0,36702.0,36771.0,36803.0,36849.0,36888.0,36994.0,37030.0,37059.0,37111.0,37149.0,37206.0,37248.0,37271.0,37288.0,37399.0
5014732,64200.0,64325.0,64370.0,64445.0,64592.0,64809.0,64824.0,65040.0,65209.0,65276.0,65609.0,65891.0,66045.0,66116.0,66178.0,66420.0,66491.0,66548.0,66616.0,66698.0,66735.0,66833.0,66953.0,67020.0,67095.0,67171.0,67218.0,67258.0,67334.0,67377.0,67544.0,67923.0,68011.0,68194.0,68302.0,68404.0,68553.0,68615.0,68784.0,68841.0,68887.0,68969.0,69028.0,69096.0,69146.0,69174.0,69194.0,69325.0
5017763,35400.0,35460.0,35505.0,35580.0,35673.0,35810.0,35820.0,35919.0,35997.0,36028.0,36180.0,36300.0,36341.0,36360.0,36397.0,36540.0,36610.0,36666.0,36733.0,36813.0,36849.0,36944.0,37061.0,37127.0,37200.0,37274.0,37320.0,37440.0,37560.0,37620.0,37674.0,37797.0,37826.0,37885.0,37920.0,37993.0,38100.0,38139.0,38245.0,38281.0,38310.0,38362.0,38400.0,38469.0,38520.0,38548.0,38569.0,38700.0
5084379,44400.0,44460.0,44505.0,44580.0,44650.0,44753.0,44760.0,44925.0,45055.0,45106.0,45360.0,45540.0,45705.0,45780.0,45817.0,45960.0,46036.0,46097.0,46170.0,46257.0,46296.0,46400.0,46528.0,46600.0,46680.0,46754.0,46800.0,46920.0,47040.0,47160.0,47268.0,47514.0,47571.0,47690.0,47760.0,47809.0,47880.0,47927.0,48055.0,48098.0,48132.0,48194.0,48240.0,48309.0,48360.0,48388.0,48409.0,48540.0
5084385,78000.0,78120.0,78165.0,78240.0,78286.0,78355.0,78360.0,78475.0,78566.0,78602.0,78780.0,78900.0,78941.0,78960.0,78984.0,79080.0,79118.0,79148.0,79184.0,79228.0,79247.0,79299.0,79363.0,79399.0,79440.0,79477.0,79500.0,79560.0,79620.0,79680.0,79734.0,79857.0,79886.0,79945.0,79980.0,80053.0,80160.0,80207.0,80335.0,80378.0,80412.0,80474.0,80520.0,80589.0,80640.0,80668.0,80689.0,80820.0
5084876,31200.0,31372.0,31408.0,31469.0,31585.0,31757.0,31769.0,31939.0,32072.0,32125.0,32386.0,32532.0,32680.0,32747.0,32786.0,32940.0,32993.0,33036.0,33087.0,33148.0,33175.0,33248.0,33338.0,33388.0,33445.0,33499.0,33533.0,33578.0,33651.0,33680.0,33783.0,34015.0,34069.0,34182.0,34248.0,34279.0,34323.0,34360.0,34462.0,34497.0,34525.0,34575.0,34611.0,34666.0,34707.0,34729.0,34746.0,34851.0
5084880,51600.0,51660.0,51705.0,51780.0,51850.0,51953.0,51960.0,52125.0,52255.0,52306.0,52560.0,52740.0,52905.0,52980.0,53017.0,53160.0,53236.0,53297.0,53370.0,53457.0,53496.0,53600.0,53728.0,53800.0,53880.0,53954.0,54000.0,54120.0,54240.0,54360.0,54468.0,54714.0,54771.0,54890.0,54960.0,55009.0,55080.0,55127.0,55255.0,55298.0,55332.0,55394.0,55440.0,55509.0,55560.0,55588.0,55609.0,55740.0
5085373,37800.0,37944.0,37978.0,38035.0,38128.0,38265.0,38275.0,38423.0,38539.0,38585.0,38814.0,39017.0,39157.0,39221.0,39259.0,39410.0,39470.0,39518.0,39575.0,39643.0,39673.0,39754.0,39854.0,39910.0,39973.0,40035.0,40074.0,40115.0,40179.0,40215.0,40329.0,40586.0,40646.0,40771.0,40844.0,40879.0,40930.0,40968.0,41073.0,41108.0,41136.0,41187.0,41225.0,41290.0,41338.0,41364.0,41384.0,41509.0
5085756,54000.0,54120.0,54163.0,54235.0,54376.0,54584.0,54599.0,54806.0,54969.0,55033.0,55354.0,55625.0,55773.0,55841.0,55900.0,56133.0,56202.0,56257.0,56323.0,56402.0,56437.0,56531.0,56646.0,56711.0,56782.0,56855.0,56900.0,56938.0,57011.0,57052.0,57213.0,57577.0,57662.0,57838.0,57941.0,58039.0,58182.0,58241.0,58403.0,58458.0,58502.0,58581.0,58639.0,58705.0,58753.0,58779.0,58799.0,58925.0
5085758,66000.0,66120.0,66163.0,66235.0,66376.0,66584.0,66599.0,66806.0,66969.0,67033.0,67354.0,67625.0,67773.0,67841.0,67900.0,68133.0,68202.0,68257.0,68323.0,68402.0,68437.0,68531.0,68646.0,68711.0,68782.0,68855.0,68900.0,68938.0,69011.0,69052.0,69213.0,69577.0,69662.0,69838.0,69941.0,70039.0,70182.0,70241.0,70403.0,70458.0,70502.0,70581.0,70639.0,70705.0,70753.0,70779.0,70799.0,70925.0
