tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P
5005147,63000.0,63046.0,63084.0,63133.0,63198.0,63235.0,63291.0,63325.0,63366.0,63425.0,63466.0,63507.0,63555.0,63613.0,63683.0,63738.0,63816.0,63915.0,63969.0,64094.0,64331.0,64692.0,64850.0,64945.0,65007.0,65088.0,65161.0,65215.0,65324.0,65427.0,65492.0,65543.0,65675.0,65734.0,65795.0,65833.0,65867.0,65937.0,65995.0,66110.0,66209.0,66245.0,66315.0,66361.0,66423.0,66493.0,66573.0,66611.0,66661.0,66692.0,66729.0,66746.0,66776.0,66804.0,66836.0,66874.0,66914.0,66964.0,67001.0,67070.0,67116.0
5006345,32400.0,32458.0,32506.0,32568.0,32650.0,32699.0,32777.0,32824.0,32881.0,32967.0,33027.0,33086.0,33155.0,33238.0,33336.0,33409.0,33513.0,33615.0,33671.0,33796.0,34054.0,34491.0,34682.0,34798.0,34873.0,34940.0,35001.0,35046.0,35123.0,35196.0,35242.0,35277.0,35346.0,35376.0,35427.0,35459.0,35488.0,35549.0,35600.0,35663.0,35717.0,35742.0,35791.0,35819.0,35856.0,35898.0,35946.0,35974.0,36010.0,36031.0,36056.0,36068.0,36098.0,36125.0,36157.0,36195.0,36234.0,36283.0,36319.0,36388.0,36434.0
5006347,45000.0,45046.0,45084.0,45134.0,45200.0,45238.0,45296.0,45331.0,45373.0,45428.0,45466.0,45504.0,45549.0,45609.0,45681.0,45732.0,45806.0,45904.0,45958.0,46071.0,46306.0,46621.0,46759.0,46851.0,46911.0,46975.0,47034.0,47079.0,47154.0,47225.0,47270.0,47305.0,47406.0,47451.0,47509.0,47546.0,47578.0,47637.0,47687.0,47767.0,47835.0,47870.0,47939.0,47976.0,48040.0,48112.0,48194.0,48230.0,48277.0,48307.0,48342.0,48358.0,48388.0,48416.0,48448.0,48486.0,48526.0,48576.0,48613.0,48682.0,48728.0
5006349,66600.0,66646.0,66684.0,66733.0,66798.0,66835.0,66891.0,66925.0,66966.0,67025.0,67066.0,67107.0,67155.0,67213.0,67283.0,67338.0,67416.0,67515.0,67569.0,67694.0,67931.0,68292.0,68450.0,68545.0,68607.0,68688.0,68761.0,68815.0,68924.0,69027.0,69092.0,69143.0,69275.0,69334.0,69395.0,69433.0,69467.0,69537.0,69595.0,69710.0,69809.0,69845.0,69915.0,69961.0,70023.0,70093.0,70173.0,70211.0,70261.0,70292.0,70329.0,70346.0,70376.0,70404.0,70436.0,70474.0,70514.0,70564.0,70601.0,70670.0,70716.0
5006351,77400.0,77430.0,77455.0,77487.0,77530.0,77555.0,77598.0,77624.0,77656.0,77727.0,77776.0,77824.0,77881.0,77945.0,78021.0,78057.0,78109.0,78179.0,78217.0,78300.0,78577.0,78804.0,78903.0,78971.0,79016.0,79077.0,79132.0,79171.0,79223.0,79273.0,79305.0,79329.0,79380.0,79403.0,79447.0,79475.0,79499.0,79531.0,79557.0,79616.0,79667.0,79692.0,79741.0,79768.0,79798.0,79833.0,79872.0,79900.0,79936.0,79960.0,79988.0,80001.0,80030.0,80056.0,80087.0,80123.0,80161.0,80208.0,80243.0,80309.0,80353.0
5006423,28800.0,28842.0,28876.0,28921.0,28980.0,29014.0,29071.0,29105.0,29146.0,29195.0,29229.0,29262.0,29301.0,29356.0,29422.0,29474.0,29548.0,29632.0,29678.0,29761.0,29986.0,30194.0,30285.0,30374.0,30432.0,30498.0,30558.0,30605.0,30675.0,30741.0,30783.0,30816.0,30861.0,30881.0,30929.0,30959.0,30986.0,31030.0,31067.0,31126.0,31176.0,31199.0,31243.0,31279.0,31309.0,31344.0,31383.0,31423.0,31474.0,31498.0,31526.0,31539.0,31569.0,31597.0,31629.0,31667.0,31707.0,31757.0,31794.0,31863.0,31909.0
5006425,36000.0,36048.0,36087.0,36138.0,36205.0,36245.0,36318.0,36362.0,36415.0,36482.0,36529.0,36575.0,36628.0,36696.0,36776.0,36829.0,36905.0,37009.0,37065.0,37194.0,37422.0,37662.0,37767.0,37859.0,37919.0,37972.0,38020.0,38060.0,38122.0,38181.0,38218.0,38247.0,38312.0,38341.0,38396.0,38431.0,38462.0,38513.0,38555.0,38627.0,38688.0,38723.0,38792.0,38822.0,38859.0,38901.0,38947.0,38986.0,39037.0,39067.0,39102.0,39118.0,39148.0,39176.0,39208.0,39246.0,39286.0,39336.0,39373.0,39442.0,39488.0
5006427,61200.0,61237.0,61267.0,61306.0,61358.0,61389.0,61438.0,61468.0,61504.0,61551.0,61584.0,61616.0,61654.0,61700.0,61754.0,61798.0,61861.0,61938.0,61980.0,62080.0,62310.0,62571.0,62686.0,62773.0,62830.0,62884.0,62934.0,62978.0,63051.0,63120.0,63164.0,63199.0,63270.0,63301.0,63350.0,63381.0,63408.0,63459.0,63502.0,63562.0,63613.0,63644.0,63704.0,63743.0,63780.0,63823.0,63871.0,63893.0,63922.0,63953.0,63990.0,64007.0,64037.0,64064.0,64096.0,64134.0,64174.0,64223.0,64260.0,64329.0,64375.0
5012139,82800.0,82838.0,82869.0,82909.0,82962.0,82994.0,83040.0,83068.0,83101.0,83140.0,83167.0,83194.0,83226.0,83275.0,83334.0,83372.0,83427.0,83494.0,83531.0,83632.0,83909.0,84139.0,84240.0,84307.0,84351.0,84397.0,84439.0,84481.0,84536.0,84588.0,84621.0,84646.0,84704.0,84729.0,84769.0,84794.0,84817.0,84853.0,84883.0,84934.0,84978.0,85008.0,85066.0,85098.0,85127.0,85160.0,85197.0,85229.0,85271.0,85295.0,85324.0,85337.0,85367.0,85394.0,85426.0,85463.0,85502.0,85550.0,85586.0,85654.0,85699.0
5012644,31500.0,31558.0,31606.0,31668.0,31750.0,31799.0,31877.0,31924.0,31981.0,32067.0,32127.0,32186.0,32255.0,32338.0,32436.0,32509.0,32613.0,32715.0,32771.0,32896.0,33154.0,33591.0,33782.0,33898.0,33973.0,34040.0,34101.0,34146.0,34223.0,34296.0,34342.0,34377.0,34446.0,34476.0,34527.0,34559.0,34588.0,34649.0,34700.0,34763.0,34817.0,34842.0,34891.0,34919.0,34956.0,34998.0,35046.0,35074.0,35110.0,35131.0,35156.0,35168.0,35198.0,35225.0,35257.0,35295.0,35334.0,35383.0,35419.0,35488.0,35534.0
