tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P
5014965,82020.0,82097.0,82182.0,82287.0,82372.0,82390.0,82561.0,82631.0,82726.0,82792.0,82857.0,82924.0,83025.0,83045.0,83286.0,83305.0,83318.0,83441.0,83484.0,83534.0,83576.0,83624.0,83674.0,83730.0,83769.0,83811.0,83847.0,83902.0,83964.0,83988.0,84004.0,84107.0,84165.0,84206.0,84285.0,84397.0,84472.0,84516.0,84549.0,84602.0
5015879,61020.0,61147.0,61288.0,61458.0,61595.0,61625.0,61901.0,62005.0,62146.0,62229.0,62332.0,62440.0,62593.0,62631.0,62955.0,62980.0,62999.0,63150.0,63205.0,63264.0,63309.0,63370.0,63435.0,63524.0,63586.0,63652.0,63691.0,63751.0,63819.0,63847.0,63866.0,63988.0,64058.0,64100.0,64180.0,64300.0,64381.0,64429.0,64464.0,64522.0
5015881,69720.0,69797.0,69883.0,70019.0,70129.0,70153.0,70375.0,70449.0,70550.0,70628.0,70712.0,70800.0,70925.0,70964.0,71258.0,71281.0,71297.0,71441.0,71491.0,71545.0,71587.0,71639.0,71694.0,71777.0,71835.0,71897.0,71934.0,71991.0,72056.0,72080.0,72096.0,72200.0,72260.0,72300.0,72376.0,72489.0,72565.0,72610.0,72643.0,72697.0
5015883,78420.0,78491.0,78569.0,78690.0,78788.0,78809.0,79007.0,79074.0,79165.0,79233.0,79307.0,79384.0,79492.0,79525.0,79800.0,79821.0,79836.0,79949.0,79990.0,80036.0,80077.0,80127.0,80174.0,80248.0,80299.0,80353.0,80391.0,80450.0,80517.0,80539.0,80553.0,80646.0,80699.0,80739.0,80815.0,80919.0,80989.0,81031.0,81062.0,81111.0
5017700,36120.0,36228.0,36348.0,36463.0,36556.0,36576.0,36762.0,36834.0,36931.0,36994.0,37064.0,37137.0,37284.0,37315.0,37585.0,37606.0,37621.0,37725.0,37766.0,37814.0,37846.0,37891.0,37926.0,37992.0,38038.0,38086.0,38119.0,38169.0,38226.0,38246.0,38259.0,38343.0,38391.0,38429.0,38500.0,38602.0,38670.0,38711.0,38741.0,38789.0
5017702,65220.0,65347.0,65488.0,65658.0,65795.0,65825.0,66101.0,66205.0,66346.0,66429.0,66532.0,66640.0,66793.0,66831.0,67155.0,67180.0,67199.0,67350.0,67405.0,67464.0,67509.0,67570.0,67635.0,67724.0,67786.0,67852.0,67891.0,67951.0,68019.0,68047.0,68066.0,68188.0,68258.0,68300.0,68380.0,68500.0,68581.0,68629.0,68664.0,68722.0
5017777,41520.0,41628.0,41748.0,41863.0,41956.0,41976.0,42162.0,42234.0,42331.0,42394.0,42464.0,42537.0,42684.0,42715.0,42985.0,43006.0,43021.0,43125.0,43166.0,43214.0,43246.0,43291.0,43326.0,43392.0,43438.0,43486.0,43519.0,43569.0,43626.0,43646.0,43659.0,43743.0,43791.0,43829.0,43900.0,44002.0,44070.0,44111.0,44141.0,44189.0
5017900,46920.0,47033.0,47159.0,47297.0,47409.0,47433.0,47659.0,47753.0,47881.0,47973.0,48060.0,48150.0,48274.0,48311.0,48625.0,48649.0,48667.0,48801.0,48848.0,48897.0,48936.0,49001.0,49057.0,49146.0,49208.0,49273.0,49311.0,49369.0,49435.0,49462.0,49480.0,49598.0,49665.0,49703.0,49776.0,49891.0,49969.0,50015.0,50049.0,50104.0
5017942,61620.0,61747.0,61888.0,62058.0,62195.0,62225.0,62501.0,62605.0,62746.0,62829.0,62932.0,63040.0,63193.0,63231.0,63555.0,63580.0,63599.0,63750.0,63805.0,63864.0,63909.0,63970.0,64035.0,64124.0,64186.0,64252.0,64291.0,64351.0,64419.0,64447.0,64466.0,64588.0,64658.0,64700.0,64780.0,64900.0,64981.0,65029.0,65064.0,65122.0
5018341,52320.0,52433.0,52559.0,52697.0,52809.0,52833.0,53059.0,53153.0,53281.0,53373.0,53460.0,53550.0,53674.0,53711.0,54025.0,54049.0,54067.0,54201.0,54248.0,54297.0,54336.0,54401.0,54457.0,54546.0,54608.0,54673.0,54711.0,54769.0,54835.0,54862.0,54880.0,54998.0,55065.0,55103.0,55176.0,55291.0,55369.0,55415.0,55449.0,55504.0
