tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P
5096067,37200.0,37312.0,37437.0,37531.0,37607.0,37624.0,37777.0,37843.0,37932.0,38016.0,38211.0,38304.0,38342.0,38376.0,38424.0,38449.0,38480.0,38502.0,38543.0,38579.0,38624.0,38671.0,38696.0,38821.0,38853.0,38875.0,38975.0,39010.0,39045.0,39069.0,39126.0,39163.0,39201.0,39228.0,39253.0,39298.0,39337.0,39363.0,39407.0,39436.0,39460.0,39499.0
5096069,44400.0,44502.0,44615.0,44723.0,44811.0,44830.0,45007.0,45087.0,45195.0,45283.0,45480.0,45544.0,45578.0,45608.0,45650.0,45675.0,45707.0,45729.0,45770.0,45810.0,45861.0,45915.0,45943.0,46090.0,46127.0,46154.0,46265.0,46307.0,46351.0,46383.0,46449.0,46492.0,46529.0,46575.0,46617.0,46690.0,46754.0,46796.0,46882.0,46921.0,46953.0,47076.0
5096071,51600.0,51702.0,51815.0,51923.0,52011.0,52030.0,52207.0,52287.0,52395.0,52483.0,52680.0,52744.0,52778.0,52808.0,52850.0,52875.0,52907.0,52929.0,52970.0,53010.0,53061.0,53115.0,53143.0,53290.0,53327.0,53354.0,53465.0,53507.0,53551.0,53583.0,53649.0,53692.0,53729.0,53775.0,53817.0,53890.0,53954.0,53996.0,54082.0,54121.0,54153.0,54276.0
5096073,58800.0,58913.0,59038.0,59191.0,59315.0,59342.0,59592.0,59691.0,59825.0,59914.0,60114.0,60179.0,60227.0,60270.0,60330.0,60355.0,60389.0,60411.0,60452.0,60493.0,60544.0,60598.0,60627.0,60792.0,60834.0,60863.0,60977.0,61019.0,61068.0,61102.0,61193.0,61252.0,61300.0,61385.0,61463.0,61582.0,61686.0,61755.0,61818.0,61879.0,61930.0,62049.0
5096075,66600.0,66713.0,66838.0,66991.0,67115.0,67142.0,67392.0,67491.0,67625.0,67714.0,67914.0,67979.0,68027.0,68070.0,68130.0,68155.0,68189.0,68211.0,68252.0,68293.0,68344.0,68398.0,68427.0,68592.0,68634.0,68663.0,68777.0,68819.0,68868.0,68902.0,68993.0,69052.0,69100.0,69185.0,69263.0,69382.0,69486.0,69555.0,69618.0,69679.0,69730.0,69849.0
5096077,73800.0,73881.0,73972.0,74066.0,74142.0,74159.0,74313.0,74384.0,74480.0,74544.0,74767.0,74812.0,74846.0,74876.0,74918.0,74945.0,74978.0,74999.0,75036.0,75074.0,75123.0,75174.0,75201.0,75345.0,75382.0,75408.0,75511.0,75550.0,75595.0,75628.0,75700.0,75746.0,75777.0,75807.0,75835.0,75881.0,75922.0,75949.0,76007.0,76046.0,76078.0,76150.0
5096079,81000.0,81072.0,81152.0,81246.0,81322.0,81339.0,81493.0,81561.0,81653.0,81707.0,81882.0,81920.0,81945.0,81967.0,81997.0,82022.0,82053.0,82072.0,82107.0,82138.0,82177.0,82219.0,82241.0,82360.0,82390.0,82412.0,82501.0,82533.0,82573.0,82605.0,82663.0,82700.0,82731.0,82758.0,82782.0,82819.0,82851.0,82872.0,82932.0,82974.0,83008.0,83079.0
5109431,30000.0,30140.0,30296.0,30421.0,30522.0,30544.0,30748.0,30813.0,30902.0,30965.0,31142.0,31185.0,31225.0,31260.0,31309.0,31336.0,31367.0,31389.0,31428.0,31466.0,31514.0,31565.0,31592.0,31698.0,31725.0,31744.0,31854.0,31896.0,31943.0,31972.0,32093.0,32171.0,32269.0,32308.0,32343.0,32470.0,32582.0,32655.0,32779.0,32808.0,32832.0,32898.0
5109433,37200.0,37312.0,37437.0,37531.0,37607.0,37624.0,37777.0,37843.0,37932.0,38016.0,38211.0,38304.0,38342.0,38376.0,38424.0,38449.0,38480.0,38502.0,38543.0,38579.0,38624.0,38671.0,38696.0,38821.0,38853.0,38875.0,38975.0,39010.0,39045.0,39069.0,39126.0,39163.0,39201.0,39228.0,39253.0,39298.0,39337.0,39363.0,39407.0,39436.0,39460.0,39499.0
5109435,44400.0,44502.0,44615.0,44723.0,44811.0,44830.0,45007.0,45087.0,45195.0,45283.0,45480.0,45544.0,45578.0,45608.0,45650.0,45675.0,45707.0,45729.0,45770.0,45810.0,45861.0,45915.0,45943.0,46090.0,46127.0,46154.0,46265.0,46307.0,46351.0,46383.0,46449.0,46492.0,46529.0,46575.0,46617.0,46690.0,46754.0,46796.0,46882.0,46921.0,46953.0,47076.0
5109437,51600.0,51702.0,51815.0,51923.0,52011.0,52030.0,52207.0,52287.0,52395.0,52483.0,52680.0,52744.0,52778.0,52808.0,52850.0,52875.0,52907.0,52929.0,52970.0,53010.0,53061.0,53115.0,53143.0,53290.0,53327.0,53354.0,53465.0,53507.0,53551.0,53583.0,53649.0,53692.0,53729.0,53775.0,53817.0,53890.0,53954.0,53996.0,54082.0,54121.0,54153.0,54276.0
5109439,58800.0,58913.0,59038.0,59191.0,59315.0,59342.0,59592.0,59691.0,59825.0,59914.0,60114.0,60179.0,60227.0,60270.0,60330.0,60355.0,60389.0,60411.0,60452.0,60493.0,60544.0,60598.0,60627.0,60792.0,60834.0,60863.0,60977.0,61019.0,61068.0,61102.0,61193.0,61252.0,61300.0,61385.0,61463.0,61582.0,61686.0,61755.0,61818.0,61879.0,61930.0,62049.0
5109441,66600.0,66713.0,66838.0,66991.0,67115.0,67142.0,67392.0,67491.0,67625.0,67714.0,67914.0,67979.0,68027.0,68070.0,68130.0,68155.0,68189.0,68211.0,68252.0,68293.0,68344.0,68398.0,68427.0,68592.0,68634.0,68663.0,68777.0,68819.0,68868.0,68902.0,68993.0,69052.0,69100.0,69185.0,69263.0,69382.0,69486.0,69555.0,69618.0,69679.0,69730.0,69849.0
5109443,73800.0,73881.0,73972.0,74066.0,74142.0,74159.0,74313.0,74384.0,74480.0,74544.0,74767.0,74812.0,74846.0,74876.0,74918.0,74945.0,74978.0,74999.0,75036.0,75074.0,75123.0,75174.0,75201.0,75345.0,75382.0,75408.0,75511.0,75550.0,75595.0,75628.0,75700.0,75746.0,75777.0,75807.0,75835.0,75881.0,75922.0,75949.0,76007.0,76046.0,76078.0,76150.0
5109445,81000.0,81072.0,81152.0,81246.0,81322.0,81339.0,81493.0,81561.0,81653.0,81707.0,81882.0,81920.0,81945.0,81967.0,81997.0,82022.0,82053.0,82072.0,82107.0,82138.0,82177.0,82219.0,82241.0,82360.0,82390.0,82412.0,82501.0,82533.0,82573.0,82605.0,82663.0,82700.0,82731.0,82758.0,82782.0,82819.0,82851.0,82872.0,82932.0,82974.0,83008.0,83079.0
5116895,33600.0,33740.0,33896.0,34021.0,34122.0,34144.0,34348.0,34413.0,34502.0,34565.0,34742.0,34785.0,34825.0,34860.0,34909.0,34936.0,34967.0,34989.0,35028.0,35066.0,35114.0,35165.0,35192.0,35298.0,35325.0,35344.0,35454.0,35496.0,35543.0,35572.0,35693.0,35771.0,35869.0,35908.0,35943.0,36070.0,36182.0,36255.0,36379.0,36408.0,36432.0,36498.0
5116897,40800.0,40912.0,41037.0,41131.0,41207.0,41224.0,41377.0,41443.0,41532.0,41616.0,41811.0,41904.0,41942.0,41976.0,42024.0,42049.0,42080.0,42102.0,42143.0,42179.0,42224.0,42271.0,42296.0,42421.0,42453.0,42475.0,42575.0,42610.0,42645.0,42669.0,42726.0,42763.0,42801.0,42828.0,42853.0,42898.0,42937.0,42963.0,43007.0,43036.0,43060.0,43099.0
5116899,48000.0,48102.0,48215.0,48323.0,48411.0,48430.0,48607.0,48687.0,48795.0,48883.0,49080.0,49144.0,49178.0,49208.0,49250.0,49275.0,49307.0,49329.0,49370.0,49410.0,49461.0,49515.0,49543.0,49690.0,49727.0,49754.0,49865.0,49907.0,49951.0,49983.0,50049.0,50092.0,50129.0,50175.0,50217.0,50290.0,50354.0,50396.0,50482.0,50521.0,50553.0,50676.0
5116901,55200.0,55313.0,55438.0,55591.0,55715.0,55742.0,55992.0,56091.0,56225.0,56314.0,56514.0,56579.0,56627.0,56670.0,56730.0,56755.0,56789.0,56811.0,56852.0,56893.0,56944.0,56998.0,57027.0,57192.0,57234.0,57263.0,57377.0,57419.0,57468.0,57502.0,57593.0,57652.0,57700.0,57785.0,57863.0,57982.0,58086.0,58155.0,58218.0,58279.0,58330.0,58449.0
