tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P
5086997,66600.0,66656.0,66687.0,66731.0,66767.0,66833.0,66995.0,67094.0,67223.0,67314.0,67376.0,67410.0,67439.0,67498.0,67565.0,67625.0,67669.0,67708.0,67757.0,67797.0,67830.0,67898.0,67914.0,67987.0,68022.0,68041.0,68079.0,68142.0,68172.0,68188.0,68228.0,68261.0,68278.0,68332.0,68354.0,68378.0,68403.0,68542.0,68569.0,68604.0,68632.0,68701.0,68746.0,68771.0,68790.0,68879.0,68897.0,68923.0,68968.0,69023.0,69053.0,69074.0,69125.0,69170.0,69240.0
5087685,75600.0,75652.0,75681.0,75712.0,75737.0,75782.0,75985.0,76078.0,76200.0,76294.0,76337.0,76360.0,76377.0,76412.0,76456.0,76490.0,76523.0,76552.0,76589.0,76620.0,76633.0,76684.0,76696.0,76751.0,76777.0,76792.0,76821.0,76868.0,76899.0,76915.0,76956.0,76990.0,77007.0,77055.0,77075.0,77096.0,77118.0,77239.0,77264.0,77297.0,77323.0,77387.0,77444.0,77478.0,77504.0,77608.0,77626.0,77652.0,77697.0,77759.0,77781.0,77797.0,77855.0,77906.0,77985.0
5087687,84600.0,84652.0,84681.0,84712.0,84737.0,84782.0,84985.0,85078.0,85200.0,85294.0,85337.0,85360.0,85377.0,85412.0,85456.0,85490.0,85523.0,85552.0,85589.0,85620.0,85633.0,85684.0,85696.0,85751.0,85777.0,85792.0,85821.0,85868.0,85899.0,85915.0,85956.0,85990.0,86007.0,86055.0,86075.0,86096.0,86118.0,86239.0,86264.0,86297.0,86323.0,86387.0,86444.0,86478.0,86504.0,86608.0,86626.0,86652.0,86697.0,86759.0,86781.0,86797.0,86855.0,86906.0,86985.0
5091762,35100.0,35139.0,35161.0,35203.0,35238.0,35300.0,35465.0,35537.0,35632.0,35720.0,35761.0,35783.0,35794.0,35816.0,35859.0,35883.0,35926.0,35964.0,36010.0,36047.0,36077.0,36138.0,36153.0,36218.0,36246.0,36261.0,36291.0,36341.0,36366.0,36379.0,36412.0,36439.0,36453.0,36522.0,36550.0,36580.0,36612.0,36789.0,36813.0,36845.0,36871.0,36934.0,36973.0,36995.0,37012.0,37096.0,37110.0,37138.0,37184.0,37252.0,37278.0,37297.0,37344.0,37386.0,37451.0
5091764,44100.0,44156.0,44187.0,44231.0,44267.0,44333.0,44495.0,44594.0,44723.0,44814.0,44876.0,44910.0,44939.0,44998.0,45065.0,45125.0,45169.0,45208.0,45257.0,45297.0,45330.0,45398.0,45414.0,45487.0,45522.0,45541.0,45579.0,45642.0,45672.0,45688.0,45728.0,45761.0,45778.0,45832.0,45854.0,45878.0,45903.0,46042.0,46069.0,46104.0,46132.0,46201.0,46246.0,46271.0,46290.0,46379.0,46397.0,46423.0,46468.0,46523.0,46553.0,46574.0,46625.0,46670.0,46740.0
5091766,53100.0,53156.0,53187.0,53231.0,53267.0,53333.0,53495.0,53594.0,53723.0,53814.0,53876.0,53910.0,53939.0,53998.0,54065.0,54125.0,54169.0,54208.0,54257.0,54297.0,54330.0,54398.0,54414.0,54487.0,54522.0,54541.0,54579.0,54642.0,54672.0,54688.0,54728.0,54761.0,54778.0,54832.0,54854.0,54878.0,54903.0,55042.0,55069.0,55104.0,55132.0,55201.0,55246.0,55271.0,55290.0,55379.0,55397.0,55423.0,55468.0,55523.0,55553.0,55574.0,55625.0,55670.0,55740.0
5091768,62100.0,62156.0,62187.0,62231.0,62267.0,62333.0,62495.0,62594.0,62723.0,62814.0,62876.0,62910.0,62939.0,62998.0,63065.0,63125.0,63169.0,63208.0,63257.0,63297.0,63330.0,63398.0,63414.0,63487.0,63522.0,63541.0,63579.0,63642.0,63672.0,63688.0,63728.0,63761.0,63778.0,63832.0,63854.0,63878.0,63903.0,64042.0,64069.0,64104.0,64132.0,64201.0,64246.0,64271.0,64290.0,64379.0,64397.0,64423.0,64468.0,64523.0,64553.0,64574.0,64625.0,64670.0,64740.0
5091772,80100.0,80152.0,80181.0,80212.0,80237.0,80282.0,80485.0,80578.0,80700.0,80794.0,80837.0,80860.0,80877.0,80912.0,80956.0,80990.0,81023.0,81052.0,81089.0,81120.0,81133.0,81184.0,81196.0,81251.0,81277.0,81292.0,81321.0,81368.0,81399.0,81415.0,81456.0,81490.0,81507.0,81555.0,81575.0,81596.0,81618.0,81739.0,81764.0,81797.0,81823.0,81887.0,81944.0,81978.0,82004.0,82108.0,82126.0,82152.0,82197.0,82259.0,82281.0,82297.0,82355.0,82406.0,82485.0
5095683,26400.0,26453.0,26482.0,26518.0,26547.0,26600.0,26755.0,26814.0,26892.0,27020.0,27077.0,27109.0,27130.0,27172.0,27224.0,27277.0,27324.0,27366.0,27412.0,27450.0,27480.0,27547.0,27563.0,27634.0,27670.0,27690.0,27730.0,27796.0,27833.0,27852.0,27902.0,27943.0,27964.0,28050.0,28085.0,28123.0,28163.0,28381.0,28403.0,28432.0,28455.0,28511.0,28575.0,28606.0,28629.0,28736.0,28751.0,28774.0,28813.0,28871.0,28894.0,28911.0,28964.0,29011.0,29084.0
5095685,35100.0,35173.0,35214.0,35262.0,35301.0,35372.0,35646.0,35754.0,35896.0,36019.0,36103.0,36149.0,36174.0,36224.0,36302.0,36369.0,36415.0,36457.0,36520.0,36571.0,36607.0,36690.0,36710.0,36799.0,36836.0,36857.0,36898.0,36964.0,37001.0,37020.0,37070.0,37111.0,37132.0,37199.0,37227.0,37256.0,37287.0,37458.0,37485.0,37521.0,37550.0,37619.0,37677.0,37709.0,37734.0,37826.0,37845.0,37873.0,37921.0,37991.0,38020.0,38041.0,38097.0,38147.0,38224.0
5095687,44100.0,44173.0,44214.0,44262.0,44301.0,44372.0,44646.0,44754.0,44896.0,45019.0,45103.0,45149.0,45174.0,45224.0,45302.0,45369.0,45415.0,45457.0,45520.0,45571.0,45607.0,45690.0,45710.0,45799.0,45836.0,45857.0,45898.0,45964.0,46001.0,46020.0,46070.0,46111.0,46132.0,46199.0,46227.0,46256.0,46287.0,46458.0,46485.0,46521.0,46550.0,46619.0,46677.0,46709.0,46734.0,46826.0,46845.0,46873.0,46921.0,46991.0,47020.0,47041.0,47097.0,47147.0,47224.0
