tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P
5009726,64800.0,64828.0,64851.0,64873.0,64888.0,64910.0,64935.0,64978.0,65010.0,65087.0,65134.0,65187.0,65212.0,65235.0,65273.0,65321.0,65351.0,65454.0,65510.0,65583.0,65604.0,65650.0,65680.0,65752.0,65803.0,65836.0,65867.0,65893.0,65910.0,65944.0,65997.0,66043.0,66082.0,66106.0,66130.0,66157.0,66194.0,66222.0,66294.0,66359.0,66397.0,66447.0,66483.0,66545.0,66586.0,66632.0,66727.0,66792.0,66845.0,66884.0,66922.0,66963.0,66985.0,67145.0,67240.0
5009728,71400.0,71426.0,71447.0,71467.0,71481.0,71501.0,71523.0,71562.0,71587.0,71647.0,71684.0,71726.0,71755.0,71781.0,71821.0,71867.0,71897.0,71980.0,72016.0,72063.0,72079.0,72115.0,72136.0,72189.0,72230.0,72256.0,72281.0,72302.0,72315.0,72340.0,72379.0,72413.0,72440.0,72464.0,72488.0,72515.0,72539.0,72557.0,72610.0,72658.0,72686.0,72731.0,72763.0,72817.0,72854.0,72896.0,72982.0,73028.0,73066.0,73102.0,73137.0,73179.0,73202.0,73335.0,73414.0
5009730,77700.0,77723.0,77742.0,77760.0,77773.0,77791.0,77811.0,77846.0,77869.0,77926.0,77961.0,78001.0,78029.0,78054.0,78093.0,78139.0,78168.0,78222.0,78258.0,78304.0,78319.0,78353.0,78371.0,78415.0,78449.0,78471.0,78494.0,78513.0,78526.0,78547.0,78579.0,78607.0,78629.0,78647.0,78665.0,78687.0,78709.0,78725.0,78760.0,78801.0,78825.0,78858.0,78882.0,78925.0,78954.0,78985.0,79050.0,79091.0,79125.0,79156.0,79186.0,79224.0,79245.0,79342.0,79399.0
5009732,83700.0,83723.0,83742.0,83760.0,83773.0,83791.0,83811.0,83846.0,83869.0,83926.0,83961.0,84001.0,84029.0,84054.0,84093.0,84139.0,84168.0,84222.0,84258.0,84304.0,84319.0,84353.0,84371.0,84415.0,84449.0,84471.0,84494.0,84513.0,84526.0,84547.0,84579.0,84607.0,84629.0,84647.0,84665.0,84687.0,84709.0,84725.0,84760.0,84801.0,84825.0,84858.0,84882.0,84925.0,84954.0,84985.0,85050.0,85091.0,85125.0,85156.0,85186.0,85224.0,85245.0,85342.0,85399.0
5009977,28200.0,28225.0,28246.0,28266.0,28280.0,28300.0,28322.0,28361.0,28383.0,28436.0,28469.0,28505.0,28530.0,28553.0,28585.0,28625.0,28651.0,28703.0,28739.0,28787.0,28804.0,28840.0,28871.0,28946.0,29008.0,29048.0,29083.0,29113.0,29132.0,29179.0,29252.0,29315.0,29367.0,29383.0,29399.0,29417.0,29441.0,29459.0,29523.0,29559.0,29580.0,29602.0,29618.0,29651.0,29674.0,29712.0,29790.0,29836.0,29875.0,29908.0,29941.0,29993.0,30020.0,30143.0,30217.0
5009979,35400.0,35430.0,35454.0,35478.0,35494.0,35518.0,35544.0,35591.0,35625.0,35707.0,35758.0,35814.0,35842.0,35867.0,35907.0,35950.0,35977.0,36074.0,36126.0,36193.0,36218.0,36271.0,36317.0,36429.0,36478.0,36510.0,36553.0,36589.0,36611.0,36654.0,36720.0,36777.0,36824.0,36865.0,36906.0,36955.0,36993.0,37022.0,37080.0,37129.0,37158.0,37205.0,37238.0,37297.0,37337.0,37389.0,37496.0,37527.0,37553.0,37597.0,37640.0,37693.0,37722.0,37867.0,37954.0
5009981,42600.0,42630.0,42654.0,42677.0,42693.0,42716.0,42742.0,42789.0,42824.0,42909.0,42962.0,43021.0,43055.0,43086.0,43135.0,43200.0,43241.0,43410.0,43458.0,43520.0,43542.0,43591.0,43628.0,43717.0,43781.0,43822.0,43860.0,43892.0,43912.0,43950.0,44009.0,44061.0,44104.0,44136.0,44168.0,44206.0,44237.0,44261.0,44329.0,44387.0,44421.0,44468.0,44502.0,44553.0,44588.0,44640.0,44747.0,44786.0,44819.0,44866.0,44913.0,44975.0,45008.0,45156.0,45244.0
5009983,56400.0,56430.0,56454.0,56477.0,56493.0,56516.0,56542.0,56590.0,56674.0,56877.0,57003.0,57144.0,57178.0,57210.0,57251.0,57300.0,57332.0,57398.0,57450.0,57519.0,57541.0,57588.0,57614.0,57676.0,57727.0,57759.0,57783.0,57803.0,57815.0,57855.0,57917.0,57970.0,58014.0,58038.0,58062.0,58091.0,58119.0,58140.0,58229.0,58285.0,58318.0,58366.0,58401.0,58454.0,58489.0,58531.0,58617.0,58665.0,58705.0,58739.0,58772.0,58832.0,58864.0,58997.0,59077.0
5009985,63000.0,63025.0,63045.0,63064.0,63078.0,63097.0,63119.0,63158.0,63244.0,63453.0,63582.0,63728.0,63758.0,63785.0,63821.0,63862.0,63888.0,64013.0,64053.0,64106.0,64130.0,64183.0,64217.0,64301.0,64347.0,64376.0,64406.0,64431.0,64447.0,64483.0,64538.0,64586.0,64625.0,64651.0,64677.0,64707.0,64743.0,64771.0,64804.0,64885.0,64933.0,64973.0,65001.0,65049.0,65082.0,65115.0,65183.0,65228.0,65265.0,65307.0,65349.0,65403.0,65432.0,65545.0,65613.0
5010265,67500.0,67527.0,67549.0,67570.0,67585.0,67606.0,67630.0,67670.0,67703.0,67784.0,67834.0,67891.0,67925.0,67957.0,67997.0,68042.0,68070.0,68149.0,68187.0,68237.0,68259.0,68306.0,68332.0,68397.0,68452.0,68487.0,68515.0,68538.0,68553.0,68581.0,68624.0,68662.0,68693.0,68717.0,68741.0,68768.0,68791.0,68809.0,68850.0,68894.0,68920.0,68957.0,68983.0,69033.0,69067.0,69109.0,69197.0,69230.0,69257.0,69294.0,69330.0,69374.0,69398.0,69520.0,69593.0
5010267,75000.0,75026.0,75047.0,75067.0,75081.0,75101.0,75123.0,75162.0,75221.0,75365.0,75454.0,75554.0,75581.0,75606.0,75644.0,75705.0,75744.0,75810.0,75852.0,75907.0,75930.0,75979.0,76003.0,76061.0,76101.0,76127.0,76156.0,76180.0,76195.0,76221.0,76261.0,76296.0,76324.0,76348.0,76372.0,76399.0,76424.0,76443.0,76483.0,76529.0,76556.0,76595.0,76623.0,76681.0,76720.0,76757.0,76833.0,76870.0,76900.0,76927.0,76953.0,76993.0,77015.0,77110.0,77167.0
5010501,24600.0,24626.0,24647.0,24667.0,24681.0,24701.0,24724.0,24763.0,24782.0,24829.0,24858.0,24891.0,24913.0,24934.0,24964.0,24998.0,25020.0,25062.0,25091.0,25128.0,25152.0,25203.0,25236.0,25316.0,25364.0,25394.0,25426.0,25453.0,25470.0,25493.0,25529.0,25560.0,25587.0,25607.0,25627.0,25649.0,25667.0,25680.0,25704.0,25735.0,25754.0,25780.0,25798.0,25850.0,25885.0,25920.0,25994.0,26046.0,26089.0,26119.0,26148.0,26193.0,26217.0,26334.0,26404.0
