tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P
5018781,72600.0,72638.0,72681.0,72712.0,72741.0,72796.0,72839.0,72872.0,72918.0,73035.0,73105.0,73195.0,73215.0,73256.0,73289.0,73318.0,73365.0,73424.0,73479.0,73514.0,73553.0,73633.0,73732.0,73789.0,73930.0,74036.0,74123.0,74228.0,74320.0,74411.0,74569.0
5018795,24600.0,24640.0,24685.0,24716.0,24746.0,24802.0,24846.0,24880.0,24927.0,25060.0,25120.0,25196.0,25217.0,25259.0,25293.0,25324.0,25375.0,25439.0,25499.0,25537.0,25580.0,25662.0,25741.0,25787.0,25966.0,26071.0,26193.0,26341.0,26438.0,26533.0,26698.0
5018797,29400.0,29446.0,29498.0,29535.0,29571.0,29637.0,29688.0,29728.0,29784.0,29953.0,30050.0,30174.0,30204.0,30264.0,30312.0,30354.0,30407.0,30473.0,30535.0,30574.0,30618.0,30704.0,30797.0,30852.0,31056.0,31202.0,31434.0,31715.0,31815.0,31914.0,32085.0
5018799,38700.0,38741.0,38787.0,38820.0,38851.0,38909.0,38954.0,38989.0,39038.0,39184.0,39281.0,39405.0,39427.0,39471.0,39507.0,39539.0,39592.0,39659.0,39722.0,39762.0,39806.0,39873.0,39954.0,40001.0,40162.0,40260.0,40374.0,40512.0,40609.0,40705.0,40870.0
5018801,44700.0,44742.0,44789.0,44822.0,44854.0,44914.0,44960.0,44996.0,45045.0,45223.0,45324.0,45452.0,45477.0,45528.0,45569.0,45605.0,45656.0,45720.0,45780.0,45818.0,45860.0,45934.0,46024.0,46077.0,46223.0,46336.0,46439.0,46563.0,46661.0,46758.0,46926.0
5018805,57300.0,57337.0,57379.0,57408.0,57436.0,57489.0,57530.0,57562.0,57606.0,57764.0,57858.0,57978.0,58002.0,58050.0,58089.0,58123.0,58172.0,58233.0,58291.0,58327.0,58368.0,58443.0,58531.0,58583.0,58754.0,58921.0,59028.0,59158.0,59256.0,59352.0,59518.0
5018812,82200.0,82235.0,82275.0,82303.0,82330.0,82380.0,82419.0,82449.0,82490.0,82569.0,82624.0,82694.0,82710.0,82741.0,82766.0,82788.0,82826.0,82874.0,82919.0,82947.0,82978.0,83031.0,83090.0,83124.0,83245.0,83320.0,83382.0,83457.0,83543.0,83627.0,83773.0
5018816,31500.0,31546.0,31598.0,31635.0,31671.0,31737.0,31788.0,31828.0,31884.0,32053.0,32150.0,32274.0,32304.0,32364.0,32412.0,32454.0,32507.0,32573.0,32635.0,32674.0,32718.0,32804.0,32897.0,32952.0,33156.0,33302.0,33534.0,33815.0,33915.0,34014.0,34185.0
5018825,66600.0,66637.0,66679.0,66708.0,66736.0,66789.0,66830.0,66862.0,66906.0,67064.0,67158.0,67278.0,67302.0,67350.0,67389.0,67423.0,67472.0,67533.0,67591.0,67627.0,67668.0,67743.0,67831.0,67883.0,68054.0,68221.0,68328.0,68458.0,68556.0,68652.0,68818.0
5018828,79200.0,79235.0,79275.0,79303.0,79330.0,79380.0,79419.0,79449.0,79490.0,79569.0,79624.0,79694.0,79710.0,79741.0,79766.0,79788.0,79826.0,79874.0,79919.0,79947.0,79978.0,80031.0,80090.0,80124.0,80245.0,80320.0,80382.0,80457.0,80543.0,80627.0,80773.0
