tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P
5006648,57480.0,57548.0,57600.0,57674.0,57767.0,57875.0,57954.0,58058.0,58161.0,58204.0,58305.0,58356.0,58423.0,58501.0,58578.0,58619.0,58663.0,58778.0,58838.0,58887.0,58995.0,59092.0,59159.0,59243.0,59292.0,59329.0,59462.0,59515.0,59607.0,59632.0,59721.0,59768.0,59905.0,59948.0,60009.0,60038.0,60062.0,60126.0,60148.0,60234.0,60266.0,60324.0,60394.0,60528.0,60600.0,60753.0,60798.0,60825.0,60847.0,60907.0,60950.0,60972.0,61011.0,61035.0,61047.0,61062.0,61089.0,61107.0,61130.0,61168.0
5007642,58200.0,58264.0,58313.0,58383.0,58473.0,58566.0,58635.0,58699.0,58751.0,58773.0,58824.0,58857.0,58900.0,58952.0,59012.0,59044.0,59085.0,59191.0,59253.0,59305.0,59400.0,59479.0,59535.0,59604.0,59643.0,59676.0,59770.0,59807.0,59872.0,59893.0,59969.0,60004.0,60094.0,60132.0,60186.0,60212.0,60233.0,60290.0,60309.0,60384.0,60412.0,60462.0,60531.0,60663.0,60734.0,60887.0,60927.0,60954.0,60976.0,61036.0,61079.0,61101.0,61140.0,61164.0,61176.0,61191.0,61218.0,61236.0,61259.0,61297.0
5007644,66600.0,66664.0,66713.0,66783.0,66873.0,66966.0,67035.0,67099.0,67151.0,67173.0,67224.0,67257.0,67300.0,67352.0,67412.0,67444.0,67485.0,67591.0,67653.0,67705.0,67800.0,67879.0,67935.0,68004.0,68043.0,68076.0,68170.0,68207.0,68272.0,68293.0,68369.0,68404.0,68494.0,68532.0,68586.0,68612.0,68633.0,68690.0,68709.0,68784.0,68812.0,68862.0,68931.0,69063.0,69134.0,69287.0,69327.0,69354.0,69376.0,69436.0,69479.0,69501.0,69540.0,69564.0,69576.0,69591.0,69618.0,69636.0,69659.0,69697.0
5007646,74700.0,74750.0,74788.0,74842.0,74912.0,74987.0,75043.0,75095.0,75142.0,75162.0,75207.0,75234.0,75270.0,75312.0,75348.0,75367.0,75400.0,75488.0,75529.0,75562.0,75639.0,75705.0,75753.0,75812.0,75851.0,75876.0,75963.0,75997.0,76058.0,76083.0,76154.0,76185.0,76246.0,76280.0,76328.0,76351.0,76369.0,76419.0,76436.0,76503.0,76528.0,76574.0,76629.0,76734.0,76790.0,76912.0,76952.0,76979.0,77001.0,77061.0,77104.0,77126.0,77165.0,77189.0,77201.0,77216.0,77243.0,77261.0,77284.0,77322.0
5007648,81900.0,81952.0,81991.0,82047.0,82119.0,82204.0,82267.0,82322.0,82365.0,82383.0,82424.0,82455.0,82495.0,82543.0,82581.0,82601.0,82631.0,82710.0,82747.0,82777.0,82841.0,82907.0,82948.0,83000.0,83040.0,83065.0,83139.0,83168.0,83220.0,83254.0,83336.0,83364.0,83418.0,83451.0,83498.0,83521.0,83539.0,83589.0,83606.0,83672.0,83697.0,83741.0,83783.0,83864.0,83907.0,84001.0,84039.0,84066.0,84088.0,84148.0,84191.0,84213.0,84252.0,84276.0,84288.0,84303.0,84330.0,84348.0,84371.0,84409.0
5008222,46200.0,46251.0,46290.0,46345.0,46415.0,46506.0,46574.0,46646.0,46695.0,46715.0,46762.0,46799.0,46848.0,46905.0,46973.0,47009.0,47047.0,47148.0,47201.0,47244.0,47350.0,47436.0,47493.0,47564.0,47604.0,47630.0,47732.0,47772.0,47843.0,47866.0,47951.0,47980.0,48068.0,48102.0,48150.0,48173.0,48192.0,48243.0,48260.0,48328.0,48353.0,48400.0,48467.0,48596.0,48665.0,48814.0,48847.0,48874.0,48896.0,48956.0,48999.0,49021.0,49060.0,49084.0,49096.0,49111.0,49138.0,49156.0,49179.0,49217.0
5008224,54600.0,54664.0,54713.0,54783.0,54873.0,54966.0,55035.0,55099.0,55151.0,55173.0,55224.0,55257.0,55300.0,55352.0,55412.0,55444.0,55485.0,55591.0,55653.0,55705.0,55800.0,55879.0,55935.0,56004.0,56043.0,56076.0,56170.0,56207.0,56272.0,56293.0,56369.0,56404.0,56494.0,56532.0,56586.0,56612.0,56633.0,56690.0,56709.0,56784.0,56812.0,56862.0,56931.0,57063.0,57134.0,57287.0,57327.0,57354.0,57376.0,57436.0,57479.0,57501.0,57540.0,57564.0,57576.0,57591.0,57618.0,57636.0,57659.0,57697.0
5008228,71100.0,71150.0,71188.0,71242.0,71312.0,71387.0,71443.0,71495.0,71542.0,71562.0,71607.0,71634.0,71670.0,71712.0,71748.0,71767.0,71800.0,71888.0,71929.0,71962.0,72039.0,72105.0,72153.0,72212.0,72251.0,72276.0,72363.0,72397.0,72458.0,72483.0,72554.0,72585.0,72646.0,72680.0,72728.0,72751.0,72769.0,72819.0,72836.0,72903.0,72928.0,72974.0,73029.0,73134.0,73190.0,73312.0,73352.0,73379.0,73401.0,73461.0,73504.0,73526.0,73565.0,73589.0,73601.0,73616.0,73643.0,73661.0,73684.0,73722.0
5008230,78300.0,78352.0,78391.0,78447.0,78519.0,78604.0,78667.0,78722.0,78765.0,78783.0,78824.0,78855.0,78895.0,78943.0,78981.0,79001.0,79031.0,79110.0,79147.0,79177.0,79241.0,79307.0,79348.0,79400.0,79440.0,79465.0,79539.0,79568.0,79620.0,79654.0,79736.0,79764.0,79818.0,79851.0,79898.0,79921.0,79939.0,79989.0,80006.0,80072.0,80097.0,80141.0,80183.0,80264.0,80307.0,80401.0,80439.0,80466.0,80488.0,80548.0,80591.0,80613.0,80652.0,80676.0,80688.0,80703.0,80730.0,80748.0,80771.0,80809.0
5008356,35400.0,35463.0,35511.0,35580.0,35669.0,35767.0,35839.0,35916.0,35975.0,36000.0,36057.0,36097.0,36149.0,36210.0,36284.0,36323.0,36367.0,36482.0,36542.0,36591.0,36673.0,36765.0,36826.0,36902.0,36948.0,36980.0,37085.0,37127.0,37200.0,37225.0,37306.0,37335.0,37418.0,37454.0,37505.0,37529.0,37549.0,37603.0,37621.0,37693.0,37720.0,37769.0,37826.0,37935.0,37993.0,38118.0,38163.0,38190.0,38212.0,38272.0,38315.0,38337.0,38376.0,38400.0,38412.0,38427.0,38454.0,38472.0,38495.0,38533.0
