tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P
5101193,46200.0,46254.0,46306.0,46384.0,46444.0,46537.0,46569.0,46603.0,46684.0,46717.0,46831.0,46886.0,46957.0,47027.0,47058.0,47098.0,47121.0,47181.0,47190.0,47204.0,47223.0,47321.0,47440.0,47479.0,47576.0,47618.0,47659.0,47725.0,47788.0,47822.0,47848.0,47872.0,47912.0,47957.0,47988.0,48006.0,48096.0,48161.0,48265.0,48352.0,48412.0,48594.0,48796.0,48905.0,48950.0
5102087,61200.0,61256.0,61311.0,61406.0,61478.0,61535.0,61568.0,61603.0,61697.0,61731.0,61837.0,61883.0,61921.0,61961.0,61985.0,62040.0,62072.0,62153.0,62170.0,62189.0,62208.0,62302.0,62430.0,62465.0,62554.0,62592.0,62637.0,62709.0,62773.0,62807.0,62833.0,62857.0,62908.0,62965.0,62997.0,63015.0,63102.0,63191.0,63297.0,63387.0,63448.0,63671.0,63873.0,63982.0,64027.0
5103769,27120.0,27181.0,27240.0,27314.0,27371.0,27424.0,27458.0,27493.0,27573.0,27610.0,27693.0,27748.0,27786.0,27836.0,27865.0,27914.0,27942.0,28013.0,28025.0,28042.0,28063.0,28169.0,28421.0,28464.0,28573.0,28620.0,28693.0,28810.0,28874.0,28910.0,28936.0,28969.0,29038.0,29117.0,29162.0,29187.0,29295.0,29384.0,29556.0,29701.0,29799.0,30017.0,30219.0,30328.0,30373.0
5103781,78000.0,78036.0,78071.0,78122.0,78161.0,78205.0,78232.0,78260.0,78323.0,78353.0,78416.0,78453.0,78475.0,78493.0,78511.0,78541.0,78558.0,78603.0,78610.0,78624.0,78636.0,78699.0,78792.0,78828.0,78919.0,78958.0,78987.0,79033.0,79086.0,79116.0,79138.0,79160.0,79183.0,79209.0,79235.0,79250.0,79313.0,79363.0,79432.0,79490.0,79529.0,79629.0,79830.0,79938.0,79983.0
5105140,30600.0,30659.0,30716.0,30793.0,30851.0,30923.0,30959.0,30997.0,31099.0,31141.0,31242.0,31296.0,31369.0,31457.0,31487.0,31530.0,31555.0,31618.0,31628.0,31643.0,31663.0,31766.0,31939.0,31985.0,32102.0,32152.0,32200.0,32276.0,32341.0,32378.0,32405.0,32431.0,32502.0,32582.0,32641.0,32675.0,32812.0,32937.0,33111.0,33257.0,33356.0,33638.0,33840.0,33949.0,33994.0
5105147,67200.0,67256.0,67311.0,67406.0,67478.0,67535.0,67568.0,67603.0,67697.0,67731.0,67837.0,67883.0,67921.0,67961.0,67985.0,68040.0,68072.0,68153.0,68170.0,68189.0,68208.0,68302.0,68430.0,68465.0,68554.0,68592.0,68637.0,68709.0,68773.0,68807.0,68833.0,68857.0,68908.0,68965.0,68997.0,69015.0,69102.0,69191.0,69297.0,69387.0,69448.0,69671.0,69873.0,69982.0,70027.0
5107745,42600.0,42656.0,42710.0,42801.0,42871.0,42996.0,43027.0,43059.0,43152.0,43188.0,43303.0,43347.0,43384.0,43421.0,43446.0,43487.0,43511.0,43571.0,43577.0,43593.0,43611.0,43701.0,43833.0,43873.0,43973.0,44015.0,44052.0,44112.0,44161.0,44197.0,44224.0,44249.0,44288.0,44332.0,44365.0,44384.0,44474.0,44542.0,44658.0,44756.0,44822.0,45036.0,45238.0,45347.0,45392.0
5113026,64800.0,64856.0,64911.0,65006.0,65078.0,65135.0,65168.0,65203.0,65297.0,65331.0,65437.0,65483.0,65521.0,65561.0,65585.0,65640.0,65672.0,65753.0,65770.0,65789.0,65808.0,65902.0,66030.0,66065.0,66154.0,66192.0,66237.0,66309.0,66373.0,66407.0,66433.0,66457.0,66508.0,66565.0,66597.0,66615.0,66702.0,66791.0,66897.0,66987.0,67048.0,67271.0,67473.0,67582.0,67627.0
5116237,35400.0,35459.0,35516.0,35593.0,35651.0,35723.0,35759.0,35797.0,35899.0,35941.0,36042.0,36096.0,36169.0,36257.0,36287.0,36330.0,36355.0,36418.0,36428.0,36443.0,36463.0,36566.0,36739.0,36785.0,36902.0,36952.0,37000.0,37076.0,37141.0,37178.0,37205.0,37231.0,37302.0,37382.0,37441.0,37475.0,37612.0,37737.0,37911.0,38057.0,38156.0,38438.0,38640.0,38749.0,38794.0
5116247,81600.0,81636.0,81671.0,81722.0,81761.0,81805.0,81832.0,81860.0,81923.0,81953.0,82016.0,82053.0,82075.0,82093.0,82111.0,82141.0,82158.0,82203.0,82210.0,82224.0,82236.0,82299.0,82392.0,82428.0,82519.0,82558.0,82587.0,82633.0,82686.0,82716.0,82738.0,82760.0,82783.0,82809.0,82835.0,82850.0,82913.0,82963.0,83032.0,83090.0,83129.0,83229.0,83430.0,83538.0,83583.0
