tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P
5015048,27600.0,27772.0,27892.0,27915.0,27957.0,27989.0,28050.0,28102.0,28129.0,28163.0,28186.0,28213.0,28246.0,28277.0,28306.0,28332.0,28389.0,28412.0,28437.0,28491.0,28516.0,28564.0,28600.0,28643.0,28660.0,28698.0,28725.0,28790.0,28830.0,28855.0,28887.0,28914.0,28931.0,28958.0,28999.0,29035.0,29065.0,29089.0,29113.0,29142.0,29174.0,29198.0,29244.0,29286.0,29311.0,29380.0,29429.0,29527.0,29593.0,29701.0,29924.0,29995.0,30053.0,30115.0,30176.0,30257.0,30300.0,30437.0,30519.0
5016152,23100.0,23160.0,23201.0,23223.0,23263.0,23294.0,23359.0,23427.0,23460.0,23500.0,23527.0,23559.0,23601.0,23632.0,23657.0,23680.0,23729.0,23749.0,23771.0,23839.0,23864.0,23913.0,23963.0,24023.0,24044.0,24089.0,24115.0,24177.0,24222.0,24251.0,24286.0,24315.0,24333.0,24368.0,24422.0,24468.0,24506.0,24532.0,24558.0,24589.0,24628.0,24658.0,24722.0,24780.0,24815.0,24891.0,24946.0,25033.0,25092.0,25155.0,25286.0,25357.0,25416.0,25472.0,25528.0,25601.0,25640.0,25764.0,25838.0
5085261,27600.0,27766.0,27881.0,27903.0,27943.0,27974.0,28033.0,28083.0,28109.0,28141.0,28163.0,28189.0,28222.0,28252.0,28280.0,28305.0,28360.0,28382.0,28406.0,28458.0,28482.0,28528.0,28563.0,28604.0,28621.0,28657.0,28683.0,28745.0,28783.0,28808.0,28839.0,28865.0,28881.0,28907.0,28947.0,28982.0,29010.0,29033.0,29056.0,29084.0,29115.0,29138.0,29182.0,29222.0,29246.0,29312.0,29359.0,29453.0,29517.0,29620.0,29835.0,29903.0,29959.0,30018.0,30077.0,30155.0,30196.0,30328.0,30407.0
5085587,27000.0,27057.0,27097.0,27118.0,27157.0,27186.0,27249.0,27314.0,27346.0,27385.0,27411.0,27442.0,27482.0,27512.0,27536.0,27558.0,27605.0,27624.0,27645.0,27710.0,27734.0,27781.0,27829.0,27887.0,27907.0,27950.0,27975.0,28035.0,28078.0,28106.0,28139.0,28167.0,28185.0,28218.0,28269.0,28314.0,28351.0,28376.0,28401.0,28431.0,28468.0,28497.0,28559.0,28615.0,28648.0,28721.0,28774.0,28858.0,28914.0,28975.0,29101.0,29169.0,29226.0,29280.0,29334.0,29404.0,29442.0,29561.0,29632.0
5085589,34800.0,34842.0,34872.0,34893.0,34932.0,34962.0,35025.0,35113.0,35154.0,35204.0,35237.0,35276.0,35327.0,35366.0,35394.0,35419.0,35474.0,35495.0,35519.0,35617.0,35693.0,35838.0,35889.0,35950.0,35969.0,36009.0,36033.0,36091.0,36130.0,36155.0,36182.0,36204.0,36218.0,36249.0,36297.0,36339.0,36373.0,36397.0,36421.0,36449.0,36481.0,36505.0,36564.0,36615.0,36645.0,36698.0,36736.0,36794.0,36833.0,36883.0,36988.0,37048.0,37098.0,37155.0,37212.0,37269.0,37299.0,37406.0,37470.0
5085590,51000.0,51051.0,51086.0,51108.0,51149.0,51181.0,51243.0,51319.0,51364.0,51406.0,51434.0,51467.0,51509.0,51551.0,51576.0,51599.0,51650.0,51669.0,51693.0,51782.0,51846.0,51969.0,52040.0,52126.0,52144.0,52184.0,52205.0,52258.0,52298.0,52324.0,52348.0,52368.0,52382.0,52413.0,52460.0,52501.0,52535.0,52561.0,52587.0,52618.0,52647.0,52669.0,52717.0,52763.0,52790.0,52838.0,52873.0,52926.0,52961.0,53002.0,53088.0,53139.0,53182.0,53226.0,53269.0,53315.0,53340.0,53453.0,53521.0
5085592,58200.0,58247.0,58280.0,58303.0,58345.0,58376.0,58439.0,58511.0,58552.0,58595.0,58624.0,58658.0,58701.0,58739.0,58768.0,58795.0,58853.0,58874.0,58898.0,58976.0,59053.0,59200.0,59269.0,59351.0,59370.0,59412.0,59435.0,59490.0,59531.0,59558.0,59584.0,59606.0,59619.0,59650.0,59697.0,59738.0,59772.0,59800.0,59828.0,59862.0,59893.0,59917.0,59975.0,60035.0,60071.0,60115.0,60147.0,60207.0,60247.0,60291.0,60383.0,60438.0,60483.0,60520.0,60557.0,60614.0,60644.0,60831.0,60943.0
5085594,67200.0,67246.0,67278.0,67299.0,67338.0,67368.0,67430.0,67487.0,67516.0,67549.0,67571.0,67597.0,67631.0,67661.0,67686.0,67709.0,67760.0,67781.0,67803.0,67886.0,67923.0,67993.0,68060.0,68140.0,68160.0,68204.0,68223.0,68269.0,68306.0,68329.0,68355.0,68377.0,68391.0,68418.0,68459.0,68495.0,68525.0,68548.0,68571.0,68598.0,68628.0,68651.0,68713.0,68767.0,68799.0,68834.0,68859.0,68928.0,68975.0,69020.0,69113.0,69163.0,69205.0,69245.0,69284.0,69329.0,69353.0,69471.0,69542.0
5085596,74400.0,74438.0,74464.0,74482.0,74515.0,74539.0,74595.0,74645.0,74676.0,74704.0,74723.0,74745.0,74773.0,74802.0,74825.0,74846.0,74890.0,74908.0,74929.0,74988.0,75008.0,75046.0,75083.0,75128.0,75143.0,75177.0,75194.0,75237.0,75269.0,75290.0,75313.0,75332.0,75345.0,75366.0,75399.0,75427.0,75450.0,75469.0,75488.0,75509.0,75528.0,75542.0,75581.0,75615.0,75635.0,75665.0,75686.0,75727.0,75754.0,75788.0,75858.0,75892.0,75921.0,75950.0,75978.0,76007.0,76022.0,76132.0,76198.0
5085598,81600.0,81638.0,81664.0,81682.0,81715.0,81739.0,81795.0,81845.0,81876.0,81904.0,81923.0,81945.0,81973.0,82002.0,82025.0,82046.0,82090.0,82108.0,82129.0,82188.0,82208.0,82246.0,82283.0,82328.0,82343.0,82377.0,82394.0,82437.0,82469.0,82490.0,82513.0,82532.0,82545.0,82566.0,82599.0,82627.0,82650.0,82669.0,82688.0,82709.0,82728.0,82742.0,82781.0,82815.0,82835.0,82865.0,82886.0,82927.0,82954.0,82988.0,83058.0,83092.0,83121.0,83150.0,83178.0,83207.0,83222.0,83332.0,83398.0
