tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P
5100042,58500.0,58593.0,58629.0,58680.0,58856.0,58954.0,58999.0,59091.0,59130.0,59192.0,59264.0,59363.0,59456.0,59515.0,59572.0,59653.0,59891.0,60099.0,60178.0,60270.0,60343.0,60412.0,60462.0,60515.0,60579.0,60638.0,60712.0,60763.0,60789.0,60852.0,60874.0,60911.0,61001.0,61029.0,61062.0,61201.0,61242.0,61395.0,61450.0,61481.0,61542.0,61633.0,61707.0,61795.0,61940.0,62023.0,62055.0,62079.0,62158.0,62289.0,62382.0,62446.0,62518.0,62591.0,62646.0,62712.0,62760.0,62897.0,63048.0,63082.0,63131.0
5100044,70200.0,70265.0,70290.0,70326.0,70443.0,70526.0,70564.0,70639.0,70670.0,70710.0,70756.0,70820.0,70898.0,70947.0,70995.0,71062.0,71150.0,71227.0,71286.0,71354.0,71408.0,71460.0,71492.0,71525.0,71570.0,71611.0,71663.0,71705.0,71727.0,71779.0,71798.0,71832.0,71914.0,71940.0,71969.0,72035.0,72064.0,72173.0,72213.0,72235.0,72278.0,72343.0,72393.0,72452.0,72550.0,72603.0,72623.0,72638.0,72688.0,72773.0,72840.0,72877.0,72919.0,72962.0,73005.0,73057.0,73096.0,73149.0,73207.0,73233.0,73270.0
5100690,33000.0,33123.0,33171.0,33239.0,33402.0,33472.0,33504.0,33604.0,33646.0,33692.0,33744.0,33817.0,33890.0,33937.0,33982.0,34053.0,34124.0,34186.0,34248.0,34319.0,34376.0,34430.0,34479.0,34531.0,34586.0,34636.0,34699.0,34752.0,34780.0,34846.0,34869.0,34910.0,35011.0,35042.0,35079.0,35225.0,35264.0,35413.0,35465.0,35494.0,35551.0,35637.0,35700.0,35774.0,35897.0,35969.0,35997.0,36018.0,36085.0,36187.0,36241.0,36285.0,36334.0,36384.0,36431.0,36488.0,36530.0,36622.0,36724.0,36762.0,36815.0
5102280,27000.0,27076.0,27106.0,27148.0,27263.0,27320.0,27346.0,27397.0,27418.0,27451.0,27489.0,27543.0,27597.0,27631.0,27665.0,27728.0,27794.0,27852.0,27910.0,27977.0,28031.0,28082.0,28116.0,28151.0,28191.0,28227.0,28273.0,28317.0,28340.0,28394.0,28413.0,28443.0,28517.0,28540.0,28568.0,28691.0,28727.0,28865.0,28911.0,28937.0,28987.0,29061.0,29110.0,29169.0,29266.0,29325.0,29348.0,29365.0,29421.0,29483.0,29530.0,29569.0,29613.0,29657.0,29714.0,29782.0,29832.0,29941.0,30060.0,30086.0,30123.0
5102282,44700.0,44784.0,44817.0,44863.0,45002.0,45074.0,45107.0,45187.0,45221.0,45264.0,45313.0,45382.0,45448.0,45490.0,45531.0,45607.0,45754.0,45882.0,45947.0,46023.0,46083.0,46140.0,46195.0,46253.0,46323.0,46388.0,46469.0,46521.0,46548.0,46612.0,46634.0,46675.0,46774.0,46805.0,46841.0,46930.0,46965.0,47096.0,47158.0,47193.0,47261.0,47362.0,47428.0,47506.0,47635.0,47725.0,47760.0,47786.0,47870.0,48000.0,48072.0,48122.0,48178.0,48235.0,48290.0,48357.0,48406.0,48504.0,48611.0,48641.0,48684.0
5102284,57300.0,57393.0,57429.0,57480.0,57656.0,57754.0,57799.0,57891.0,57930.0,57992.0,58064.0,58163.0,58256.0,58315.0,58372.0,58453.0,58691.0,58899.0,58978.0,59070.0,59143.0,59212.0,59262.0,59315.0,59379.0,59438.0,59512.0,59563.0,59589.0,59652.0,59674.0,59711.0,59801.0,59829.0,59862.0,60001.0,60042.0,60195.0,60250.0,60281.0,60342.0,60433.0,60507.0,60595.0,60740.0,60823.0,60855.0,60879.0,60958.0,61089.0,61182.0,61246.0,61318.0,61391.0,61446.0,61512.0,61560.0,61697.0,61848.0,61882.0,61931.0
5103339,27900.0,27976.0,28006.0,28048.0,28163.0,28220.0,28246.0,28297.0,28318.0,28351.0,28389.0,28443.0,28497.0,28531.0,28565.0,28628.0,28694.0,28752.0,28810.0,28877.0,28931.0,28982.0,29016.0,29051.0,29091.0,29127.0,29173.0,29217.0,29240.0,29294.0,29313.0,29343.0,29417.0,29440.0,29468.0,29591.0,29627.0,29765.0,29811.0,29837.0,29887.0,29961.0,30010.0,30069.0,30166.0,30225.0,30248.0,30265.0,30321.0,30383.0,30430.0,30469.0,30513.0,30557.0,30614.0,30682.0,30732.0,30841.0,30960.0,30986.0,31023.0
5103341,43200.0,43284.0,43317.0,43363.0,43502.0,43574.0,43607.0,43687.0,43721.0,43764.0,43813.0,43882.0,43948.0,43990.0,44031.0,44107.0,44254.0,44382.0,44447.0,44523.0,44583.0,44640.0,44695.0,44753.0,44823.0,44888.0,44969.0,45021.0,45048.0,45112.0,45134.0,45175.0,45274.0,45305.0,45341.0,45430.0,45465.0,45596.0,45658.0,45693.0,45761.0,45862.0,45928.0,46006.0,46135.0,46225.0,46260.0,46286.0,46370.0,46500.0,46572.0,46622.0,46678.0,46735.0,46790.0,46857.0,46906.0,47004.0,47111.0,47141.0,47184.0
5103347,80400.0,80462.0,80486.0,80520.0,80639.0,80712.0,80745.0,80806.0,80831.0,80868.0,80910.0,80968.0,81023.0,81058.0,81092.0,81158.0,81219.0,81273.0,81324.0,81383.0,81430.0,81473.0,81504.0,81537.0,81573.0,81606.0,81648.0,81687.0,81707.0,81755.0,81773.0,81804.0,81879.0,81903.0,81930.0,81989.0,82021.0,82141.0,82176.0,82196.0,82234.0,82291.0,82324.0,82363.0,82427.0,82475.0,82493.0,82507.0,82552.0,82612.0,82667.0,82697.0,82731.0,82765.0,82802.0,82847.0,82880.0,82926.0,82976.0,83000.0,83033.0
5104663,38700.0,38784.0,38817.0,38864.0,38984.0,39069.0,39108.0,39179.0,39208.0,39247.0,39292.0,39353.0,39417.0,39457.0,39496.0,39559.0,39655.0,39739.0,39796.0,39862.0,39915.0,39965.0,39996.0,40028.0,40081.0,40130.0,40192.0,40238.0,40262.0,40319.0,40339.0,40376.0,40467.0,40495.0,40529.0,40595.0,40629.0,40757.0,40811.0,40841.0,40900.0,40988.0,41045.0,41113.0,41226.0,41304.0,41334.0,41357.0,41430.0,41550.0,41605.0,41650.0,41701.0,41753.0,41805.0,41868.0,41915.0,41998.0,42089.0,42125.0,42175.0
5104665,53400.0,53484.0,53517.0,53563.0,53702.0,53774.0,53807.0,53887.0,53921.0,53964.0,54013.0,54082.0,54148.0,54190.0,54231.0,54307.0,54454.0,54582.0,54647.0,54723.0,54783.0,54840.0,54895.0,54953.0,55023.0,55088.0,55169.0,55221.0,55248.0,55312.0,55334.0,55375.0,55474.0,55505.0,55541.0,55630.0,55665.0,55796.0,55858.0,55893.0,55961.0,56062.0,56128.0,56206.0,56335.0,56425.0,56460.0,56486.0,56570.0,56700.0,56772.0,56822.0,56878.0,56935.0,56990.0,57057.0,57106.0,57204.0,57311.0,57341.0,57384.0
